ReferenceID	Authors	Year	Title	Details	
169255	Kier, P. M.	1968	The Triassic Echinoderms of North America		
169232	Jones, S. T.	1938	Geology of Sierra de la Pena and Paleontology of the Indidura Formation, Coahuila Mexico		
145328	Serafy, D. K.	1971	A new species of Clypeaster (Echinodermata, Echinoidea) from San Felix Island, with a key to the recent species of the eastern		
169301	Lambert, J.	1933	Note sur quelques Echinides de la région de Chatillon-sur-Seine. Bulletin de la Société Géologique de France, Notes et Mémoires 5, 173-180.		
169278	Kühn, O.	1936	Eine neue Burdigalausbildung bei Horn. Sitzungsberichte der Akademie der Wissenschaften Wien, mathematisch-naturwissenschaftliche		
169424	Nagao, T.	1928	Palaeogene Fossils of the Islands of Kyûshû, Japan, Part 2. Science Reports of the Tôhoku		
169324	Lambert, J.; Pérébaskine, V.	1929	Note sur quelques Échinides du Soudan. Bulletin de la Société Géologique de		
169447	Philip, G. M.	1963	A New Regular Echinoid from the Jurassic of Wyoming		
139417	Clark, H. L.	1914	The echinoderms of the Western Australian Museum		
169470	Richards, H. G.	1962	New Cretaceous Invertebrate Fossils from Test Borings in New Jersey. In The Cretaceous Fossils of New Jersey		
139517	Baranova, Z. I.	1955	New species and subspecies of echinoderms from the Bering Sea		
149043	Mooi, R.; David, B.	1996	Phylogenetic analysis of extreme morphologies: deep-sea holasteroid echinoids		
169355	Maury, C. J.	1925	Fosseis terciarios do Brasil com desripcäo de novas formas cretaceas. Monographias do Servico Geologico e Mineralogico do		
169547	Traub, F.	1938	Geologische und paläontologische Bearbeitung der Kreide und des Tertiärs im Östlichen Rupertiwinkel, Nördlich von Salzburg		
42918	Coppard, S.E.; Schultz, H.A.G.	2006	A new species of Coelopleurus (Echinodermata: Echinoidea: Arbaciidae) from New Caledonia. Zootaxa 1281: 1–19.		
149089	De Bruyn, C.; Rigaud, T.; David, B.; De Ridder, C.	2009	Symbiosis between the pea crab Dissodactylus primitivus and its echinoid host Meoma ventricosa: potential consequences for the crab mating system		
169401	Mortensen, T.	1937	Phyllacanthus forcipulatus, sp. nov.a New Cidarid from the Indian Ocean		
169155	Fell, H. B.	1962	A New Cretaceous Echinoid from the Franciscan Formation of California		
132624	Audouin, V.	1809	Explication sommaire des planches d'Échinoderms de l'Égypte et de la Syrie, publiées par J. C. Savigny, membre de l'Institut; offrant un exposé des caractères naturels des genres avec la distinction des espèces, par Victor Audouin. Pp. 203-212		
169009	Checchia-Rispoli, G.	1938	Di alcuni Clipeastri del Miocene del Monte Gargano		
169501	Schmitz, E.	1970	Ein interessanter Cidarisstachel im Feuersteingeschiebe		
145305	McNamara, K. J.	1984	Living Australian species of the echinoid Pericosmus (Spatangoida: Pericosmidae		
169109	Denizot, G.	1935	Monographies gélogiques des environs de Marseille: Description des massifs de Marseilleveyre et de Puget. Annales du Musée d'Histoire Naturelle de		
169209	Jeannet, A.	1929	Revision des Rhabdocidaris du Jura supérieur suisse. Mémoires de la Sociét		
145259	Allison, E. C.; Durham, J. W.; Mintz, L. W.	1967	New Southeast Pacific Echinoids		
190211	Alcock, A.	1902	A Naturalist in Indian Seas. Or, Four Years with the Royal Indian Marine Survey Ship Investigator. John Murrey, London		
169063	Cooke, C. W.	1941	Oligopygus nancei, a New Echinoid from Venezuela		
140238	Meijere, J.C.H.d.	1903	Vorläufige Beschreibung der neuen, durch die Siboga-Expedition gesammelten Echiniden. - Tijdschrift der Nederlandsche Dierkundige Vereeniging, 2de serie, 8/1: 1-16.		
169032	Clark, A. H.	1934	A New Sea-Urchin from Florida		
129945	Clark AH	1921	Report on the crinoids collected by the Barbados-Antigua Expedition from the University of Iowa in 1918. Univ. Iowa Studies in Nat. Hist. 9(5):1-28.		
169332	Lobacheva, S. V. & Poretskaya, E. S.	1967	[A new Epiaster from Turkmenia - The oldest  representative of the genus]. Vsesoyuznyy Nauchno-Issledovatel'skiy Geologorazvedochniy Neftyanoy Institut (VNIGRI) 129, 182-187.		
177845	Döderlein, L.	1905	Ueber Seeigel der deutschen Tiefsee-Expedition		
22039	Pennant, T.,	1777	British Zoology, vol. IV. Crustacea. Mollusca. Testacea: i-viii, 1-154, Plates 1-93. London.		
177453	Geys, J. F.	1995	Holectypoid echinoids from Cenomanian and Turonian strata in the Mons basin (Belgium). 2. Conulus. Bulletin de l'Institut Royal des Sciences naturelles de		
169524	Stefanini, G.	1931	Echinodermi, Vermi, Briozoi e Brachiopodi del Giuralias della Somalia.		
169040	Cooke, C. W.	1958	Cretaceous Echinoidea of New Jersey. Bulletin of the New Jersey Geological Survey Division of Geology 61, 45-54.		
163038	Gras, A.	1848	Description des oursins fossiles du département de l'Isère, précédée de notions élémentaires sur l'organisation & la glossologie de cette classe de zoophytes et suivie d'une notice géologique sur les : ouvrage orné de six planches représentant 45 espèces nouvelles ou non encore figurées / par Albin Gras		
168940	Arnold, B. W.; Clark, H. L.	1927	Jamaican fossil echini. With descriptions of new species of Cainozoic Echinoidea by Herbert L. Hawkins		
