AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
160759	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		agassizii	Mortensen, 1910	accepted	Accepted name	0	marine		Kroh, Andreas	2014-11-02 21:34:54	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160759		urn:lsid:marinespecies.org:taxname:160759	
160760	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		beatriceae	(Larrain, 1986)	accepted	Accepted name	0	marine		Kroh, Andreas	2011-05-06 23:18:40	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160760		urn:lsid:marinespecies.org:taxname:160760	
160762	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		cavernosus	(Philippi, 1845)	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160762		urn:lsid:marinespecies.org:taxname:160762	
160763	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		cordatus	(Verrill, 1876)	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160763		urn:lsid:marinespecies.org:taxname:160763	
160764	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		curvidens	Mortensen, 1836	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160764		urn:lsid:marinespecies.org:taxname:160764	
160766	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		ingens	Koehler, 1926	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160766		urn:lsid:marinespecies.org:taxname:160766	
160768	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		philippii	Lovén, 1871	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160768		urn:lsid:marinespecies.org:taxname:160768	
160769	Animalia	Echinodermata	Echinoidea	Spatangoida		Schizasteridae	Abatus		shackletoni	Koehler, 1911	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=160769		urn:lsid:marinespecies.org:taxname:160769	
869912	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Scutelloidea	Abertellidae	Abertella		cazonesensis	(Kew in Dickerson & Kew, 1917)	accepted	Accepted name	1	marine		Kroh, Andreas	2016-02-11 11:53:56	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=869912		urn:lsid:marinespecies.org:taxname:869912	
754963	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Scutelloidea	Abertellidae	Abertella		kewi	Durham, 1957	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-05 14:41:51	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=754963		urn:lsid:marinespecies.org:taxname:754963	
