ReferenceID	Authors	Year	Title	Details	
64			North East Atlantic Taxa		
162585	Ikeda, H.	1940	The fauna of Akkesi Bay. VIII. Echinoidea. Annotationes Zoologicae Japonenses 19, 1-10.		
162732	Lieske, E. & Myers, R.	2010	Korallenriff-Führer Rotes Meer. Franckh-Kosmos Verlag, 383 pp.		
154045	Deraniyagala, P. E. P.	1956	Some Fossils from the Miocene Amphitheatre at Minihagalkanda Ceylon. Spolia Zeylanica, Bulletin of the National Museums of Ceylon 28, 1-5.		
154073	van der Ham, R. W. J. M., Jagt, J. W. M. & Janssens, H. J.	2011	Leymeriaster campestris, a new early Campanian hemiasterid echinoid from southern Limburg, the Netherlands. Netherlands Journal of Geosciences — Geologie en Mijnbouw 90, 179-185.		
154050	Robertson, D.	1871	Notes on Amphidotus cordatus (Penn). Quarterly Journal of Microscopical Science, New Series 11, 25-27.		
154063	Mortensen, T.	1949	New Echinoidea (Cassiduloida, Clypeasteroida). Preliminary notice. Videnskabelige Meddelelsar Dansk Naturhistoriske Forening i Kjobenhavn 111 (1948-49), 67-72.		
149089	De Bruyn, C., Rigaud, T., David, B. & De Ridder, C.	2009	Symbiosis between the pea crab Dissodactylus pimitivus and its echinoid host Meoma ventricosa: potential consequences for the crab mating system. Marine Ecology Progress Series 375, 173-183.		
149012	Arakaki, Y., Uehara, T. & Fagoonee, I.	1998	Comparative studies of the genus Echinometra from Okinawa and Mauritius. Zoological Science Tokyo 15, 159-168.  		
149043	Mooi, R. & David, B.	1996	Phylogenetic analysis of extreme morphologies: deep-sea holasteroid echinoids. Journal of Natural History 30, 913-953.		
163038	Gras, A.	1848	Description des oursins fossiles du département de l'Isère, précédée de notions élémentaires sur l'organisation & la glossologie de cette classe de Zoophytes, et suive d'une notice géologique sur les divers terrains de l'Isère. Ch. Vellot et comp. édit. & Victor Masson, Grenoble & Paris, 96 pp.		
