AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
513701	160762	bidens	Mortensen, 1910	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513701		urn:lsid:marinespecies.org:taxname:513701	
608108	160762	cavernosus	(Philippi, 1845)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608108		urn:lsid:marinespecies.org:taxname:608108	
757598	754984	pseudoclevei	Desio, 1929	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757598		urn:lsid:marinespecies.org:taxname:757598	
757599	754984	pseudoinflala	Desio, 1929	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757599		urn:lsid:marinespecies.org:taxname:757599	
757600	754987	oligocenicus	Palmer in Sánchez Roig, 1949	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757600		urn:lsid:marinespecies.org:taxname:757600	
757601	513095	persica	Clegg, 1933	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757601		urn:lsid:marinespecies.org:taxname:757601	
608109	414216	elevatus	(Hutton, 1872)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608109		urn:lsid:marinespecies.org:taxname:608109	
595762	414216	ruber	(Döderlein, 1914)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-02-21 22:29:41	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=595762		urn:lsid:marinespecies.org:taxname:595762	
757602	513102	subglobosus	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757602		urn:lsid:marinespecies.org:taxname:757602	
757603	754738	bentivegnae	Desio, 1934	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757603		urn:lsid:marinespecies.org:taxname:757603	
757604	754738	pelatensis	Fabre, 1933	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757604		urn:lsid:marinespecies.org:taxname:757604	
571633	160779	drygalskii	(Mortensen, 1905)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=571633		urn:lsid:marinespecies.org:taxname:571633	
571632	160779	perfidus	(Mironov, 1976)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-05-09 22:40:51	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=571632		urn:lsid:marinespecies.org:taxname:571632	
608110	513116	coriaceum	(A. Agassiz, 1879)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608110		urn:lsid:marinespecies.org:taxname:608110	
513703	513116	indicum	Koehler, 1921	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-04-08 09:45:14	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513703		urn:lsid:marinespecies.org:taxname:513703	
513704	513119	bicolor	(A. Agassiz & H.L. Clark, 1907)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-05-23 11:28:23	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513704		urn:lsid:marinespecies.org:taxname:513704	
513705	513119	nudum	Mortensen, 1934	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-06-23 23:14:09	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513705		urn:lsid:marinespecies.org:taxname:513705	
608111	513119	owstoni	Mortensen, 1904	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608111		urn:lsid:marinespecies.org:taxname:608111	
513706	513122	carinatum	Mortensen, 1934	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-06-23 23:14:09	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513706		urn:lsid:marinespecies.org:taxname:513706	
608112	513122	tessellatum	(A. Agassiz, 1879)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608112		urn:lsid:marinespecies.org:taxname:608112	
513707	124249	africana	(Troschel, 1873)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-04-27 13:55:18	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513707		urn:lsid:marinespecies.org:taxname:513707	
608113	124249	lixula	(Linnaeus, 1758)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608113		urn:lsid:marinespecies.org:taxname:608113	
569861	513131	keiense	Mortensen, 1939	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-06-24 19:53:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=569861		urn:lsid:marinespecies.org:taxname:569861	
