ID	ReferenceType	ReferenceID	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
113473	TaxAccRef	1365	
556535	TaxAccRef	152417	
521512	TaxAccRef	177365	
762952	TaxAccRef	177366	
763343	NomRef	177365	
763333	TaxAccRef	177365	
594662	NomRef	166484	
763269	TaxAccRef	177365	
556436	TaxAccRef	148286	
113073	TaxAccRef	1365	
417558	TaxAccRef	141201	
417930	NomRef	141201	
523213	TaxAccRef	152417	
113967	TaxAccRef	141201	
556647	TaxAccRef	148199	
397168	NomRef	132739	
764748	TaxAccRef	177365	
815577	TaxAccRef	152417	
113773	TaxAccRef	1365	
521348	TaxAccRef	177365	
764303	TaxAccRef	177365	
113112	TaxAccRef	152417	
523034	TaxAccRef	152417	
763367	TaxAccRef	177365	
112962	NomRef	141201	
466294	TaxAccRef	177365	
559071	TaxAccRef	149211	
113673	TaxAccRef	1365	
723191	TaxAccRef	152417	
113171	TaxAccRef	1365	
521146	TaxAccRef	177365	
764112	TaxAccRef	177365	
112771	TaxAccRef	1365	
816508	TaxAccRef	187874	
417820	NomRef	152417	
489130	TaxAccRef	155063	
556571	TaxAccRef	152417	
478848	TaxAccRef	142048	
763310	TaxAccRef	177365	
582280	TaxAccRef	177365	
762886	TaxAccRef	177366	
521312	TaxAccRef	177365	
114051	NomRef	1365	
849901	NomRef	193006	
417682	TaxAccRef	152417	
850273	TaxAccRef	152417	
113587	NomRef	1365	
556540	TaxAccRef	148196	
114024	TaxAccRef	141201	
112671	TaxAccRef	1365	
764139	TaxAccRef	177365	
764348	TaxAccRef	177365	
114000	NomRef	141201	
763412	TaxAccRef	177365	
397235	TaxAccRef	131357	
764805	TaxAccRef	177365	
418066	NomRef	141201	
764705	TaxAccRef	177365	
183109	TaxAccRef	131342	
490083	TaxAccRef	124391	
763403	TaxAccRef	177365	
112585	NomRef	141201	
849880	TaxAccRef	193006	
114360	TaxAccRef	141201	
114007	TaxAccRef	1365	
380567	TaxAccRef	1318	
146256	TaxAccRef	131338	
850071	TaxAccRef	193006	
113814	TaxAccRef	142048	
762552	TaxAccRef	177366	
764177	NomRef	177365	
723287	NomRef	166484	
112688	TaxAccRef	141201	
764205	TaxAccRef	177365	
113585	TaxAccRef	220650	
521548	TaxAccRef	177365	
850273	TaxAccRef	193006	
480223	TaxAccRef	142190	
113987	NomRef	1365	
764005	TaxAccRef	177365	
114209	TaxAccRef	1365	
480216	TaxAccRef	142190	
113843	TaxAccRef	1365	
763186	TaxAccRef	177366	
849638	NomRef	152417	
112924	NomRef	1365	
850307	TaxAccRef	152417	
521239	TaxAccRef	177365	
112517	NomRef	1365	
114409	TaxAccRef	1365	
521339	TaxAccRef	177365	
723247	TaxAccRef	166484	
764312	TaxAccRef	177365	
113857	NomRef	141201	
114200	TaxAccRef	1365	
113017	NomRef	1365	
764169	TaxAccRef	177365	
723144	NomRef	166484	
480217	NomRef	152417	
112990	TaxAccRef	141201	
556450	TaxAccRef	148287	
521446	TaxAccRef	177365	
763469	TaxAccRef	177365	
762543	TaxAccRef	177366	
521103	TaxAccRef	177365	
417792	TaxAccRef	141201	
763946	TaxAccRef	177365	
113517	NomRef	1365	
762852	TaxAccRef	177366	
521405	TaxAccRef	177365	
112871	TaxAccRef	1365	
762686	TaxAccRef	177366	
417589	TaxAccRef	152417	
417799	TaxAccRef	141201	
719516	NomRef	152417	
556759	TaxAccRef	148200	
723113	TaxAccRef	166484	
112564	TaxAccRef	1365	
764505	TaxAccRef	177365	
112473	TaxAccRef	1365	
112522	NomRef	1365	
521039	TaxAccRef	142527	
849980	TaxAccRef	193006	
112573	TaxAccRef	1365	
817908	TaxAccRef	220650	
417565	TaxAccRef	141201	
112715	NomRef	1365	
221248	NomRef	152417	
113560	NomRef	1365	
113826	TaxAccRef	141201	
