ID	ReferenceType	ReferenceID	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
556399	TaxAccRef	131962	
397223	TaxAccRef	131337	
113260	NomRef	142047	
113935	NomRef	1365	
710237	NomRef	166484	
113784	TaxAccRef	1365	
723238	TaxAccRef	166484	
556699	TaxAccRef	148199	
113632	TaxAccRef	195830	
521455	TaxAccRef	177365	
113781	TaxAccRef	141201	
817903	TaxAccRef	152417	
764698	TaxAccRef	177365	
397378	TaxAccRef	131357	
113282	TaxAccRef	1365	
418100	TaxAccRef	152417	
850259	TaxAccRef	152417	
183228	NomRef	6831	
418073	NomRef	141201	
112701	NomRef	141201	
521054	NomRef	142527	
763417	TaxAccRef	177365	
522116	TaxAccRef	220650	
763885	TaxAccRef	177365	
113830	TaxAccRef	152417	
762938	TaxAccRef	177366	
112645	TaxAccRef	141201	
521044	TaxAccRef	142527	
417730	TaxAccRef	220650	
112857	TaxAccRef	1365	
556274	TaxAccRef	148215	
509262	TaxAccRef	177365	
723297	TaxAccRef	166484	
521489	TaxAccRef	177365	
764630	TaxAccRef	177365	
113116	TaxAccRef	1365	
465939	TaxAccRef	152417	
764353	TaxAccRef	177365	
763652	NomRef	177365	
521283	NomRef	166484	
418051	TaxAccRef	141201	
417916	NomRef	141201	
112657	TaxAccRef	1365	
113082	TaxAccRef	1365	
466303	TaxAccRef	177365	
849982	TaxAccRef	152417	
403656	NomRef	131354	
466156	TaxAccRef	177366	
764060	TaxAccRef	177365	
113067	NomRef	1365	
556563	TaxAccRef	148196	
850250	TaxAccRef	152417	
113223	TaxAccRef	1365	
849374	NomRef	193006	
484810	TaxAccRef	142190	
850232	TaxAccRef	193006	
492870	TaxAccRef	142527	
417842	TaxAccRef	141201	
763996	TaxAccRef	177365	
521128	TaxAccRef	177365	
723140	TaxAccRef	166484	
850291	TaxAccRef	193006	
480297	NomRef	142190	
527103	TaxAccRef	152417	
417681	TaxAccRef	141201	
525686	NomRef	166484	
480198	TaxAccRef	142190	
764723	TaxAccRef	177365	
112901	NomRef	1365	
723331	TaxAccRef	166484	
114403	NomRef	1365	
113189	TaxAccRef	1365	
761022	TaxAccRef	177365	
112728	TaxAccRef	152417	
556394	TaxAccRef	131962	
556768	TaxAccRef	148200	
556454	TaxAccRef	148289	
114212	NomRef	1365	
762695	TaxAccRef	177366	
113916	TaxAccRef	1365	
112531	NomRef	1365	
113846	NomRef	1365	
417940	TaxAccRef	141201	
397377	TaxAccRef	131356	
418042	TaxAccRef	141201	
113524	NomRef	166484	
113950	TaxAccRef	1365	
763358	TaxAccRef	177365	
723142	NomRef	152417	
114159	TaxAccRef	1365	
763206	TaxAccRef	177366	
480204	NomRef	142190	
112633	NomRef	1365	
531961	TaxAccRef	145571	
113550	TaxAccRef	1365	
556719	TaxAccRef	152417	
112771	TaxAccRef	152417	
849706	NomRef	193006	
417608	TaxAccRef	141201	
761585	NomRef	177365	
533739	TaxAccRef	148298	
113837	TaxAccRef	131342	
764255	TaxAccRef	177365	
417583	TaxAccRef	141201	
466147	TaxAccRef	177366	
466292	TaxAccRef	177366	
735808	NomRef	168349	
478583	TaxAccRef	177366	
582816	TaxAccRef	152417	
556554	TaxAccRef	148196	
413536	NomRef	132676	
763894	TaxAccRef	177365	
113691	TaxAccRef	1365	
521221	TaxAccRef	177365	
395691	TaxAccRef	132676	
525690	NomRef	166484	
114298	TaxAccRef	152417	
556585	NomRef	148196	
113852	TaxAccRef	1365	
114052	TaxAccRef	1365	
112676	NomRef	1365	
764362	TaxAccRef	177365	
556283	TaxAccRef	148221	
762461	TaxAccRef	177366	
556665	TaxAccRef	148199	
763685	TaxAccRef	177365	
113384	TaxAccRef	1365	
531978	TaxAccRef	152417	
763260	TaxAccRef	177365	
521089	TaxAccRef	177365	
112540	NomRef	1365	
