ID	ReferenceType	ReferenceID	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
417652	NomRef	141201	
763193	TaxAccRef	177366	
764051	TaxAccRef	177365	
850236	TaxAccRef	193006	
509266	TaxAccRef	177365	
521251	TaxAccRef	177365	
113331	NomRef	1365	
403656	NomRef	131342	
113477	TaxAccRef	152417	
484806	TaxAccRef	142190	
762691	TaxAccRef	177366	
112610	TaxAccRef	1365	
762474	TaxAccRef	177366	
113416	NomRef	141201	
521116	NomRef	177365	
113897	NomRef	1365	
484676	TaxAccRef	152417	
466133	TaxAccRef	148200	
849666	TaxAccRef	193006	
137340	TaxAccRef	1391	
521132	TaxAccRef	177365	
113012	NomRef	1365	
114305	NomRef	141201	
763983	TaxAccRef	177365	
762572	TaxAccRef	177366	
113134	TaxAccRef	141201	
417634	TaxAccRef	141201	
759656	TaxAccRef	177365	
480293	NomRef	142190	
764770	TaxAccRef	177365	
397234	TaxAccRef	131342	
849659	TaxAccRef	152417	
764451	TaxAccRef	177365	
521200	TaxAccRef	177365	
764302	TaxAccRef	177365	
418001	NomRef	141201	
521102	TaxAccRef	177365	
466245	TaxAccRef	177366	
418102	TaxAccRef	141201	
417702	TaxAccRef	141201	
113597	TaxAccRef	1365	
762942	TaxAccRef	177366	
762440	TaxAccRef	177366	
114033	NomRef	1365	
480177	TaxAccRef	142190	
556581	NomRef	148196	
764651	TaxAccRef	177365	
764417	TaxAccRef	177365	
113495	TaxAccRef	1365	
113480	NomRef	1365	
764149	TaxAccRef	177365	
113429	NomRef	1365	
849842	TaxAccRef	152417	
413877	TaxAccRef	141201	
112427	TaxAccRef	1365	
763210	TaxAccRef	177366	
763583	TaxAccRef	177365	
417750	NomRef	141201	
466347	TaxAccRef	177366	
556747	TaxAccRef	148200	
114163	TaxAccRef	1365	
763481	TaxAccRef	177365	
763732	TaxAccRef	177365	
417770	TaxAccRef	141201	
397168	NomRef	131339	
113965	NomRef	1365	
763430	TaxAccRef	177365	
521383	TaxAccRef	177365	
137327	TaxAccRef	1391	
113261	TaxAccRef	1365	
556720	TaxAccRef	148199	
851631	TaxAccRef	198717	
849008	TaxAccRef	152417	
723225	TaxAccRef	166484	
850246	TaxAccRef	152417	
815248	TaxAccRef	152417	
221331	TaxAccRef	6386	
509259	TaxAccRef	152417	
850009	NomRef	152417	
183041	TaxAccRef	141201	
418004	TaxAccRef	141201	
521149	TaxAccRef	177365	
763699	NomRef	177365	
114014	TaxAccRef	1365	
521231	NomRef	177365	
380589	NomRef	1318	
763315	TaxAccRef	177365	
763613	TaxAccRef	177365	
113695	TaxAccRef	1365	
112992	TaxAccRef	152417	
113114	NomRef	1365	
480161	NomRef	142190	
763617	TaxAccRef	177365	
113083	TaxAccRef	141201	
763108	TaxAccRef	177366	
763366	TaxAccRef	177365	
764719	TaxAccRef	177365	
521468	TaxAccRef	177365	
521349	TaxAccRef	177365	
113444	TaxAccRef	1365	
114061	TaxAccRef	1365	
763864	TaxAccRef	177365	
556672	TaxAccRef	152417	
817907	TaxAccRef	152417	
114048	TaxAccRef	1365	
521502	TaxAccRef	177365	
113975	TaxAccRef	152417	
113728	TaxAccRef	152417	
113246	NomRef	1365	
113504	TaxAccRef	141201	
521268	TaxAccRef	177365	
556390	TaxAccRef	131962	
114227	NomRef	152417	
412704	TaxAccRef	132526	
418095	TaxAccRef	169632	
466034	TaxAccRef	148196	
417570	TaxAccRef	141201	
114260	TaxAccRef	152417	
113112	TaxAccRef	1365	
764783	TaxAccRef	177365	
380587	TaxAccRef	1318	
556286	TaxAccRef	195836	
113529	TaxAccRef	1365	
114065	TaxAccRef	1365	
763949	TaxAccRef	177365	
466299	TaxAccRef	177365	
466509	TaxAccRef	142048	
763630	TaxAccRef	177365	
466143	TaxAccRef	152417	
