ID	ReferenceType	ReferenceID	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
528397	ComNameRef	147411	
478615	NomRef	142047	
146266	TaxAccRef	1365	
112963	NomRef	1365	
112877	TaxAccRef	20734	
114331	TaxAccRef	1365	
764432	TaxAccRef	177365	
533817	TaxAccRef	177365	
417972	TaxAccRef	141201	
850278	TaxAccRef	152417	
764751	TaxAccRef	177365	
521117	TaxAccRef	177365	
764368	TaxAccRef	177365	
557110	TaxAccRef	148294	
521436	TaxAccRef	177365	
522219	TaxAccRef	142047	
113146	NomRef	1365	
531967	TaxAccRef	145571	
492949	TaxAccRef	142527	
762876	TaxAccRef	177366	
113195	TaxAccRef	1365	
556254	TaxAccRef	148208	
113544	TaxAccRef	1365	
582828	NomRef	152417	
763398	TaxAccRef	177365	
112875	TaxAccRef	152417	
758087	TaxAccRef	175677	
112778	TaxAccRef	1365	
595625	NomRef	166484	
418043	TaxAccRef	152417	
866398	TaxAccRef	221708	
113163	NomRef	1365	
113441	TaxAccRef	152417	
850068	TaxAccRef	193006	
521534	TaxAccRef	177365	
763279	TaxAccRef	177365	
556691	TaxAccRef	152417	
112661	NomRef	1365	
521483	TaxAccRef	177365	
521236	TaxAccRef	177365	
466142	NomRef	152417	
533661	TaxAccRef	152417	
112488	TaxAccRef	152417	
113031	NomRef	1365	
417551	TaxAccRef	141201	
112893	TaxAccRef	1365	
114226	TaxAccRef	131342	
479025	NomRef	152417	
762506	TaxAccRef	177366	
489130	TaxAccRef	195830	
113110	TaxAccRef	1365	
413089	TaxAccRef	132529	
723161	NomRef	152417	
113526	TaxAccRef	142527	
418084	NomRef	141201	
850268	TaxAccRef	193006	
113865	NomRef	1365	
850227	TaxAccRef	152417	
417921	TaxAccRef	141201	
764483	TaxAccRef	177365	
136148	NomRef	1345	
112498	TaxAccRef	141201	
762659	TaxAccRef	177366	
182993	TaxAccRef	131937	
112527	TaxAccRef	1365	
137336	TaxAccRef	141201	
764802	TaxAccRef	177365	
521168	TaxAccRef	177365	
112984	NomRef	141201	
112722	TaxAccRef	152417	
762906	TaxAccRef	177366	
112434	TaxAccRef	141201	
556762	TaxAccRef	148200	
112973	TaxAccRef	152417	
762540	TaxAccRef	177366	
417687	TaxAccRef	141201	
521100	TaxAccRef	177365	
556345	TaxAccRef	148261	
113293	TaxAccRef	1365	
418104	TaxAccRef	141201	
594860	NomRef	152417	
113463	TaxAccRef	1365	
113931	TaxAccRef	1365	
114367	NomRef	1365	
114399	TaxAccRef	1365	
762588	NomRef	177366	
418070	TaxAccRef	141201	
382626	TaxAccRef	148273	
418019	TaxAccRef	141201	
480209	TaxAccRef	142190	
490070	TaxAccRef	195836	
764385	TaxAccRef	177365	
764283	TaxAccRef	177365	
113863	TaxAccRef	1365	
114306	TaxAccRef	141201	
113527	TaxAccRef	1365	
480212	TaxAccRef	148272	
478581	NomRef	142047	
762890	NomRef	177366	
113811	TaxAccRef	152417	
113329	NomRef	1365	
113862	TaxAccRef	152417	
466443	TaxAccRef	142048	
760692	TaxAccRef	177365	
417802	TaxAccRef	141201	
762408	TaxAccRef	177366	
114255	TaxAccRef	141201	
113499	NomRef	1365	
508074	TaxAccRef	142527	
417738	TaxAccRef	141201	
763449	TaxAccRef	177365	
526550	TaxAccRef	177365	
112693	TaxAccRef	1365	
480227	NomRef	142190	
114026	TaxAccRef	131342	
850036	NomRef	193006	
113259	TaxAccRef	1365	
849007	NomRef	152417	
723241	NomRef	166484	
113933	NomRef	1365	
522876	NomRef	166484	
764117	TaxAccRef	177365	
183214	TaxAccRef	131937	
114195	TaxAccRef	1365	
403643	TaxAccRef	131357	
113078	NomRef	1365	
417660	TaxAccRef	152417	
113437	NomRef	6379	
112780	NomRef	1365	
763849	TaxAccRef	177365	
478597	TaxAccRef	142047	
113397	NomRef	1365	
