ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
761684	761683	Alabamina		mitis	Gudina, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:761684	
522912	816190	Ammobaculites		catenulatus	Cushman & McCulloch, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522912	
757082	114298	Ammoglobigerina		bulloides	Eimer & Fickert, 1899				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:757082	
112848	112847	Ammonia		batavus	(Hofker, 1951)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:112848	
849360	812463	Ammonia		ketienziensis		subsp. angulata	Subspecies	(Kuwano, 1950)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:849360	
595914	417594	Ammoscalaria		fluvialis	(Parker, 1952)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:595914	
816206	113350	Eilohedra		weddellensis	(Earland, 1936)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:816206	
113355	113350	Eponides		pusillus	Parr, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113355	
113362	113350	Eponides		weddellensis	Earland, 1936				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113362	
556226	851633	Globotrochamminopsis		bellingshauseni	Brönnimann & Whittaker, 1988				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:556226	
817112	412756	Globotrochamminopsis		globulosa	(Cushman, 1920)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:817112	
398859	851631	Globotrochamminopsis		shannoni	(Brönnimann & Whittaker, 1988)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:398859	
521549	112539	Massilina		alveoliniformis	Millett, 1898				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:521549	
522393	759419	Patellina		campanaeformis	Brady, 1884				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522393	
113385	112850	Pseudoeponides		falsobeccarii	Rouvillois, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113385	
866393	812747	Pseudoeponides		ketienziensis	(Ishizaki, 1943)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:866393	
523421	112846	Rotalia		ammoniformis	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523421	
815318	812464	Rotalia		asanoi	Uchio, 1951				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:815318	
521634	582710	Rotalia		avalonensis	Natland, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:521634	
428795	112849	Rotalia		beccarii	(Linnaeus, 1758)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:428795	
757064	723119	Acupeina		salsum	(Cushman & Bronnimann, 1948)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:757064	
595054	113781	Astacolus		crepidulatus	de Montfort, 1808				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:595054	
521560	526543	Bigenerina		schlumbergerii	Millett, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:521560	
525688	849267	Bulimina		convoluta		var. nitida	Variety	Millett, 1900	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525688	
814812	490092	Camerina		ammonoides	(Gronovius, 1781)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:814812	
522647	417829	Cristellaria		albatrossi	Cushman, 1923				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522647	
528509	592537	Cristellaria		complanata	Reuss, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528509	
390649	113781	Cristellaria		crepidula	(Fichtel & Moll)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:390649	
528237	592827	Cristellaria		haswelli	Goddard, 1907				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528237	
478683	466135	Cristellaria		insolita	Schwager, 1866				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:478683	
710315	710314	Cristellaria		italica		var. acutocarinata	Variety	Cushman, 1917	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:710315	
528209	417830	Cristellaria		limbata	Flint, 1899				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528209	
592830	710322	Cristellaria		obtusata		var. subalata	Variety	Brady, 1884	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:592830	
582885	582882	Cristellaria		schloenbachi	Reuss, 1863				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:582885	
525928	582902	Cristellaria		subaculeata		var. glabrata	Variety	Cushman, 1923	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525928	
525538	556057	Cristellaria		subarcuatula	(Walker & Jacob, 1798)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525538	
522926	736506	Cushmanella		primitiva	Cushman & McCulloch, 1940				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522926	
763976	490027	Fawcettia		panayensis	McCulloch, 1977				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:763976	
525686	723119	Haplophragmium		agglutinans		var. triperforata	Variety	Millett, 1899	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525686	
723120	723119	Haplophragmium		salsum	Cushman & Brönniman, 1948				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:723120	
772168	113780	Alfredosilvestris		scalaris	(Batsch, 1791)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:772168	
734375	815671	Amphicoryna		hirsuta		f. aculeata	Forma	(d'Orbigny, 1846)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:734375	
479098	479099	Amphicoryna		hirsuta		var. sublineata	Variety	(Brady, 1884)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479098	
113778	417824	Amphicoryna		hispida	(d'Orbigny, 1846)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113778	
466561	417824	Amphicoryna		hispida		f. hispida	Forma	(d'Orbigny, 1846)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:466561	
814763	772163	Amphicoryna		pauciloculata	(Cushman, 1917)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:814763	
814764	816188	Amphicoryna		scalaris		subsp. sagamiensis	Subspecies	(Asano, 1936)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:814764	
417828	479099	Amphicoryna		sublineata	(Brady, 1884)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:417828	
528104	417823	Amphicoryne		camachoi	Andersen, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528104	
522061	556607	Amphicoryne		edwardsii	Schlumberger, 1887				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522061	
521573	556606	Amphicoryne		glabra	Millett, 1903				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:521573	
522073	556608	Amphicoryne		parasitica	Schlumberger, 1892				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522073	
528105	417826	Amphicoryne		roedereri	Andersen, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528105	
533664	490081	Anomalina		mabahethi	(Said, 1949)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:533664	
765408	765409	Astrodiscus		arenaceus	Schultze, 1875				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:765408	
113839	113842	Astrorhiza		angulosa	Brady, 1881				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113839	
594519	113842	Astrorhizinella		granulosa	(Brady, 1879)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:594519	
710507	112827	Gypsina		inhaerens	(Schultze, 1854)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:710507	
765412	765413	Haeckelina		gigantea	Bessels, 1875				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:765412	
815670	815671	Lagenonodosaria		aculeata	(d'Orbigny, 1846)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:815670	
525595	113780	Lagenonodosaria		scalaris	(Batsch, 1791)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525595	
522264	113842	Marsipella		granulosa	Brady, 1879				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522264	
528116	744812	Mikrogromia		mucicola	Archer, 1877				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:528116	
523359	556604	Nodosaria		cancellata	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523359	
736507	736508	Nodosaria		dentalina	Lamarck, 1822				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:736507	
523500	113780	Nodosaria		gibba	d'Orbigny, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523500	
479095	417824	Nodosaria		hirsuta	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479095	
479096	417824	Nodosaria		hispida	d'Orbigny, 1846				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479096	
522333	417825	Nodosaria		intercellularis	Brady, 1881				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:522333	
523370	113780	Nodosaria		longicauda	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523370	
523371	556610	Nodosaria		nitida	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523371	
523501	113780	Nodosaria		oblonga	d'Orbigny, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523501	
503205	113779	Nodosaria		papillosa	O. Silvestri, 1872				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:503205	
525630	772163	Nodosaria		pauciloculata	Cushman, 1917				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:525630	
582631	466134	Nodosaria		proxima	Silvestri, 1872				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:582631	
595818	113780	Nodosaria		pulchella	d"Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:595818	
814762	814761	Nodosaria		raphanus		var. falx	Variety	Jones & Parker, 1860	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:814762	
479100	113780	Nodosaria		scalaris	(Batsch, 1791)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479100	
479101	417827	Nodosaria		scalaris		var. separans	Variety	Brady, 1884	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479101	
523377	556605	Nodosaria		soldanii	d'Orbigny, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:523377	
556912	113780	Nodosaria		striaticollis	d'Orbigny, 1839				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:556912	
417607	113837	Adercotryma		glomeratum	(Brady, 1878)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:417607	
595414	417988	Anomalina		colligera	Chapman & Parr, 1937				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:595414	
479264	490086	Anomalina		glabrata	Cushman, 1924				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479264	
479266	735560	Anomalina		pompilioides		var. semicribrata	Variety	Beckmann, 1954	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479266	
478874	466403	Anomalina		spherica	Finlay, 1940				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:478874	
521777	850318	Anomalinoides		concinus	Saidova, 1975				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:521777	
466402	490086	Anomalinoides		glabratus	(Cushman, 1924)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:466402	
417992	850319	Anomalinoides		mexicanus	Parker, 1954				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:417992	
479267	735560	Anomalinoides		semicribratus	(Beckmann, 1954)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:479267	
730623	417989	Cibicides		deprimus	Phleger & Parker, 1951				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:730623	
585190	417991	Cibicides		io	Cushman, 1931				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:585190	
418065	556064	Cibicidoides		incrassatus	(Fichtel & Moll, 1798)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:418065	
736521	417991	Cibicidoides		io	(Cushman, 1931)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:736521	
183132	556626	Dorothia		gibbosa	(d'Orbigny, 1826)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:183132	
113829	113837	Glomospira		glomerata	Höglund, 1947				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:113829	
