ReferenceID	Authors	Year	Title	Details	
128250	Chang, Kubota & Shirayama.	2002	New marine gastrotrichs of the family Thaumastodermatidae (Gastrotricha: Macrodasyida) from Shirahama, Japan. Proceedings of the Biological Society of Washington 115 (4): 769-781		
43072	Ruppert, E.E.	1979	Morphology and systematics of the Xenotrichulidae (Gastrotricha, Chaetonotida). AKADEMIE DER WISSENSCHAFTEN UND DER LITERATUR MAINZ MATHEMATISCH-NATURWISSENSCHAFTLICHEN KLASSE MIKROFAUNA DES MEERESBODENS No. 76, : 15		
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp.		
164935	Hummon, W. D. & Kelly, J. L.	2011	Turbanella amphiatlantica, a new species of Gastrotricha (Macrodasyida) from eastern North America and northwest Europe. Meiofauna Marina, Vol. 18,		
131244	Todaro.	2002	An interesting new gastrotrich from littoral meiobenthos (Long Beach Island, USA), with a key to species of Tetranchyroderma (Gastrotricha: Macrodasyida). Journal of the Marine Biological Association of the United Kingdom 82 (4): 555-563		
163114	Gerlach, S. A.	1953	Gastrotrichen aus dem Küstengrundwasser des Mittelmeeres. Zool. Anz. 150: 203-211 figs.		
164938	Hochberg, Rick & Atherton, Sarah	2011	A new species of Lepidodasys (Gastrotricha, Macrodasyida) from Panama with a description of its peptidergic nervous system using CLSM, anti-FMRFamide and anti-SCPB. Zoologischer Anzeiger 250 (2011) 111–122		
43069			d'Hondt, Jean-Loup		
164932	Hummon, William D.	2011	Marine Gastrotricha of the Near East: 1. Fourteen new species of Macrodasyida and a redescription of Dactylopodola agadasys Hochberg, 2003. ZooKeys 94: 1–59.		
1354	d'Hondt, J.-L.; van der Land, J.	2001	Gastrotricha, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
