ID	ReferenceType	ReferenceID	
114468	TaxAccRef	663	
114475	TaxAccRef	1354	
114477	TaxAccRef	1318	
114479	TaxAccRef	125740	
114479	TaxAccRef	141226	
114486	TaxAccRef	663	
114493	TaxAccRef	1354	
114496	TaxAccRef	163112	
114500	TaxAccRef	1354	
114502	TaxAccRef	1318	
114504	TaxAccRef	125740	
114515	TaxAccRef	43080	
114518	TaxAccRef	1354	
114522	TaxAccRef	125740	
114525	TaxAccRef	663	
114527	TaxAccRef	1318	
114536	TaxAccRef	663	
114543	TaxAccRef	1354	
114545	TaxAccRef	1318	
114547	TaxAccRef	125740	
114550	TaxAccRef	663	
114552	TaxAccRef	1318	
114555	TaxAccRef	43072	
114556	TaxAccRef	1318	
114557	TaxAccRef	1354	
114561	TaxAccRef	1354	
114568	TaxAccRef	1354	
114570	TaxAccRef	1318	
114571	TaxAccRef	9269	
114572	TaxAccRef	125740	
114575	TaxAccRef	663	
114582	TaxAccRef	1354	
114583	TaxAccRef	43080	
114583	TaxAccRef	163116	
114586	TaxAccRef	1354	
114590	TaxAccRef	125740	
114595	TaxAccRef	1318	
114597	TaxAccRef	43080	
114600	TaxAccRef	663	
114607	TaxAccRef	1354	
114611	TaxAccRef	1354	
114613	TaxAccRef	1318	
114615	TaxAccRef	125740	
114618	TaxAccRef	663	
114620	TaxAccRef	1318	
114625	TaxAccRef	1354	
114636	TaxAccRef	1354	
114638	TaxAccRef	1318	
114640	TaxAccRef	125740	
114643	TaxAccRef	663	
114650	TaxAccRef	1354	
114658	TaxAccRef	125740	
114663	TaxAccRef	1318	
114668	TaxAccRef	663	
114675	TaxAccRef	1354	
114681	TaxAccRef	1318	
114683	TaxAccRef	125740	
114685	TaxAccRef	43073	
114688	TaxAccRef	1318	
114690	TaxAccRef	43080	
114693	TaxAccRef	1354	
114700	TaxAccRef	1354	
114706	TaxAccRef	1318	
247800	TaxAccRef	43068	
247802	TaxAccRef	1318	
247804	TaxAccRef	125740	
247807	TaxAccRef	43068	
247811	TaxAccRef	43068	
247822	TaxAccRef	125740	
247822	TaxAccRef	141226	
247825	TaxAccRef	43068	
247829	TaxAccRef	125740	
265225	TaxAccRef	1318	
265232	TaxAccRef	1318	
265250	TaxAccRef	1318	
265252	TaxAccRef	125740	
265252	TaxAccRef	141226	
265270	TaxAccRef	125740	
265275	TaxAccRef	1318	
265277	TaxAccRef	125740	
265293	TaxAccRef	1318	
265295	TaxAccRef	125740	
265300	TaxAccRef	1318	
265318	TaxAccRef	1318	
265334	TaxAccRef	125740	
265343	TaxAccRef	1318	
265345	TaxAccRef	125740	
265357	TaxAccRef	1318	
265361	TaxAccRef	1318	
265368	TaxAccRef	1318	
265382	TaxAccRef	1318	
265386	TaxAccRef	1318	
265402	TaxAccRef	125740	
265407	TaxAccRef	1318	
265409	TaxAccRef	125740	
265411	TaxAccRef	1318	
265413	TaxAccRef	125740	
265425	TaxAccRef	1318	
265436	TaxAccRef	1318	
265450	TaxAccRef	1318	
265452	TaxAccRef	125740	
265470	TaxAccRef	125740	
265475	TaxAccRef	1318	
265477	TaxAccRef	125740	
265493	TaxAccRef	1318	
265495	TaxAccRef	125740	
265500	TaxAccRef	1318	
265518	TaxAccRef	1318	
265520	TaxAccRef	125740	
265538	TaxAccRef	125740	
265543	TaxAccRef	1318	
265561	TaxAccRef	1318	
265563	TaxAccRef	125740	
265568	TaxAccRef	1318	
265584	TaxAccRef	141226	
265586	TaxAccRef	1318	
265588	TaxAccRef	125740	
265602	TaxAccRef	125740	
265611	TaxAccRef	1318	
265825	TaxAccRef	1318	
265836	TaxAccRef	1318	
265850	TaxAccRef	1318	
265852	TaxAccRef	125740	
265854	TaxAccRef	1318	
265904	TaxAccRef	1318	
265918	TaxAccRef	1318	
265968	TaxAccRef	1318	
267976	TaxAccRef	1318	
267990	TaxAccRef	1318	
378178	TaxAccRef	125740	
378185	TaxAccRef	125740	
378203	TaxAccRef	125740	
378228	TaxAccRef	125740	
378246	TaxAccRef	125740	
378246	TaxAccRef	177484	
378253	TaxAccRef	125740	
378271	TaxAccRef	125740	
378296	TaxAccRef	125740	
378310	TaxAccRef	125740	
378314	TaxAccRef	125740	
710779	TaxAccRef	164931	
710798	TaxAccRef	164932	
710858	TaxAccRef	170704	
740861	TaxAccRef	171335	
740864	TaxAccRef	171352	
740870	TaxAccRef	171354	
760831	TaxAccRef	164944	
114472	TaxAccRef	1318	
114474	TaxAccRef	125740	
114479	TaxAccRef	1318	
114481	TaxAccRef	125740	
114486	TaxAccRef	1318	
114502	TaxAccRef	1354	
114505	TaxAccRef	9269	
114506	TaxAccRef	141226	
114509	TaxAccRef	1354	
114512	TaxAccRef	9269	
114516	TaxAccRef	1354	
114520	TaxAccRef	663	
114520	TaxAccRef	141226	
114524	TaxAccRef	125740	
114527	TaxAccRef	663	
114531	TaxAccRef	125740	
114536	TaxAccRef	1318	
114538	TaxAccRef	125740	
114552	TaxAccRef	1354	
114555	TaxAccRef	9269	
114556	TaxAccRef	141226	
114559	TaxAccRef	1354	
114562	TaxAccRef	9269	
114563	TaxAccRef	141226	
114566	TaxAccRef	1354	
114572	TaxAccRef	1318	
114574	TaxAccRef	125740	
114579	TaxAccRef	1318	
114581	TaxAccRef	125740	
114586	TaxAccRef	1318	
114588	TaxAccRef	43080	
114588	TaxAccRef	125740	
114602	TaxAccRef	1354	
114602	TaxAccRef	43068	
114609	TaxAccRef	1354	
114616	TaxAccRef	1354	
114620	TaxAccRef	663	
114622	TaxAccRef	1318	
114624	TaxAccRef	125740	
114627	TaxAccRef	663	
114629	TaxAccRef	1318	
114636	TaxAccRef	1318	
114652	TaxAccRef	1354	
114659	TaxAccRef	1354	
114666	TaxAccRef	1354	
114672	TaxAccRef	1318	
114674	TaxAccRef	125740	
114677	TaxAccRef	663	
114679	TaxAccRef	1318	
114681	TaxAccRef	125740	
114684	TaxAccRef	663	
114688	TaxAccRef	125740	
114702	TaxAccRef	1354	
154546	TaxAccRef	663	
154564	TaxAccRef	125740	
231868	TaxAccRef	9269	
247791	TaxAccRef	43068	
247801	TaxAccRef	172834	
247804	TaxAccRef	1318	
247806	TaxAccRef	125740	
247811	TaxAccRef	1318	
247813	TaxAccRef	125740	
247818	TaxAccRef	1318	
247820	TaxAccRef	125740	
247827	TaxAccRef	43068	
247834	TaxAccRef	43068	
265216	TaxAccRef	1318	
265218	TaxAccRef	125740	
265252	TaxAccRef	1318	
265254	TaxAccRef	125740	
265259	TaxAccRef	1318	
265266	TaxAccRef	1318	
