ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
265855	265854	Chordodasys		antennatus	Rieger, Ruppert, Rieger & Schoepfer-Sterrer, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265855	
247912	114515	Chaetonotus	Halichaetonotus	jucundus	d'Hondt, 1971				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:247912	
114488	114517	Chaetonotus		littoralis	d'Hondt, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114488	
114495	114520	Chaetonotus		paradoxus	Remane, 1927				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114495	
114482	247796	Chaetonotus		decipiens	Remane, 1926				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114482	
114497	114521	Chaetonotus		parvus	Wilke, 1954				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114497	
231868	114522	Chaetonotus		pleuracanthus	Remane, 1926				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:231868	
114503	711014	Chaetonotus		somniculosus	Mock, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114503	
265405	378195	Chaetonotus		testiculophorus	Hummon, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265405	
114512	247796	Halichaetonotus		dubius	(Remane, 1926)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114512	
378194	711613	Halichaetonotus		poloniense	Hummon, 2008				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378194	
114525	711015	Halichaetonotus		spinosus	Mock, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114525	
114597	114595	Mesodasys		lobocercus	(Boaden, 1960)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114597	
764983	378209	Chaetonotus	Lepidochaetus	brasilianus	Balsamo, d’Hondt, Pierboni & Grilli, 2009				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:764983	
265424	378213	Chaetonotus	Lepidochaetus	zelinkai	Grünspan, 1908				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265424	
265261	378213	Chaetonotus		berissensis	Grosso, 1976				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265261	
265271	378210	Chaetonotus		carpaticus	Rudescu, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265271	
265352	378211	Chaetonotus		ornatus	Daday, 1897				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265352	
265371	378212	Chaetonotus		pusillus	Daday, 1905				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265371	
765213	378207	Chaetonotus		squamatus	Dujardin, 1841				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:765213	
267980	378207	Chaetonotus		tesselatus	Metschnikoff, 1865				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:267980	
378314	378213	Lepidochaetus		zelinkai		var. bernensis	Variety	Steiner, 1913	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378314	
378312	378213	Lepidochaetus		zelinkai		var. gallicus	Variety	d'Hondt, 1967	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378312	
378311	378213	Lepidochaetus		zelinkai		var. graecensis	Variety	Grünspan, 1908	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378311	
765214	378207	Lepidoderma		squammatum	(Dujardin, 1841)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:765214	
114545	378205	Lepidodermella		limogenum	Schrom, 1972				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114545	
247801	378207	Lepidodermella		squamatum	(Dujardin, 1941)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:247801	
378208	265482	Lepidodermella		trilobum	Brunson, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378208	
114596	378239	Mesodasys		litoralis	Remane, 1951				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:114596	
265464	265455	Ichthydium	Furficulichthys	monolobum	Brunson, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265464	
265472	265473	Ichthydium	Ichthydium	stokesi	Grosso, 1973				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265472	
265445	265471	Ichthydium		armigerum	Balsamo & Fregni, 1995				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:265445	
114541	760983	Ichthydium		cyclocephalum	Grünspan, 1908				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:114541	
