AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
265831	Animalia	Gnathostomulida		Bursovaginoidea		Agnathiellidae	Agnathiella		beckeri	Sterrer, 1971	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265831		urn:lsid:marinespecies.org:taxname:265831	
265832	Animalia	Gnathostomulida		Bursovaginoidea		Agnathiellidae	Agnathiella		nominata	Sterrer, 2001	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265832		urn:lsid:marinespecies.org:taxname:265832	
265614	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		atraclava	Ehlers & Ehlers, 1973	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265614		urn:lsid:marinespecies.org:taxname:265614	
265615	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		australis	Sterrer, 2006	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265615		urn:lsid:marinespecies.org:taxname:265615	
767396	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		barbadensis	Sterrer, 2011	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2014-07-21 18:48:14	http://www.marinespecies.org/aphia.php?p=taxdetails&id=767396		urn:lsid:marinespecies.org:taxname:767396	
114729	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		boadeni	Sterrer, 1971	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2006-04-10 22:34:11	http://www.marinespecies.org/aphia.php?p=taxdetails&id=114729		urn:lsid:marinespecies.org:taxname:114729	
265616	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		homunculus	Sterrer, 1991	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265616		urn:lsid:marinespecies.org:taxname:265616	
265617	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		kirsteueri	Sterrer, 1970	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265617		urn:lsid:marinespecies.org:taxname:265617	
265618	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		medusifera	Sterrer, 1998	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265618		urn:lsid:marinespecies.org:taxname:265618	
265619	Animalia	Gnathostomulida		Bursovaginoidea		Austrognathiidae	Austrognatharia		mooreensis	Sterrer, 1991	accepted	Accepted name	0	marine		Sterrer, Wolfgang	2010-01-27 16:18:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265619		urn:lsid:marinespecies.org:taxname:265619	
