ID	ReferenceType	ReferenceID	
125182	ComNameRef	163039	
124525	ComNameRef	141968	
124501	ComNameRef	141968	
124713	ComNameRef	147411	
149904	ComNameRef	147411	
124685	ComNameRef	9269	
124501	ComNameRef	614	
149904	ComNameRef	147411	
148825	ComNameRef	151643	
124535	ComNameRef	147411	
124544	ComNameRef	147411	
124670	ComNameRef	147411	
124681	ComNameRef	147411	
125182	ComNameRef	141968	
241876	ComNameRef	141968	
124540	ComNameRef	151643	
124710	ComNameRef	147411	
125182	ComNameRef	163039	
124455	ComNameRef	147411	
124710	ComNameRef	147412	
124525	ComNameRef	163039	
124465	ComNameRef	147411	
367868	ComNameRef	141968	
124710	ComNameRef	147411	
124525	ComNameRef	163039	
124612	ComNameRef	147411	
124568	ComNameRef	165516	
125181	ComNameRef	141968	
124535	ComNameRef	147411	
124653	ComNameRef	147411	
124470	ComNameRef	147411	
124696	ComNameRef	147411	
124535	ComNameRef	147412	
124685	ComNameRef	147411	
149898	ComNameRef	147411	
124501	ComNameRef	163043	
124501	ComNameRef	163043	
124593	ComNameRef	147411	
124593	ComNameRef	147411	
124694	ComNameRef	165516	
124462	ComNameRef	147411	
124549	ComNameRef	147411	
125182	ComNameRef	147411	
124670	ComNameRef	147411	
124670	ComNameRef	147411	
149904	ComNameRef	147411	
148825	ComNameRef	151643	
124501	ComNameRef	163043	
124612	ComNameRef	147411	
124593	ComNameRef	147411	
124612	ComNameRef	147412	
124463	ComNameRef	147411	
124645	ComNameRef	147411	
124549	ComNameRef	147411	
124501	ComNameRef	163039	
124649	ComNameRef	165516	
125182	ComNameRef	163039	
124671	ComNameRef	147411	
125180	ComNameRef	141968	
124540	ComNameRef	151643	
124661	ComNameRef	147411	
124710	ComNameRef	147411	
124501	ComNameRef	163039	
124448	ComNameRef	147411	
124685	ComNameRef	147411	
124549	ComNameRef	147411	
125182	ComNameRef	163039	
124429	NomRef	1368	
124429	NomRef	145777	
124444	NomRef	64	
124447	TaxAccRef	1068	
124455	TaxAccRef	64	
124461	NomRef	64	
124468	NomRef	192633	
124474	NomRef	64	
124480	NomRef	1368	
124491	NomRef	64	
124491	NomRef	50111	
124497	NomRef	1368	
124508	NomRef	64	
124510	NomRef	1368	
124514	NomRef	1368	
124525	TaxAccRef	1368	
124527	NomRef	1368	
124528	TaxAccRef	1056	
124534	NomRef	141249	
124536	NomRef	145930	
124542	NomRef	64	
124543	NomRef	168160	
124544	NomRef	1368	
124559	TaxAccRef	1368	
124561	NomRef	1368	
124569	NomRef	132589	
124576	NomRef	64	
124583	NomRef	145808	
124593	TaxAccRef	1063	
124593	TaxAccRef	1368	
124608	TaxAccRef	64	
124610	NomRef	64	
124613	NomRef	145848	
124627	TaxAccRef	1368	
124629	NomRef	1368	
124644	NomRef	64	
124655	TaxAccRef	662	
124661	TaxAccRef	1066	
124661	TaxAccRef	1368	
124661	TaxAccRef	9214	
124672	TaxAccRef	64	
124676	TaxAccRef	42380	
124680	NomRef	1368	
124695	NomRef	64	
124697	NomRef	1368	
124706	TaxAccRef	64	
124708	TaxAccRef	1368	
124718	NomRef	132589	
124723	TaxAccRef	64	
124725	TaxAccRef	1368	
124728	TaxAccRef	1300	
124742	TaxAccRef	1368	
124748	NomRef	1368	
124757	TaxAccRef	64	
124759	TaxAccRef	1368	
124759	TaxAccRef	146051	
124761	NomRef	1368	
124774	TaxAccRef	64	
124776	NomRef	64	
124793	NomRef	64	
124795	NomRef	1368	
124801	TaxAccRef	141249	
124810	NomRef	64	
124812	NomRef	1368	
148785	TaxAccRef	1106	
148822	TaxAccRef	1041	
149903	TaxAccRef	6392	
152552	TaxAccRef	64	
152565	TaxAccRef	64	
152571	NomRef	64	
158485	TaxAccRef	2930	
174030	NomRef	4179	
174046	TaxAccRef	4179	
174055	TaxAccRef	146068	
174057	NomRef	4183	
174063	TaxAccRef	4179	
174081	NomRef	4179	
208946	TaxAccRef	5997	
208952	TaxAccRef	152417	
208956	TaxAccRef	152417	
210659	NomRef	5995	
210663	NomRef	6117	
210665	NomRef	5981	
210682	NomRef	6338	
210684	NomRef	6129	
210686	TaxAccRef	5997	
210692	TaxAccRef	139397	
210766	TaxAccRef	145655	
210775	TaxAccRef	5951	
210821	NomRef	6337	
210832	NomRef	5997	
210835	TaxAccRef	5997	
210863	TaxAccRef	6130	
210864	TaxAccRef	146015	
210868	TaxAccRef	146018	
210869	TaxAccRef	5997	
210874	TaxAccRef	6510	
210877	NomRef	6130	
210898	TaxAccRef	146015	
210907	NomRef	168026	
210909	TaxAccRef	6050	
210937	TaxAccRef	5997	
210951	NomRef	5997	
210965	TaxAccRef	6020	
210985	TaxAccRef	6129	
210988	TaxAccRef	5997	
211001	NomRef	6338	
211001	NomRef	146018	
211006	NomRef	6317	
211008	NomRef	6221	
212479	TaxAccRef	152417	
213074	NomRef	6119	
213181	TaxAccRef	152417	
213631	TaxAccRef	6327	
213631	TaxAccRef	145769	
213632	TaxAccRef	6346	
214627	NomRef	5997	
214631	TaxAccRef	145751	
214633	TaxAccRef	6118	
214639	NomRef	6271	
225685	TaxAccRef	8948	
225807	TaxAccRef	9179	
237999	NomRef	4183	
241413	TaxAccRef	42923	
241776	TaxAccRef	152417	
241783	TaxAccRef	146025	
241790	TaxAccRef	145969	
241820	TaxAccRef	146018	
241823	TaxAccRef	6517	
241823	TaxAccRef	141249	
241833	TaxAccRef	146015	
241854	TaxAccRef	145844	
241870	TaxAccRef	6511	
241884	NomRef	145828	
241920	TaxAccRef	106275	
241936	TaxAccRef	5997	
241939	TaxAccRef	145783	
241945	TaxAccRef	168125	
241956	TaxAccRef	145969	
241993	TaxAccRef	152417	
242067	NomRef	145639	
242091	TaxAccRef	220650	
246652	NomRef	23020	
254500	TaxAccRef	43951	
254667	NomRef	43951	
254670	TaxAccRef	43951	
325442	TaxAccRef	4183	
345443	TaxAccRef	47805	
387636	TaxAccRef	129470	
387641	TaxAccRef	127204	
387641	TaxAccRef	128952	
389029	TaxAccRef	129456	
389594	TaxAccRef	127204	
389594	TaxAccRef	129132	
414262	TaxAccRef	132589	
414279	TaxAccRef	132589	
422532	TaxAccRef	141249	
428597	TaxAccRef	145857	
428605	TaxAccRef	145695	
428762	TaxAccRef	133468	
528771	TaxAccRef	145613	
528791	TaxAccRef	145664	
528855	TaxAccRef	145713	
528882	TaxAccRef	145772	
528899	TaxAccRef	145772	
528932	TaxAccRef	145814	
528963	TaxAccRef	168119	
