AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
124598	Koksijde	Text		
124465	Calais	Text		
124647	Calais	Text		
124685	Calais	Text		
124685	Calais	Text		
124653	Calais	Text		
124670	Calais	Text		
124645	Wimereux	Text		
124647	Wimereux	Text		
124685	Wimereux	Text		
124639	Wimereux	Text		
124653	Wimereux	Text		
124465	Wimereux	Text		
124612	Wimereux	Text		
124598	Wimereux	Text		
124670	Wimereux	Text		
124612	Atlantic	Text		
124434	Atlantic	Text		
208952	Pacific Ocean	Text		
225807	Pacific Ocean	Text		
241810	Pacific Ocean	Text		
148748	Pacific Ocean	Text		
210835	Pacific Ocean	Text		
149789	Pacific Ocean	Text		
208952	Indian Ocean	Text		
124783	Indian Ocean	Text		
124483	Mediterranean Sea	Text		
124483	Mediterranean Sea	Text	exotic	
124667	Mediterranean Sea	Text		
124670	Mediterranean Sea	Text		
124670	Mediterranean Sea	Text		
125222	Mediterranean Sea	Text		
124671	Mediterranean Sea	Text		
124672	Mediterranean Sea	Text		
124439	Mediterranean Sea	Text		
125218	Mediterranean Sea	Text		
124745	Mediterranean Sea	Text		
124688	Mediterranean Sea	Text		
125187	Mediterranean Sea	Text		
125188	Mediterranean Sea	Text		
124579	Mediterranean Sea	Text		
124653	Mediterranean Sea	Text		
124587	Mediterranean Sea	Text		
124661	Mediterranean Sea	Text		
124662	Mediterranean Sea	Text		
124702	Mediterranean Sea	Text		
124801	Mediterranean Sea	Text		
124638	Mediterranean Sea	Text		
124644	Mediterranean Sea	Text		
124645	Mediterranean Sea	Text		
124646	Mediterranean Sea	Text		
124647	Mediterranean Sea	Text		
124647	Mediterranean Sea	Text		
124647	Mediterranean Sea	Text		
124647	Mediterranean Sea	Text		
124648	Mediterranean Sea	Text		
152547	Mediterranean Sea	Text		
152552	Mediterranean Sea	Text		
178811	Mediterranean Sea	Text		
152569	Mediterranean Sea	Text		
124576	Mediterranean Sea	Text		
124568	Mediterranean Sea	Text		
124466	Mediterranean Sea	Text		
124467	Mediterranean Sea	Text		
124467	Mediterranean Sea	Text		
124461	Mediterranean Sea	Text		
124455	Mediterranean Sea	Text		
124455	Mediterranean Sea	Text		
124457	Mediterranean Sea	Text		
124457	Mediterranean Sea	Text		
124463	Mediterranean Sea	Text		
124465	Mediterranean Sea	Text		
125185	Mediterranean Sea	Text		
125185	Mediterranean Sea	Text		
124528	Mediterranean Sea	Text		
124525	Mediterranean Sea	Text		
124525	Mediterranean Sea	Text		
124501	Mediterranean Sea	Text		
124501	Mediterranean Sea	Text		
124634	Mediterranean Sea	Text		
124783	Mediterranean Sea	Text		
124784	Mediterranean Sea	Text		
124506	Mediterranean Sea	Text		
124512	Mediterranean Sea	Text		
125181	Mediterranean Sea	Text		
125182	Mediterranean Sea	Text		
125182	Mediterranean Sea	Text		
124782	Arctic Ocean	Text		
124681	Arctic Ocean	Text		
124434	Arctic Ocean	Text		
124612	Arctic Ocean	Text		
124612	Arctic Ocean	Text		
124731	Arctic Ocean	Text		
124568	Arctic Ocean	Text		
124798	Arctic Ocean	Text		
124641	Arctic Ocean	Text		
124443	Arctic Ocean	Text		
124446	Arctic Ocean	Text		
124655	Arctic Ocean	Text		
124452	Arctic Ocean	Text		
124710	Arctic Ocean	Text		
124710	Arctic Ocean	Text		
225807	North Pacific	Text		
529459	North Pacific	Text		
529305	North Pacific	Text		
124447	North Atlantic	Text		
124703	North Atlantic	Text		
124797	North Atlantic	Text		
124440	North Atlantic	Text		
124783	North Atlantic	Text		
124467	Africa	Text		
174115	Antarctica	Text		
210814	Eritrea	Text		
124676	Ireland	Text		
210974	Kenya	Text		
210974	Kenya	Text		
210906	Kenya	Text		
210909	Kenya	Text		
149789	Kenya	Text		
210916	Kenya	Text		
210916	Kenya	Text		
210712	Kenya	Text		
210873	Kenya	Text		
210873	Kenya	Text		
210846	Kenya	Text		
210846	Kenya	Text		
210846	Kenya	Text		
210873	Kenya	Text		
210901	Kenya	Text		
210814	Kenya	Text		
210820	Kenya	Text		
125185	Kenya	Text		
125185	Kenya	Text		
125185	Kenya	Text		
210773	Kenya	Text		
210775	Kenya	Text		
210774	Kenya	Text		
210774	Kenya	Text		
210864	Kenya	Text		
148748	Kenya	Text		
210880	Kenya	Text		
148748	Kenya	Text		
148748	Kenya	Text		
210893	Kenya	Text		
210893	Kenya	Text		
210835	Kenya	Text		
210835	Kenya	Text		
210852	Kenya	Text		
148752	Kenya	Text		
210813	Kenya	Text		
210813	Kenya	Text		
210813	Kenya	Text		
210835	Kenya	Text		
210881	Kenya	Text		
210881	Kenya	Text		
210893	Kenya	Text		
210858	Kenya	Text		
210881	Kenya	Text		
210770	Kenya	Text		
210770	Kenya	Text		
210762	Kenya	Text		
210764	Kenya	Text		
210765	Kenya	Text		
210762	Kenya	Text		
210762	Kenya	Text		
210950	Kenya	Text		
210950	Kenya	Text		
210950	Kenya	Text		
210765	Kenya	Text		
208947	Kenya	Text		
208952	Kenya	Text		
208947	Kenya	Text		
208956	Kenya	Text		
208952	Kenya	Text		
208956	Kenya	Text		
208949	Kenya	Text		
208949	Kenya	Text		
208949	Kenya	Text		
208949	Kenya	Text		
124694	Iceland	Text		
124694	Iceland	Text		
124703	Iceland	Text		
124681	Iceland	Text		
124612	Iceland	Text		
214638	Djibouti	Text		
210893	Djibouti	Text		
210854	Djibouti	Text		
125185	Djibouti	Text		
210980	Djibouti	Text		
124797	Brazil	Text		
148820	Bahamas	Text		
124506	Algeria	Text		
124710	Denmark	Text		
124713	Denmark	Text		
124463	Denmark	Text		
124639	Denmark	Text		
124681	Denmark	Text		
241768	Costa Rica	Text		
125180	Costa Rica	Text		
124454	Costa Rica	Text		
422542	Costa Rica	Text		
208945	Comores	Text		
208949	Comores	Text		
208956	Comores	Text		
242106	Comores	Text		
210765	Comores	Text		
210770	Comores	Text		
210968	Comores	Text		
210893	Comores	Text		
210937	Comores	Text		
210881	Comores	Text		
210881	Comores	Text		
148752	Comores	Text		
210835	Comores	Text		
210850	Comores	Text		
210901	Comores	Text		
210999	Comores	Text		
210772	Comores	Text		
210772	Comores	Text		
210909	Comores	Text		
210686	Comores	Text		
149789	Comores	Text		
124612	Canada	Text		
124681	Canada	Text		
124434	Canada	Text		
241827	Colombia	Text		
241833	Colombia	Text		
125183	Colombia	Text		
241766	Colombia	Text		
241780	Colombia	Text		
148821	Colombia	Text		
210814	Colombia	Text		
125185	Colombia	Text		
125185	South Africa (country)	Text		
125185	South Africa (country)	Text		
210846	South Africa (country)	Text		
213099	South Africa (country)	Text		
210989	South Africa (country)	Text		
210986	South Africa (country)	Text		
212479	South Africa (country)	Text		
212479	South Africa (country)	Text		
212479	South Africa (country)	Text		
241363	South Africa (country)	Text		
213103	South Africa (country)	Text		
213106	South Africa (country)	Text		
213102	South Africa (country)	Text		
213105	South Africa (country)	Text		
212487	South Africa (country)	Text		
212490	South Africa (country)	Text		
213633	South Africa (country)	Text		
210927	South Africa (country)	Text		
210925	South Africa (country)	Text		
210917	South Africa (country)	Text		
210999	South Africa (country)	Text		
210999	South Africa (country)	Text		
212470	South Africa (country)	Text		
212471	South Africa (country)	Text		
212471	South Africa (country)	Text		
212473	South Africa (country)	Text		
212473	South Africa (country)	Text		
210930	South Africa (country)	Text		
213101	South Africa (country)	Text		
212472	South Africa (country)	Text		
212472	South Africa (country)	Text		
211179	South Africa (country)	Text		
210918	South Africa (country)	Text		
212486	South Africa (country)	Text		
241362	South Africa (country)	Text		
211181	South Africa (country)	Text		
241358	South Africa (country)	Text		
241365	South Africa (country)	Text		
210677	South Africa (country)	Text		
210677	South Africa (country)	Text		
210677	South Africa (country)	Text		
212474	South Africa (country)	Text		
212474	South Africa (country)	Text		
210881	South Africa (country)	Text		
