AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
428865	117679	australis	(Ritchie, 1911)	Subspecies	accepted	Accepted name	0			Schuchert, Peter	2010-06-25 12:42:00	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=428865		urn:lsid:marinespecies.org:taxname:428865	
594920	117320	f. nana	Leloup, 1932	Forma	accepted	Accepted name	0	marine		Schuchert, Peter	2012-01-27 07:58:23	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=594920		urn:lsid:marinespecies.org:taxname:594920	
526974	288320	japonica	Broch, 1942	Subspecies	accepted	Accepted name	0	marine		Cairns, Stephen	2010-09-24 16:30:52	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=526974		urn:lsid:marinespecies.org:taxname:526974	
527398	117957	mascarina	Boschma, 1965	Subspecies	accepted	Accepted name	0			Cairns, Stephen	2010-09-29 02:34:20	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=527398		urn:lsid:marinespecies.org:taxname:527398	
710048	135436	f. typica	Leloup, 1934	Forma	accepted	Accepted name	0			Mapstone, Gill	2012-11-07 16:33:17	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=710048		urn:lsid:marinespecies.org:taxname:710048	
741172	210727	f. murrayi	Quelch, 1884	Forma	accepted	Accepted name	0	marine		Hoeksema, Bert	2013-09-22 10:21:59	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=741172		urn:lsid:marinespecies.org:taxname:741172	
744997	151718	chilensis	Kramp, 1952	Subspecies	accepted	Accepted name	0	marine		Schuchert, Peter	2013-12-09 11:29:06	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=744997		urn:lsid:marinespecies.org:taxname:744997	
578198	220596	var. mirabilis	Totton, 1930	Variety	accepted	Accepted name	0	marine		Schuchert, Peter	2011-08-05 12:03:46	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=578198		urn:lsid:marinespecies.org:taxname:578198	
224198	220596	warreni	Totton, 1930	Subspecies	accepted	Accepted name	0	marine		Schuchert, Peter	2011-08-05 12:03:46	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=224198		urn:lsid:marinespecies.org:taxname:224198	
527590	285845	f. minor	(Eguchi, 1941)	Forma	accepted	Accepted name	0	marine		Cairns, Stephen	2010-09-30 16:45:18	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=527590		urn:lsid:marinespecies.org:taxname:527590	
527634	285852	f. alba	Hickson & England, 1905	Forma	accepted	Accepted name	0	marine		Cairns, Stephen	2010-09-30 21:54:13	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=527634		urn:lsid:marinespecies.org:taxname:527634	
118000	117964	britannicus	Zibrowius & Cairns, 1992	Subspecies	accepted	Accepted name	0	marine		Cairns, Stephen	2010-10-05 15:57:56	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=118000		urn:lsid:marinespecies.org:taxname:118000	
285875	117964	erubescens	Pourtalès, 1868	Subspecies	accepted	Accepted name	0	marine		Cairns, Stephen	2010-10-05 15:57:56	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=285875		urn:lsid:marinespecies.org:taxname:285875	
118001	117964	groenlandicus	Zibrowius & Cairns, 1992	Subspecies	accepted	Accepted name	0	marine		van der Land, Jacob	2004-12-21 16:54:05	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=118001		urn:lsid:marinespecies.org:taxname:118001	
285876	117964	meteorensis	Zibrowius & Cairns, 1992	Subspecies	accepted	Accepted name	0	marine		Cairns, Stephen	2010-10-05 15:57:56	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=285876		urn:lsid:marinespecies.org:taxname:285876	
592252	592250	columbiensis	Cairns & Lindner, 2011	Subspecies	accepted	Accepted name	0	marine		Cairns, Stephen	2011-12-27 15:58:15	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=592252		urn:lsid:marinespecies.org:taxname:592252	
592251	592250	parageus	(Fisher, 1938)	Subspecies	accepted	Accepted name	0			Cairns, Stephen	2011-12-27 15:58:15	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=592251		urn:lsid:marinespecies.org:taxname:592251	
549768	285900	f. crassicaulis	Broch, 1936	Forma	accepted	Accepted name	0	marine		Cairns, Stephen	2010-12-03 13:55:38	http://www.marinespecies.org/hydrozoa/aphia.php?p=taxdetails&id=549768		urn:lsid:marinespecies.org:taxname:549768	
