ReferenceID	Authors	Year	Title	Details	
172610	Eysenhardt, K. W.	1821	Über die Seeblasen. - Nova Acta Physico-Medica Academiae Caesareae Leopoldino-Carolinae Naturae Curiosum 10: 410-422  pls 34.		
172623	Patriti, G.	1970	Note sur deux nouvelles espèces du genre Lensia, recuellies dans les eaux du large de Tulear (S. W. de L’Océan Indien, Madagascar). - Recueil des Travaux Station marine d’Endoume, Fascicule hors série suppl. 10: 103-106.		
172654	Gosse, P. H.	1853	Notes on some new or little-known marine animals. - Annals and Magazine of Natural History (2)12: 124-128.		
172677	Brinckmann-voss, A.; Calder, D. R.	2013	<em>Zyzzyzus rubusidaeus</em> (Cnidaria, Hydrozoa, Tubulariidae), a new species of anthoathecate hydroid from the coast of British Columbia, Canada	Zootaxa. 3666(3), 389	
172694	Grossmann, M. M.; Lindsay, D. J.; Collins, A. G.	2013	The end of an enigmatic taxon: Eudoxia macra is the eudoxid stage of  Lensia cossack (Siphonophora, Cnidaria)	Systematics and Biodiversity. 11(3), 381-387	
172734	Schmidt-Roach S, Miller KJ, Lundgren P, Andreakis N	2014	With eyes wide open: a revision of species within and closely related to the Pocillopora damicornis species complex (Scleractinia; Pocilloporidae) using morphology and genetics. Zoological Journal of the Linnean Society 170: 1-33.		
172750	Swarczewsky, B.	1923	[Essays on Hydraria: I Hydra baikalensis n. sp. II The phylogeny of Hydra.][in Russian]. Sbornik Trudov professorov i Prepodavateleli Gosudarstvennogo Irkutskkogo Universiteta 4: 90-102.		
191638	Annandale, N. 	1912	Preliminary description of a freshwater medusa from the Bombay presidency	Records of the Indian Museum. 7: 253-256	
192616	Wedler, E.; Larson, R.	1986	Athecate hydroids from Puerto Rico and the Virgin Islands	Stud. Neotrop. Fauna Environ. 21: 1-2	
23704	Briggs, E. A.	1928	Studies in Australian athecate hydroids. No. 1. Two new species of the genus Myriothela	Rec. Aust. Mus. 16(7), 305-315	
162597	Liu, H.-T & Wang, A.-T.	2010	A new species of the genus Hydra from Guangdong, China (Hydrozoa, Anthoathecatae, Hydraridae).	Acta Zootaxonomica Sinica. 35(4), 857-862	
35514	Bosc, L.A.G.,	1797	Description des objets nouveaux d'histoire naturelle trouvés dans une traversée de Bordeaux à Charles-Town. Bull. Sci. Soc. philom. Paris 2		
