ReferenceID	Authors	Year	Title	Details	
64			North East Atlantic Taxa		
174	Linnaeus, C.	1761	Fauna Suecica sistens Animalia Sueciae Regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes. Distributa per Classes, Ordines, Genera, Species, cum Differentiis Specierum, Synonymis Auctorum, Nominibus Incolarum, Locis Natalium, Descriptionibus insectorum. Editio altera, auctior. Stockholmiae: L. Salvii, 48 + 578 pp.		
1309	Westendorp, G.D.	1843	Recherches sur les Polypiers flexibles de la Belgique, et particulièrement des environs d'Ostende. <i>Annales de la Société Médico-Chirurgicale de Bruges IV</i>: 5-48, 1 plate		
1315			Hiscock, Keith		
1318			UNESCO-IOC Register of Marine Organisms		
164897	Kawamura, T.	1911	“Shidarezakura Kurage” and “Nagayoraku Kurage” (Cupulita picta, Metschnikoff, and Agalmopsis elegans, Sars). Zool. Mag. (Tokyo) (Dobuts. Zhasshi) 23 (7): 359-363, plate 7 (In Japanese).		
164901	Alvariño. A.	1971	Siphonophores of the Pacific with a review of the world distribution. Bull. Scripps Inst. Oceanogr. Univ. Calif. Technical Series No. 16.		
164968	Alvariño, A., Wojtan, J. M., and Martinez, M. R.	1990	Antarctic Siphonophores from plankton samples of the United States Antarctic Research Program. In Biology of the Antarctic Sea XX. Edited by L.S. Kornicker. Ant. Res. Ser. 49: 1-436.		
164956	Stepanjants, S. D.	1975	Species composition and distributional pattern of Siphonophora of the Caribbean, Gulf of Mexico and adjacent waters of the Atlantic. Tr. Inst. Okeanol. Akad. Nauk SSSR 100: 96-126. (In Russian with English summary).		
164954	Margulis, R. Ya.	1993	Cordagalma tottoni sp.n. - a new siphonophore of the Suborder Physonectae (Cnidaria, Hydrozoa, Siphonophora). Zool. Zh. 72 (9): 14-19 (In Russian).		
165042	Kawamura,	1911	“Baren kurage” (Physophora hydrostatica Forsk.) Zool. Mag. (Tokyo) (Dobuts. Zhasshi) 23 (6): 309-323, plate 6 (In Japanese only).		
165089	Cairns S., Lindner A.	2011	A Revision of the Stylasteridae (Cnidaria, Hydrozoa, Filifera) from Alaska and Adjacent Waters. ZooKeys 158 : 1–88.		
154106	Watson, J.	2011	New species, new records and redescriptions of Thecate hydroids (Cnidaria: Hydrozoa: Leptothecata) from Southern Australia. Zootaxa 3122: 1–36		
149276	Galea, H. R.	2006	Rediscovery and redescription of Hybocodon chilensis Hartlaub, 1905 (Cnidaria: Hydrozoa) from Comau Fiord, southern Chile. Zootaxa 14: 57-68.		
149357	Huang, J., Li, S., Zhong, Q., Zhang, C., & Zhang, Y.	2010	One New Species of Genus Eucheilota in Guangxi Coast, China. Journal of Xiamen University ( Natural Science) 49: 428-430.		
149355	Huang, J. Q., Xu, Z. Z., & Lin, M.	2010	A New Speies of Eirene (Cnidariaa, Leptomedusae, Eirenidae) from Xiamen Harbour, Fujian, China. Acta Zootaxonomica Sinica 35: 372-375.		
149009	Tang, Z., & Huang, M.	1986	A new species of the genus Symplectoscyphus (Hydroida) from the Huanghai Sea. Chinese Journal of Oceanology And Limnology 4: 317-318.		
148650	Galea, H. R.	2008	On a collection of shallow-water hydroids (Cnidaria: Hydrozoa) from Guadeloupe and Les Saintes, French Lesser Antilles. Zootaxa 17: 1-54.		
149053	Pena Cantero, A. L., Garcia, C. A. M., & Vervoort, W.	1998	On the species of Filellum Hincks, 1868 (Cnidaria: Hydrozoa) with the description of a new species. Journal of Natural History 32: 297-315.		
163040	Dewarumez, J.-M.; Gévaert, F.; Massé, C.; Foveau, A.; Desroy, N.; Grulois, D.	2011	Les espèces marines animales et végétales introduites dans le bassin Artois-Picardie . UMR CNRS 8187 LOG/Agence de l’Eau Artois-Picardie: Douai. 138 pp.		
163039			Club d'immersió Facultat de Biologia, Universitat de Barcelona		
149660	Margulis, R. Y.	1982	A new genus and species of the Siphonophora (Coelenterata. Hydrozoa) from the Polar Basin with some notes on other Siphonophora. Zoologicheskii Zhurnal 61: 440-444.		
151643	Dhora, DH.	2008	Fjalor i emrave të kafshëve të Shqipërisë (Emri shkencor – Shqip – Anglisht) / Dictionary of animal names of Albania (Scientific names – Albanian – English). Camaj – Pipa. Shkodër, Albania.		
164343	Sears, M.	1953	Notes on siphonophores 2. A revision of the Abylinae. Bull. Mus. Comp. Zoöl. Harv. 109 (1): 1-119.		
149094	Ronowicz, M., & Schuchert, P.	2007	Halecium arcticum (Cnidaria: Hydrozoa), a new species of hydroid from Spitsbergen. Zootaxa 15: 55-62.		
164319	Gegenbaur, K.	1859	Neue Beiträge zur näheren Kenntniss der Siphonophoren. Nova Acta Acad. Caesar. Leop. Carol. 27: 331-424.		
163089	Fuentes, V., Muñiz, M.A., Lindsay D.J., Isla E. and Gili, J-M.	2012	Amphinema gordini sp. nov., a new benthopelagic medusa(Cnidaria:Hydrozoa:Anthomedusae:Pandeidae) collected by sediment traps off the northern Chilean coast. Marine Biodiversity 42(2): 217-224.        		
153408	Dunn, C. W., & Wagner, G. P.	2006	The evolution of colony-level development in the Siphonophora (Cnidaria: Hydrozoa). Development Genes and Evolution 216: 743-754.		
166150	Huang, J.-Q., Xu, Z.-Z., Guo, D.-H. & Qiu, M.-F.	2010	Two New Species of Leptomedusae (Hebellidae and Malagazzidae) from the South of Taiwan Strait, China. Journal of Xiamen University Natural Science 49: 871-873.		
166085	Antsulevich A.	2011	olysertularella polyseriata, a new genus and species of hydroid (Hydrozoa; Leptothecata; Sertulariidae) from the Sea of Okhotsk. Zootaxa 3107: 59-64.		
166153	Romero, A., Rogers, R. R. & Gershwin, L. A.	2011	Medusoid cnidarians from the Montral-Alcover Lagerstaetten (Triassic), northeastern Spain. Batalleria: 50-57.		
166154	Adler, L., & Röper, M.	2012	Description of a new potential fossil hydromedusa Palaequorea rygoli and revision of the fossil medusa Hydrocraspedota mayri from the Plattenkalks of the Franconian Alb, Southern Germany. Neues Jahrbuch fuer Geologie und Palaeontologie Abhandlungen 264: 249-262.		
166192	Nawrocki, A. M., Collins, A. G., Hirano, Y. M., Schuchert, P. & Cartwright, P.	2013	Phylogenetic placement of Hydra and relationships within Aplanulata (Cnidaria: Hydrozoa). Molecular Phylogenetics and Evolution 67: 60-71.		
165443	Huang J.-Q., Xu Z.-Z., Lin M., Guo D.-H., Wang Ch.-G., Xue W.-L.	2012	One new genus, two new species and one new record of Corymorphidae from the South China Sea (Anthomedusae, Capitata). Acta Zootaxonomica Sinica 37: 520-524.		
