ID	ReferenceType	ReferenceID	
284873	ComNameRef	1318	
117890	ComNameRef	1318	
117890	ComNameRef	685	
117890	ComNameRef	1666	
117890	ComNameRef	9269	
117870	ComNameRef	1666	
135479	ComNameRef	685	
117389	ComNameRef	10085	
292542	ComNameRef	38632	
117882	ComNameRef	38632	
117912	ComNameRef	38632	
117386	ComNameRef	1116	
117388	ComNameRef	1116	
117912	ComNameRef	64	
117832	ComNameRef	685	
117471	ComNameRef	685	
285070	ComNameRef	1318	
117386	ComNameRef	1318	
117377	ComNameRef	147412	
157953	ComNameRef	38632	
135479	ComNameRef	38632	
117644	ComNameRef	1116	
117644	ComNameRef	1116	
152117	ComNameRef	1666	
117385	ComNameRef	147411	
231751	ComNameRef	9269	
231683	ComNameRef	147411	
290843	ComNameRef	1318	
117428	ComNameRef	1318	
117906	ComNameRef	1318	
117940	ComNameRef	685	
117940	ComNameRef	1666	
117644	ComNameRef	123768	
117491	ComNameRef	150220	
117382	ComNameRef	147411	
290127	ComNameRef	38632	
117870	ComNameRef	38632	
117995	ComNameRef	1116	
117378	ComNameRef	1116	
117874	ComNameRef	9269	
117913	ComNameRef	758	
117913	ComNameRef	9269	
117385	ComNameRef	1318	
117995	ComNameRef	1116	
117674	ComNameRef	1666	
117888	ComNameRef	685	
117888	ComNameRef	755	
117978	ComNameRef	147412	
284654	ComNameRef	38632	
117940	ComNameRef	38632	
117555	ComNameRef	1116	
117402	ComNameRef	1116	
117428	ComNameRef	147411	
290157	ComNameRef	147411	
117304	ComNameRef	167692	
117558	ComNameRef	1318	
117871	ComNameRef	1318	
117913	ComNameRef	1318	
117426	ComNameRef	1666	
117426	ComNameRef	147412	
117336	ComNameRef	147412	
290157	ComNameRef	147412	
564186	ComNameRef	38632	
231751	ComNameRef	38632	
117388	ComNameRef	1116	
117270	ComNameRef	2901	
117809	ComNameRef	9269	
157953	ComNameRef	2901	
288712	ComNameRef	1318	
117883	ComNameRef	1318	
117940	ComNameRef	1318	
291216	ComNameRef	1318	
117832	ComNameRef	163039	
117809	ComNameRef	755	
117824	ComNameRef	1666	
117452	ComNameRef	147412	
284249	ComNameRef	38632	
290145	ComNameRef	38632	
117768	ComNameRef	1116	
117555	ComNameRef	1116	
117590	ComNameRef	685	
117590	ComNameRef	1116	
290145	ComNameRef	151643	
117832	ComNameRef	6066	
152126	ComNameRef	1666	
117426	ComNameRef	685	
117644	ComNameRef	685	
117995	ComNameRef	685	
117995	ComNameRef	755	
117545	ComNameRef	1318	
151876	ComNameRef	1318	
117590	ComNameRef	1318	
117590	ComNameRef	147412	
117994	ComNameRef	147412	
117491	ComNameRef	38632	
221243	ComNameRef	38632	
117854	ComNameRef	38632	
231751	ComNameRef	9269	
247957	ComNameRef	147411	
856288	ComNameRef	201234	
157933	ComNameRef	1318	
117426	ComNameRef	1318	
117849	ComNameRef	1318	
117644	ComNameRef	755	
117815	ComNameRef	10085	
117883	ComNameRef	147412	
117913	ComNameRef	38632	
117994	ComNameRef	685	
117994	ComNameRef	1116	
117590	ComNameRef	1116	
117730	ComNameRef	2901	
117299	ComNameRef	147411	
117802	ComNameRef	1318	
117831	ComNameRef	1318	
117907	ComNameRef	1318	
117870	ComNameRef	123768	
117428	ComNameRef	163040	
290129	ComNameRef	38632	
117305	ComNameRef	38632	
117995	ComNameRef	1116	
117331	ComNameRef	685	
117331	ComNameRef	1116	
117874	ComNameRef	9269	
117644	ComNameRef	2901	
117913	ComNameRef	147411	
117994	ComNameRef	147411	
117995	ComNameRef	42	
117870	ComNameRef	685	
117348	ComNameRef	163040	
287421	ComNameRef	1318	
117305	ComNameRef	1318	
117913	ComNameRef	1318	
117283	ComNameRef	755	
117283	ComNameRef	9269	
117832	ComNameRef	163039	
117554	ComNameRef	147412	
117791	ComNameRef	147412	
292195	ComNameRef	38632	
117263	ComNameRef	38632	
117555	ComNameRef	1116	
117368	ComNameRef	1116	
117491	ComNameRef	2901	
117379	ComNameRef	147411	
117388	ComNameRef	1318	
117399	ComNameRef	1318	
117815	ComNameRef	755	
117815	ComNameRef	9269	
117907	ComNameRef	1666	
117907	ComNameRef	9269	
117874	ComNameRef	1666	
117890	ComNameRef	10085	
117913	ComNameRef	147412	
284484	ComNameRef	38632	
117555	ComNameRef	1116	
117644	ComNameRef	1116	
117348	ComNameRef	132969	
152100	ComNameRef	1666	
152102	ComNameRef	1666	
117832	ComNameRef	9269	
117764	ComNameRef	147411	
117930	ComNameRef	2901	
117913	ComNameRef	685	
284249	ComNameRef	1318	
151717	ComNameRef	1318	
117283	ComNameRef	1318	
117428	ComNameRef	10085	
289556	ComNameRef	38632	
117932	ComNameRef	38632	
117402	ComNameRef	42	
117913	ComNameRef	1116	
117426	ComNameRef	147411	
283998	ComNameRef	1318	
284054	ComNameRef	1318	
117824	ComNameRef	1318	
178913	ComNameRef	10085	
152128	ComNameRef	147411	
117388	ComNameRef	147412	
290155	ComNameRef	38632	
117597	ComNameRef	38632	
117388	ComNameRef	1116	
117273	ComNameRef	1116	
117809	ComNameRef	9269	
117517	ComNameRef	230962	
117832	ComNameRef	1318	
285860	ComNameRef	1318	
285860	ComNameRef	38632	
117940	ComNameRef	1315	
117382	ComNameRef	147412	
290135	ComNameRef	38632	
117888	ComNameRef	38632	
117995	ComNameRef	1116	
117388	ComNameRef	685	
117388	ComNameRef	1116	
157933	ComNameRef	147411	
117994	ComNameRef	42	
284484	ComNameRef	1318	
210726	ComNameRef	1318	
285370	ComNameRef	1318	
117832	ComNameRef	163039	
117832	ComNameRef	163039	
117832	ComNameRef	619	
290146	ComNameRef	38632	
567381	ComNameRef	38632	
117768	ComNameRef	42	
117995	ComNameRef	1116	
135479	ComNameRef	6066	
117340	ComNameRef	132969	
117809	ComNameRef	9269	
117784	ComNameRef	2901	
117538	ComNameRef	1318	
284654	ComNameRef	1318	
117731	ComNameRef	1318	
117883	ComNameRef	1666	
117815	ComNameRef	1666	
117995	ComNameRef	147412	
117802	ComNameRef	38632	
152116	ComNameRef	1666	
117367	ComNameRef	9269	
247957	ComNameRef	147411	
117302	ComNameRef	2901	
117809	ComNameRef	2901	
284572	TaxAccRef	124419	
832320	NomRef	28021	
135463	TaxAccRef	167091	
834740	NomRef	34623	
135409	TaxAccRef	141254	
285992	TaxAccRef	38180	
135423	TaxAccRef	6905	
736832	NomRef	23852	
152072	NomRef	64	
117343	TaxAccRef	130045	
284522	TaxAccRef	124419	
117414	NomRef	1419	
117618	NomRef	1419	
135496	TaxAccRef	42	
292570	NomRef	1318	
117790	TaxAccRef	31635	
174696	TaxAccRef	132079	
292483	TaxAccRef	1318	
117671	TaxAccRef	199489	
135484	TaxAccRef	141254	
869991	NomRef	34743	
117263	TaxAccRef	1419	
117643	TaxAccRef	2930	
174796	TaxAccRef	4182	
474095	NomRef	130042	
117813	TaxAccRef	1419	
710721	NomRef	194967	
287292	TaxAccRef	38194	
117644	TaxAccRef	2928	
284079	TaxAccRef	124419	
135496	TaxAccRef	6912	
285886	TaxAccRef	124427	
284583	TaxAccRef	152417	
284465	TaxAccRef	124419	
287288	TaxAccRef	164964	
117930	TaxAccRef	42	
284933	TaxAccRef	124419	
292663	NomRef	1318	
135482	TaxAccRef	152417	
231582	TaxAccRef	9224	
843679	NomRef	6878	
828488	TaxAccRef	195398	
284329	TaxAccRef	39041	
231632	TaxAccRef	9224	
284662	NomRef	130040	
285552	NomRef	124419	
565150	TaxAccRef	145433	
291130	TaxAccRef	167091	
117999	TaxAccRef	1419	
284144	NomRef	199492	
284683	TaxAccRef	124419	
430682	TaxAccRef	164957	
117345	TaxAccRef	1419	
558261	NomRef	35393	
173872	TaxAccRef	124419	
117876	TaxAccRef	1	
291299	TaxAccRef	124419	
284933	TaxAccRef	152417	
285040	TaxAccRef	124419	
287420	TaxAccRef	23539	
834196	NomRef	34654	
284219	TaxAccRef	25826	
174497	TaxAccRef	124419	
290968	TaxAccRef	38194	
117702	TaxAccRef	25193	
292459	NomRef	1318	
710118	NomRef	169697	
117768	TaxAccRef	192633	
174752	TaxAccRef	141265	
117744	NomRef	1658	
284708	TaxAccRef	124419	
284525	NomRef	26126	
527269	NomRef	37521	
389464	TaxAccRef	127204	
285311	TaxAccRef	33361	
871887	NomRef	1658	
285911	TaxAccRef	124427	
117654	TaxAccRef	31635	
284905	TaxAccRef	23812	
152140	NomRef	64	
284850	TaxAccRef	24228	
284646	TaxAccRef	141205	
117993	NomRef	1419	
117772	NomRef	152417	
117648	TaxAccRef	124419	
284259	NomRef	124419	
289363	TaxAccRef	124419	
135447	TaxAccRef	7145	
284240	TaxAccRef	124419	
285201	TaxAccRef	124419	
285976	TaxAccRef	124419	
174664	TaxAccRef	4182	
284500	NomRef	38333	
289812	TaxAccRef	167091	
416478	NomRef	24468	
135448	TaxAccRef	6905	
284397	TaxAccRef	152417	
117561	TaxAccRef	166414	
285288	NomRef	124419	
196640	NomRef	42132	
231663	TaxAccRef	9249	
723277	NomRef	25512	
284597	TaxAccRef	124419	
117516	TaxAccRef	35060	
290512	NomRef	39038	
135502	TaxAccRef	153408	
157917	TaxAccRef	35060	
117667	TaxAccRef	138695	
285770	NomRef	124419	
843383	NomRef	34496	
742584	NomRef	36056	
156662	NomRef	1318	
285779	TaxAccRef	124427	
231758	NomRef	124419	
758791	NomRef	26508	
567115	TaxAccRef	34586	
742591	NomRef	39038	
418895	NomRef	141205	
284733	TaxAccRef	124419	
285142	TaxAccRef	1658	
117372	TaxAccRef	141205	
285368	TaxAccRef	35652	
285686	TaxAccRef	156103	
571541	TaxAccRef	34702	
292176	NomRef	25553	
285778	TaxAccRef	56154	
284153	TaxAccRef	34702	
117432	NomRef	1419	
174577	NomRef	4182	
117328	TaxAccRef	141265	
135420	TaxAccRef	31635	
117273	TaxAccRef	26261	
284615	TaxAccRef	124419	
284190	TaxAccRef	124419	
287427	NomRef	124427	
135454	TaxAccRef	6878	
284572	TaxAccRef	24545	
285401	TaxAccRef	124419	
723211	NomRef	24468	
118000	TaxAccRef	37521	
292415	TaxAccRef	1318	
289563	TaxAccRef	124419	
221209	TaxAccRef	1658	
117882	NomRef	1419	
292326	TaxAccRef	1318	
709350	NomRef	6933	
284459	NomRef	124419	
289726	TaxAccRef	167091	
196637	NomRef	6888	
863606	NomRef	220935	
285818	TaxAccRef	124427	
746157	NomRef	34780	
117544	TaxAccRef	130040	
370559	NomRef	42	
117482	NomRef	34480	
285468	TaxAccRef	23381	
117401	TaxAccRef	663	
288323	TaxAccRef	23826	
391042	TaxAccRef	25584	
285038	NomRef	124419	
117998	TaxAccRef	42	
285862	NomRef	124427	
117356	TaxAccRef	1419	
288712	TaxAccRef	156379	
156115	TaxAccRef	34568	
395330	NomRef	130481	
117956	TaxAccRef	1419	
117614	NomRef	1419	
284301	TaxAccRef	31732	
174611	TaxAccRef	33910	
488478	TaxAccRef	142483	
220597	NomRef	33361	
766210	NomRef	26507	
225740	TaxAccRef	197902	
117487	TaxAccRef	37920	
458704	NomRef	145236	
117344	NomRef	130045	
290163	TaxAccRef	124419	
834724	NomRef	34633	
845787	TaxAccRef	197104	
285948	TaxAccRef	33362	
285413	NomRef	124419	
231568	TaxAccRef	9224	
117793	TaxAccRef	130045	
117834	TaxAccRef	152417	
117906	TaxAccRef	1419	
117379	TaxAccRef	9269	
285951	TaxAccRef	124419	
863417	NomRef	36629	
478390	NomRef	35671	
746197	NomRef	164343	
288319	TaxAccRef	124427	
117440	TaxAccRef	141205	
152138	NomRef	1073	
834735	NomRef	26508	
117531	TaxAccRef	1419	
231630	TaxAccRef	37521	
117389	TaxAccRef	1237	
117986	TaxAccRef	166414	
284776	TaxAccRef	124419	
221199	NomRef	1318	
284277	NomRef	124419	
290469	TaxAccRef	35277	
117844	TaxAccRef	24658	
558854	NomRef	35422	
290474	TaxAccRef	124419	
578672	NomRef	1658	
117458	TaxAccRef	145433	
284347	TaxAccRef	124419	
