AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
117428	gałęzatka jeziorna				Polish	147411	
117382	obelia				Polish	147411	
117283	piuma di mare				Italian		
135479	caravella portoghese				Italian		
117832	barchetta di San Pietro				Italian		
117764	Меризія азовська				Ukrainian	147411	
117883	Rosenpolyp				German	147412	
117452	nickender Kölbchenpolyp				German	147412	
135479	Portugiesische Galeere				German		
117377	Tangpolyp				German	147412	
117382	Glockenpolyp				German	147412	
117388	Glockenpolyp				German	1116	
117388	Obeliapolyp				German	147412	
117554	Bäumchenpolyp				German	147412	
117555	Bäumchenpolyp				German	1116	
290157	gemeiner Süßwasserpolyp				German	147412	
117644	Stachelpolyp				German	1116	
117978	Tiaropsis-Meduse				German	147412	
117832	Segelqualle				German	163039	
117913	Zypressenmoos				German	147412	
117426	Keulen-Polyp				German	147412	
117791	Mützen-Meduse				German	147412	
117336	Dicoryne-Polyp				German	147412	
117994	ungeteilter Röhrenpolyp				German	147412	
117832	bidevindseiler				Norwegian		
117832	ruzunu				Corsican		
117832	purjehtijamaneetti				Finnish		
117340	pelo de oso				Spanish		
135479	carabela portuguesa				Spanish		
135479	botella azul				Spanish		
117832	velero				Spanish	163039	
117428	cordylophore de la Caspienne				French	163040	
117469	grande coryne				French		
135479	galère portugaise				French		
135479	vessie de mer				French		
117388	obélie				French	1116	
117555	hydraire dendriforme				French	1116	
117644	hydraire encroûtant				French	1116	
117644	drap marin				French	123768	
117809	hydraire antenne				French	9269	
117832	vélelle				French	9269	
117832	barque de Saint Pierre				French	163039	
117870	abiétinaire				French	123768	
231751	petit sapin beige				French	9269	
117874	tamaris de mer				French	9269	
117832	bidevindseglare				Swedish		
290145	hidra kafe				Albanian	151643	
117832	barqueta de Sant Pere				Catalan	163039	
135479	fragata portuguesa				Catalan		
135479	caravel·la portuguesa				Catalan		
117888	klein tandhorenkoraal				Dutch	755	
117888	tandhorenkoraal				Dutch	685	
117273	lampenkapje				Dutch	1116	
117283	zeepluim				Dutch	755	
117883	granaatroode tandhorenkoraal				Dutch	1666	
117378	gedraaide zeedraad				Dutch	1116	
117428	brakwaterpoliep				Dutch		
117471	klierachtige coryne				Dutch	685	
117340	berenvachtpoliep				Dutch	132969	
135479	Portugees oorlogsschip				Dutch	685	
117367	kleine klokpoliep				Dutch	9269	
117368	kleine klokpoliep				Dutch	1116	
117768	kruiskwal				Dutch	1116	
117402	kruipende klokpoliep				Dutch	1116	
117385	tweetandschelpje				Dutch	147411	
117386	lange zeedraad				Dutch	1116	
117388	geknoopte zeedraad				Dutch	685	
117389	lange zeedraad				Dutch		
117491	klepelklokje				Dutch	150220	
117555	boompjeshydroïd				Dutch	1116	
117644	ruwe zeerasp				Dutch	755	
117644	zeerasp				Dutch	685	
117890	gekromde zeeborstel				Dutch	685	
117890	gekromde zeedraad				Dutch		
117940	flessenborstel				Dutch	685	
117767	zoetwaterkwalletje				Dutch		
117982	eenzame pijppoliep				Dutch		
157933	gorgelpijp				Dutch	147411	
117809	gewone zeespriet				Dutch	755	
117809	zeespriet				Dutch	9269	
117809	zeebaard				Dutch	9269	
117815	vertakte zeespriet				Dutch	755	
117815	getakte zeespriet				Dutch	1666	
117348	Bache's knotsklokje				Dutch	132969	
117832	bezaantje				Dutch	685	
117907	rimpelige tandhorenkoraal				Dutch	1666	
117913	zeecypres				Dutch	758	
117913	zeemos				Dutch	685	
117870	fijne zeeden				Dutch	1666	
117870	zeedennetje				Dutch	685	
231751	haringgraat				Dutch	9269	
117824	stijne zeeborstel				Dutch	1666	
117674	vederachtige zeeborstel				Dutch	1666	
117426	gemeene knodspolyp				Dutch	1666	
117426	gewone knotspoliep				Dutch	685	
117874	dekseldragende tandhorenkoraal				Dutch	1666	
117874	zeetamarinde				Dutch	9269	
117994	penneschaft				Dutch	685	
117299	yellow feathers				English	147411	
290843	penicillate jellyfish				English	1318	
117517	umbrella jellyfish				English		
210726	fire coral				English	1318	
287421	bladed fire coral				English	1318	
288712	black fan-shaped hydroid				English	1318	
117270	many-ribbed jellyfish				English	2901	
283998	water jellyfish				English	1318	
117849	pink helmet				English	1318	
117283	podded hydroid				English	1318	
284054	ostrichplume hydroid				English	1318	
117883	lily hydroid				English	1318	
117428	hydroid				English	10085	
117428	freshwater hydroid				English	1318	
284484	fairy palm hydroid				English	1318	
284249	orange hydroids				English	1318	
117340	rope grass hydroid				English		
135479	Portuguese man-of-war				English	6066	
117930	sea tamarisk				English	2901	
117768	clinging jellyfish				English	42	
117379	sea grass sea fir				English	147411	
