ID	ReferenceType	ReferenceID	
117386	ComNameRef	1116	
117388	ComNameRef	1116	
284873	ComNameRef	1318	
117890	ComNameRef	1318	
292542	ComNameRef	38632	
117882	ComNameRef	38632	
117912	ComNameRef	38632	
117890	ComNameRef	685	
117890	ComNameRef	1666	
117890	ComNameRef	9269	
117870	ComNameRef	1666	
135479	ComNameRef	685	
117389	ComNameRef	10085	
117299	ComNameRef	147411	
117644	ComNameRef	755	
117994	ComNameRef	685	
117994	ComNameRef	1116	
117590	ComNameRef	1116	
157933	ComNameRef	1318	
117426	ComNameRef	1318	
117849	ComNameRef	1318	
117913	ComNameRef	38632	
117730	ComNameRef	2901	
117883	ComNameRef	147412	
117815	ComNameRef	10085	
117426	ComNameRef	1666	
117388	ComNameRef	1116	
117558	ComNameRef	1318	
117871	ComNameRef	1318	
117913	ComNameRef	1318	
117270	ComNameRef	2901	
564186	ComNameRef	38632	
231751	ComNameRef	38632	
157953	ComNameRef	2901	
117426	ComNameRef	147412	
117336	ComNameRef	147412	
290157	ComNameRef	147412	
117809	ComNameRef	9269	
117809	ComNameRef	755	
117824	ComNameRef	1666	
117768	ComNameRef	1116	
117555	ComNameRef	1116	
117590	ComNameRef	685	
117590	ComNameRef	1116	
288712	ComNameRef	1318	
117883	ComNameRef	1318	
117940	ComNameRef	1318	
291216	ComNameRef	1318	
117832	ComNameRef	163039	
152126	ComNameRef	1666	
284249	ComNameRef	38632	
290145	ComNameRef	38632	
117832	ComNameRef	6066	
117452	ComNameRef	147412	
290145	ComNameRef	151643	
117883	ComNameRef	1666	
117815	ComNameRef	1666	
117538	ComNameRef	1318	
284654	ComNameRef	1318	
117731	ComNameRef	1318	
152116	ComNameRef	1666	
117802	ComNameRef	38632	
117302	ComNameRef	2901	
117809	ComNameRef	2901	
117995	ComNameRef	147412	
117367	ComNameRef	9269	
247957	ComNameRef	147411	
117832	ComNameRef	619	
117340	ComNameRef	132969	
117768	ComNameRef	42	
117995	ComNameRef	1116	
284484	ComNameRef	1318	
210726	ComNameRef	1318	
285370	ComNameRef	1318	
117832	ComNameRef	163039	
117832	ComNameRef	163039	
290146	ComNameRef	38632	
567381	ComNameRef	38632	
117784	ComNameRef	2901	
135479	ComNameRef	6066	
117994	ComNameRef	42	
117809	ComNameRef	9269	
117644	ComNameRef	1116	
117644	ComNameRef	1116	
285070	ComNameRef	1318	
117386	ComNameRef	1318	
231683	ComNameRef	147411	
152117	ComNameRef	1666	
157953	ComNameRef	38632	
135479	ComNameRef	38632	
117385	ComNameRef	147411	
117912	ComNameRef	64	
117832	ComNameRef	685	
117471	ComNameRef	685	
117377	ComNameRef	147412	
231751	ComNameRef	9269	
117555	ComNameRef	1116	
117644	ComNameRef	1116	
117388	ComNameRef	1318	
