ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
545183	255197	Asymmetrione		asymmetrica		shiinoi	Subspecies	Codreanu, Codreanu & Pike, 1965	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545183	
536932	118196	Athelges		fullodes	Gerstaecker, 1862				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536932	
527626	255200	Athelges		japonicus	Shiino, 1958				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:527626	
527610	255200	Athelges		takanoshimensis		var. tenuibranchiatus	Variety	Shiino, 1936	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:527610	
536735	118193	Athelgue		cladophore	Hesse, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536735	
536933	118196	Athelgue		fullode	Hesse, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536933	
590481	590482	Athelgue		intermediaire	Hesse, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:590481	
416592	118193	Athelgue		lorifera	Hesse, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:416592	
545098	118196	Bopyrus		bernhardi	Krøyer, 1849				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545098	
294722	118600	Ilyarachna		abyssorum	Richardson, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294722	
295018	118191	Megachelione		foresti	Bourdon, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295018	
261629	527658	Orbione		kempi	Chopra, 1923				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:261629	
294283	259146	Philoscia		floridana	Van Name, 1940				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294283	
545099	118196	Phryxus		fusticaudatus	Bate & Westwood, 1868				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545099	
536934	118196	Phryxus		paguri	Rathke, 1843				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536934	
537261	118196	Prosthète		cannelée	Hesse, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:537261	
537263	118196	Prosthetus		canaliculatus	Gerstaecker, 1862				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:537263	
294982	255190	Pseudione		asymmetrica	Shiino, 1933				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294982	
597815	118191	Pseudione		foresti	Bourdon, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:597815	
295311	259148	Serolis		agassizi	George, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295311	
295313	259149	Serolis		menziesi	Hessler, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295313	
295315	259150	Serolis		vemae	Menzies, 1962				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295315	
295150	256526	Aega		harfordi	Lockington, 1877				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295150	
294802	255964	Bagatus		brachydactylus	Pires, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294802	
294803	216039	Bagatus		brucei	Monod, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294803	
294805	118712	Bagatus		galloprovincalis	Amar, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294805	
294806	255969	Bagatus		ichthyoxenos	Monod, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294806	
294807	255970	Bagatus		longidactylus	Nordenstam, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294807	
294808	255971	Bagatus		longimanus	Pillai, 1954				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294808	
294811	255974	Bagatus		nereus	Pires, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294811	
294814	255976	Bagatus		platydactylus	Nobili, 1906				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294814	
293924	258651	Armadillo		brevicornis	Budde-Lund, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293924	
293446	258457	Calathura		borradailei	Stebbing, 1904				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293446	
