ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
536235	118205	Bopyrus		rathkei	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536235	
232006	118227	Pleurocrypta		intermedia	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:232006	
536036	118234	Pseudione		hoylei	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536036	
820203	118632	Munneurycope		tjalfiensis	Stephensen, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:820203	
294675	118669	Ilyarachna		coronata	G.O. Sars, 1870				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294675	
118674	118677	Ilyarachna		derjugini	Gurjanova, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:118674	
183514	118766	Munna		petiti	Amar, 1948				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:183514	
146832	118859	Cirolana		borealis	Lilljeborg, 1851				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:146832	
292972	118872	Ceratothoa		deplanata	Bovallius, 1885				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292972	
156106	118979	Gnathia		abyssorum	(Sars G.O., 1872)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:156106	
867224	119002	Microcerberus		adriaticus	Karaman, 1955				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:867224	
367075	119014	Astacilla		giardi	Bonnier, 1896				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:367075	
293517	119034	Mesidotea		entomon		entomon	Subspecies	(Linnaeus, 1758)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293517	
423847	119039	Idotea		balthica		tricuspidata	Subspecies	Desmarest, 1823	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:423847	
367097	119044	Idotea		cretaria	Dahl, 1916				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:367097	
295600	174575	Arcturus		franklini	Hodgson, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295600	
295668	174767	Antarcturus		drygalskii	Vanhöffen, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295668	
294699	174856	Mormomunna		spinipes	Vanhöffenn, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294699	
886399	174985	Neojaera		furcata	(Hodgson, 1910)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:886399	
294803	216039	Bagatus		brucei	Monod, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294803	
294956	216070	Stenetrium		syzygus	Barnard, 1940				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294956	
416592	118193	Athelgue		lorifera	Hesse, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:416592	
536242	118200	Bopyrina		ocellata		f. mediterranea	Forma	Czerniawsky, 1881	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536242	
536237	118205	Bopyrus		treillianus	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536237	
536244	118218	Ione		gebiae	Giard & Bonnier, 1890				nomen nudum	Unaccepted name	urn:lsid:marinespecies.org:taxname:536244	
295068	118218	Oniscus		thoracicus	Montagu, 1808				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295068	
536037	118234	Palaegyge		hoylei	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536037	
873971	118399	Anopsilana		poissoni	Paulian & Delamare Déboutteville, 1956				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:873971	
294717	118586	Eugerda		lateralis	G.O. Sars, 1899				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294717	
294738	118611	Eurycope		picardi	Amar, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294738	
423421	118682	Haplomesus		angustus	Hansen, 1916				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:423421	
294861	118734	Henopomus		tricornis	Krøyer, 1847				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294861	
148654	118973	Oniscus		serratum	Fabricius, 1787				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:148654	
