ID	ReferenceType	ReferenceID	
263752	ComNameRef	147411	
118852	ComNameRef	61	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
118852	ComNameRef	685	
118852	ComNameRef	755	
325483	ComNameRef	147412	
119034	ComNameRef	147411	
146999	ComNameRef	147411	
258268	ComNameRef	147411	
261029	ComNameRef	102812	
118917	ComNameRef	147412	
118958	ComNameRef	685	
146999	ComNameRef	1116	
263835	ComNameRef	147411	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
119046	ComNameRef	139287	
118852	ComNameRef	141421	
262272	ComNameRef	147411	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
119001	ComNameRef	1675	
345372	ComNameRef	47796	
257774	ComNameRef	147411	
157912	ComNameRef	2901	
119046	ComNameRef	755	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
263649	ComNameRef	147411	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
257832	ComNameRef	151643	
118953	ComNameRef	1675	
264152	ComNameRef	147411	
119036	ComNameRef	147411	
263616	ComNameRef	147411	
118917	ComNameRef	1675	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
146999	ComNameRef	147411	
264152	ComNameRef	156314	
264351	ComNameRef	102812	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
258592	ComNameRef	147411	
258615	ComNameRef	147411	
257580	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
157901	ComNameRef	2901	
263752	ComNameRef	147411	
119039	ComNameRef	685	
119039	ComNameRef	755	
118474	ComNameRef	1675	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
146494	ComNameRef	151643	
118827	ComNameRef	1675	
118474	ComNameRef	147411	
260695	ComNameRef	147411	
264171	ComNameRef	685	
148661	ComNameRef	102812	
118917	ComNameRef	1116	
261213	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
119044	ComNameRef	141734	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
146999	ComNameRef	1116	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
258575	ComNameRef	147411	
262440	ComNameRef	147411	
259898	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
259528	ComNameRef	102812	
118958	ComNameRef	1675	
146999	ComNameRef	1116	
263631	ComNameRef	147411	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
258268	ComNameRef	147411	
258850	ComNameRef	147411	
257760	ComNameRef	147411	
119036	ComNameRef	147411	
257580	ComNameRef	147411	
118852	ComNameRef	10085	
325483	ComNameRef	147411	
263753	ComNameRef	147411	
261279	ComNameRef	147411	
118917	ComNameRef	147411	
260535	ComNameRef	147411	
258592	ComNameRef	147411	
260073	ComNameRef	147411	
148673	ComNameRef	147411	
262440	ComNameRef	147411	
261350	ComNameRef	147411	
260522	ComNameRef	147411	
257832	ComNameRef	151643	
119046	ComNameRef	1675	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
258615	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
262328	TaxAccRef	44201	
259599	TaxAccRef	45975	
263008	TaxAccRef	44533	
258380	TaxAccRef	628	
261341	TaxAccRef	628	
295001	NomRef	628	
262775	TaxAccRef	628	
260370	TaxAccRef	11344	
256461	TaxAccRef	628	
214806	NomRef	76185	
291381	TaxAccRef	45838	
118521	TaxAccRef	1401	
259645	TaxAccRef	46252	
264144	TaxAccRef	44774	
255572	TaxAccRef	628	
258533	TaxAccRef	628	
292972	NomRef	43000	
410906	TaxAccRef	132489	
174860	TaxAccRef	22682	
295503	NomRef	628	
118766	TaxAccRef	628	
256670	TaxAccRef	47371	
216036	TaxAccRef	46652	
119029	TaxAccRef	47010	
257327	TaxAccRef	46152	
258597	TaxAccRef	628	
263664	TaxAccRef	628	
175101	TaxAccRef	628	
255822	TaxAccRef	46528	
260826	TaxAccRef	46260	
294716	NomRef	628	
259099	TaxAccRef	628	
256023	TaxAccRef	628	
256257	TaxAccRef	628	
260709	NomRef	628	
256936	TaxAccRef	45838	
295320	NomRef	628	
264102	TaxAccRef	44274	
256810	TaxAccRef	628	
294248	NomRef	628	
295116	NomRef	628	
264385	TaxAccRef	46887	
258099	TaxAccRef	46068	
259218	TaxAccRef	628	
262009	TaxAccRef	628	
263196	TaxAccRef	628	
258984	TaxAccRef	628	
