ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
293360	255358	Apanthura		inornata	Miller & Menzies, 1952				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293360	
536735	118193	Athelgue		cladophore	Hesse, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536735	
416592	118193	Athelgue		lorifera	Hesse, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:416592	
536231	118203	Bopyroides		furcata	Norman, 1905				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536231	
148629	118205	Bopyrus		fougerouxi	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:148629	
536236	118205	Bopyrus		helleri	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536236	
536234	118205	Bopyrus		rathkei	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536234	
536235	118205	Bopyrus		rathkei	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536235	
536793	118205	Bopyrus		rathkei	Stebbing, 1893				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536793	
536237	118205	Bopyrus		treillianus	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536237	
536238	118205	Bopyrus		treillianus	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536238	
536239	118205	Bopyrus		xiphias	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536239	
293308	214905	Natalanthura		foveolata	Kensley, 1978				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293308	
293438	255520	Ocsanthura		vimsae	Kensley, 1978				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293438	
258364	293353	Panathura		ocellata	Nunomura, 1992				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:258364	
295027	118240	Phryxus		hyndmanni	Bate & Westwood, 1868				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295027	
294998	118203	Pleurocrypta		cluthae	Scott, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294998	
536230	118203	Pleurocrypta		patiencei	Scott, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536230	
294982	255190	Pseudione		asymmetrica	Shiino, 1933				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294982	
536038	118240	Pseudione		dubia	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536038	
294903	255277	Pseudione		latimellaris	Nierstrasz & Brender à Brandis, 1931				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294903	
148635	118240	Pseudione		proxima	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:148635	
295577	259017	Arcturopsis		melitensis	Koehler, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295577	
294802	255964	Bagatus		brachydactylus	Pires, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294802	
294808	255971	Bagatus		longimanus	Pillai, 1954				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294808	
294817	216040	Bagatus		triton	Pires, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294817	
259291	259295	Benthana		villosa	(Jackson, 1926)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:259291	
294562	258828	Caucasonethes		rothi	Vandel, 1953				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294562	
294700	118528	Desmosoma		chelatus	Stephensen, 1915				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294700	
294711	255697	Desmosoma		coxalis	Birstein, 1963				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294711	
294701	183057	Desmosoma		insignis	Hansen, 1916				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294701	
293314	118474	Anthura		carinata	Krøyer, 1847				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293314	
293361	255365	Apanthura		magnifica	Menzies & Frankenberg, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293361	
545183	255197	Asymmetrione		asymmetrica		shiinoi	Subspecies	Codreanu, Codreanu & Pike, 1965	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545183	
534593	118204	Bopyroides		acutimarginatus	Stimpson, 1864				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:534593	
536229	118204	Bopyroides		sarsi	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536229	
295026	118204	Bopyrus		hippolytes	Krøyer, 1838				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295026	
293468	255612	Calamura		porteri	Boone, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293468	
295056	745858	Ergyne		savignyi	Stebbing, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295056	
293316	255447	Exanthura		adinae	Negoescu, 1980				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293316	
536031	118237	Gyge		confusa	Norman, 1886				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536031	
211331	255473	Haliophasma		purpurea	auctorum				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:211331	
294898	255225	Hypophryxus		kuboi	Shiino, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294898	
294618	118511	Iolanthe		decorata	Hansen, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294618	
532050	118235	Pseudione		caspersi	Gruner, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:532050	
532047	118235	Pseudione		tuberculata	Caspers, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:532047	
295191	259032	Aega		macronema	Bleeker, 1857				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295191	
295612	257985	Antarcturus		granulosus	Nordenstam, 1933				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295612	
295576	257974	Arcturus		tenuispinis	Benedict, 1898				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295576	
259029	259032	Argathona		hanseni	(Nierstrasz, 1931)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:259029	
293947	259311	Armadillo		cordatus	Dollfus, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293947	
293971	259424	Armadillo		opaca	Budde-Lund, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293971	
293953	259321	Armadillo		panurus	Budde-Lund, 1904				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293953	
293972	259425	Armadillo		quadritracheata	Budde-Lund, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293972	
743886	259208	Asellus		baicalensis	Grube, 1872				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:743886	
294816	255979	Bagatus		stylodactylus	Nobili, 1906				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294816	
294232	257863	Bilawrencia		albicincta	Vandel, 1973				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294232	
294235	257875	Bilawrencia		occidentalis	Ferrara & Taiti, 1983				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294235	
293925	258652	Cubaris		commensalis	Baker, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293925	
325469	174929	Epelys		annulata	Dana, 1849				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:325469	
294744	174933	Eurycope		australis	Vanhöffen, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294744	
294740	118631	Eurycope		incisa	Gurjanova, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294740	
293315	157847	Anthura		polita	Stimpson, 1855				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293315	
211373	255343	Apanthura		africana	Barnard, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:211373	
293366	255351	Apanthuretta		correa	Poore & Lew Ton, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293366	
294969	118217	Bopyrus		abdominalis	Krøyer, 1840				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294969	
546690	118210	Phrixus	Eophrixus	laevimanus	Caroli, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:546690	
148656	118217	Phryxus		abdominalis	(Krøyer, 1840)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:148656	
534606	118217	Phryxus		hippolytes	Rathke, 1843				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:534606	
532044	255268	Pleurocrypta		macrocephalon	Nierstrasz & Brender à Brandis, 1931				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:532044	
295079	255268	Probopyrus		yatsui	Pearse, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295079	
148631	118201	Pseudione		diogeni	Popov, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:148631	
295052	118189	Pseudione		reverberii	Restivo, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295052	
293473	255585	Anthura		flagellata	Chilton, 1882				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293473	
535651	259044	Argeia		calmani	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:535651	
535652	259044	Argeia		depauperata	Richardson, 1899				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:535652	
535650	259044	Argeia		pauperata	Stimpson, 1857				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:535650	
294610	259534	Asellus		cannula	Steeves, 1963				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294610	
294666	259552	Asellus		henroti	Bresson, 1955				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294666	
293952	259579	Asellus		puebla	Cole & Minckley, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293952	
294803	216039	Bagatus		brucei	Monod, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294803	
294807	255970	Bagatus		longidactylus	Nordenstam, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294807	
295189	258758	Cirolana		multidigitata	Dana, 1853				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295189	
295685	259236	Crabyzos		elongata	auctorum				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295685	
293949	259315	Cubaris		limbatus	Brandt, 1833				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293949	
294705	118559	Desmosoma		tenuimana	G.O. Sars, 1866				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294705	
367082	259236	Edotia		dilitata	Thomson, 1883				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:367082	
325478	157888	Erichsonella		filiformis		tropicalis	Subspecies	Menzies & Glynn, 1968	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:325478	
325476	157888	Erichsonia		angulata	Dana, 1849				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:325476	
183150	118640	Eurycope		beddardi	Bonnier, 1896				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:183150	
260623	293405	Heteranthroides		rishikondensis	Kumari, Rao & Shyamasundari, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:260623	
298363	259236	Idotea		elongata	Miers, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:298363	
293922	118681	Ilyarachna		hirsuta	G.O. Sars, 1894				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293922	
293359	255355	Apanthura		geminsula	Kensley, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293359	
293362	255366	Apanthura		mana	Kensley, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293362	
293363	255401	Apanthura		motasi	Negoescu, 1980				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293363	
293368	255369	Apanthuretta		olearia	Poore & Lew Ton, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293368	
546696	546697	Athelges		neotenuicaudis	Shyamasundari, Hanumantha Rao, Jalajakumari & Mary, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:546696	
293351	255340	Austranthura		elegans	Kussakin, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293351	
212829	255449	Exanthura		filiformis	(Lucas, 1849)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:212829	
294613	255508	Heteranthura		neoanomalus	Shyamasundari, Kumari, Rao & Mary, 1991				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294613	
293401	118467	Oniscus		gracilis	Montagu, 1808				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293401	
534605	118211	Phrixus	Eophrixus	lysmatae	Caroli, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:534605	
293960	259408	Armadillo		bipartita	Budde-Lund, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293960	
293966	259418	Armadillo		labiata	Budde-Lund, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293966	
293955	259325	Armadillo		simplex	Dollfus, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293955	
293939	259557	Asellus		intermedia	Forbes, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293939	
743887	259389	Asellus		pauloae	Braga, 1958				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:743887	
294801	259520	Austroniscus		ectiformis	Vanhöffen, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294801	
295039	157905	Bopyrus		pandalicola	Packard, 1879				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295039	
294560	258823	Caucasonethes		gipsocolus	Vandel, 1965				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294560	
118563	255696	Eugerdella		cornuta	Hessler, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:118563	
294760	255777	Eurycope		magnispinis	Richardson, 1908				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294760	
294236	257878	Halophiloscia		riedli	Strouhal, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294236	
294781	175127	Ilyarachna		magnifica	Vanhöffen, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294781	
294846	255993	Janira		neglecta	Chilton, 1909				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294846	
294355	258718	Lyprobius		modestus	Budde-Lund, 1885				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294355	
533733	157905	Palaegyge		meeki	Richardson, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:533733	
295048	257911	Palaegyge		prashadi	Chopra, 1923				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295048	
293479	259512	Paracabirops		marsupialis	Caroli, 1953				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293479	
294443	258687	Paraperiscyphis		stebbingi	Collinge, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294443	
294293	259459	Philoscia		coecus	Budde-Lund, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294293	
294270	258860	Pleopodoscia		moundoua	Schmoelzer, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294270	
295009	118206	Cepon		elegans	Giard & Bonnier, 1886				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295009	
535973	118233	Gyge		branchialis		var. arcassonensis	Variety	Carayon, 1943	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:535973	
545142	118232	Hemiarthrus		philonika	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545142	
174463	255448	Malacanthura		antarctica	Kensley, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:174463	
293371	255385	Mesanthura		childi	Kensley, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293371	
545133	118236	Palaegyge		callianassae	Giard & Bonnier, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545133	
545146	118232	Phryxus		philonika	Bonnier, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:545146	
255267	593521	Pleurocrypta		longicornis	Bourdon, 1960				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:255267	
536070	593521	Pleurocrypta		perezi	Nierstrasz & Brender à Brandis, 1931				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536070	
118229	593521	Pleurocrypta		porcellanae	Hesse, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:118229	
536071	593521	Pseudione		convergens	Stock, 1960				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:536071	
295014	118233	Pseudione		euxinica	Popov, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295014	
259018	259019	Arcturides		acuminatus	Sheppard, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:259018	
345354	259019	Arcturus		cornutus	Sheppard, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:345354	
293963	259412	Armadillo		flava	Budde-Lund, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293963	
293945	259228	Armadillo		mucidus	Budde-Lund, 1885				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293945	
293951	259320	Armadillo		oraniensis	Dollfus, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293951	
293973	259426	Armadillo		rugifrons	Budde-Lund, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293973	
294806	255969	Bagatus		ichthyoxenos	Monod, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294806	
294811	255974	Bagatus		nereus	Pires, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294811	
294814	255976	Bagatus		platydactylus	Nobili, 1906				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294814	
294981	257887	Bopyrus		ascendens	Semper, 1880				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294981	
294278	258888	Chaetophiloscia		hamigera	Vandel, 1952				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294278	
293954	259324	Cubaris		secutor	Jackson, 1924				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:293954	
295688	257846	Desmarestia		chilensis	Nicolet, 1849				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:295688	
294720	118594	Desmosoma		angusta	G.O. Sars, 1899				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294720	
715595	118643	Eurycope		neupokoevi	Gurjanova, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:715595	
294742	118633	Eurycope		nodifrons	Hansen, 1916				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294742	
255752	579154	Eurycope		ochotensis	Kussakin, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:255752	
294737	118610	Eurycope		phalangium	Sars, 1864				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:294737	
