ID	ReferenceType	ReferenceID	
263752	ComNameRef	147411	
263585	ComNameRef	147411	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
119001	ComNameRef	1675	
157912	ComNameRef	2901	
345372	ComNameRef	47796	
257774	ComNameRef	147411	
118917	ComNameRef	1675	
263616	ComNameRef	147411	
264152	ComNameRef	156314	
146999	ComNameRef	147411	
264351	ComNameRef	102812	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
146999	ComNameRef	9269	
259898	ComNameRef	147411	
262440	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
258575	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
259528	ComNameRef	102812	
118827	ComNameRef	1675	
264171	ComNameRef	685	
118474	ComNameRef	147411	
260695	ComNameRef	147411	
146494	ComNameRef	151643	
148661	ComNameRef	102812	
146999	ComNameRef	1116	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
260073	ComNameRef	147411	
263753	ComNameRef	147411	
118917	ComNameRef	147411	
261279	ComNameRef	147411	
258592	ComNameRef	147411	
260535	ComNameRef	147411	
262440	ComNameRef	147411	
148673	ComNameRef	147411	
325483	ComNameRef	147412	
146999	ComNameRef	147411	
119034	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
258268	ComNameRef	147411	
261029	ComNameRef	102812	
263752	ComNameRef	147411	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
118852	ComNameRef	61	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
157901	ComNameRef	2901	
258615	ComNameRef	147411	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
257580	ComNameRef	147411	
118953	ComNameRef	1675	
263649	ComNameRef	147411	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
257832	ComNameRef	151643	
119046	ComNameRef	755	
119036	ComNameRef	147411	
264152	ComNameRef	147411	
263631	ComNameRef	147411	
146999	ComNameRef	1116	
325483	ComNameRef	147411	
258850	ComNameRef	147411	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
118958	ComNameRef	1675	
118852	ComNameRef	10085	
258268	ComNameRef	147411	
119036	ComNameRef	147411	
257580	ComNameRef	147411	
257760	ComNameRef	147411	
119046	ComNameRef	1675	
261350	ComNameRef	147411	
257832	ComNameRef	151643	
262544	ComNameRef	147411	
260522	ComNameRef	147411	
258615	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
257580	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
258268	ComNameRef	147411	
118474	ComNameRef	1675	
119039	ComNameRef	685	
119039	ComNameRef	755	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
119046	ComNameRef	139287	
263835	ComNameRef	147411	
262272	ComNameRef	147411	
146999	ComNameRef	1116	
118917	ComNameRef	147412	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
118958	ComNameRef	685	
118852	ComNameRef	141421	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
118917	ComNameRef	685	
118917	ComNameRef	1116	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
119044	ComNameRef	141734	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
261213	ComNameRef	147411	
118917	ComNameRef	1116	
262530	TaxAccRef	44942	
259829	TaxAccRef	628	
118205	TaxAccRef	9269	
261469	TaxAccRef	46561	
118487	TaxAccRef	6201	
256625	TaxAccRef	45455	
293321	TaxAccRef	628	
257986	TaxAccRef	628	
264402	TaxAccRef	628	
261362	TaxAccRef	44803	
258567	TaxAccRef	46033	
118209	TaxAccRef	1380	
607631	TaxAccRef	163767	
533736	TaxAccRef	145868	
262506	TaxAccRef	44272	
263101	TaxAccRef	46938	
258259	TaxAccRef	628	
257606	TaxAccRef	44404	
183280	TaxAccRef	628	
258050	TaxAccRef	628	
256378	TaxAccRef	628	
256480	TaxAccRef	628	
259522	TaxAccRef	46455	
118709	TaxAccRef	628	
260433	TaxAccRef	628	
258218	TaxAccRef	45462	
395808	TaxAccRef	127204	
183220	TaxAccRef	46528	
264318	TaxAccRef	44360	
175090	TaxAccRef	4179	
295188	TaxAccRef	628	
263734	TaxAccRef	628	
257670	TaxAccRef	46390	
255841	TaxAccRef	46528	
261194	TaxAccRef	628	
255655	TaxAccRef	628	
257761	TaxAccRef	45083	
257226	TaxAccRef	46813	
260148	TaxAccRef	46373	
255478	TaxAccRef	19165	
264504	TaxAccRef	628	
262539	TaxAccRef	628	
262321	TaxAccRef	44942	
367071	TaxAccRef	45807	
258819	TaxAccRef	44426	
259765	TaxAccRef	628	
256032	TaxAccRef	47284	
259121	TaxAccRef	47263	
261258	TaxAccRef	628	
295193	TaxAccRef	628	
263266	TaxAccRef	628	
262852	TaxAccRef	44282	
256356	TaxAccRef	46717	
256123	TaxAccRef	628	
262155	TaxAccRef	44701	
536250	TaxAccRef	45590	
263641	TaxAccRef	628	
118193	TaxAccRef	45604	
260326	TaxAccRef	628	
367082	TaxAccRef	628	
118568	TaxAccRef	628	
262437	TaxAccRef	628	
259907	TaxAccRef	10812	
257110	TaxAccRef	16165	
294793	TaxAccRef	628	
255719	TaxAccRef	628	
255328	TaxAccRef	47255	
261265	TaxAccRef	44615	
260224	TaxAccRef	628	
262351	TaxAccRef	44820	
261330	TaxAccRef	47001	
261003	TaxAccRef	628	
259328	TaxAccRef	44205	
261518	TaxAccRef	44201	
263256	TaxAccRef	46460	
295754	TaxAccRef	628	
259020	TaxAccRef	628	
260603	TaxAccRef	576	
260535	TaxAccRef	628	
260692	TaxAccRef	628	
259662	TaxAccRef	47190	
258454	TaxAccRef	628	
258654	TaxAccRef	628	
262228	TaxAccRef	628	
262428	TaxAccRef	628	
175158	TaxAccRef	628	
260649	TaxAccRef	44277	
259548	TaxAccRef	47212	
259298	TaxAccRef	45489	
257191	TaxAccRef	628	
118211	TaxAccRef	628	
264518	TaxAccRef	44842	
264203	TaxAccRef	45660	
118947	TaxAccRef	628	
293959	TaxAccRef	628	
118777	TaxAccRef	628	
174631	TaxAccRef	628	
295086	TaxAccRef	628	
