ID	ReferenceType	ReferenceID	
146999	ComNameRef	147411	
325483	ComNameRef	147412	
119034	ComNameRef	147411	
258268	ComNameRef	147411	
261029	ComNameRef	102812	
118852	ComNameRef	685	
118852	ComNameRef	755	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
118852	ComNameRef	141421	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
146999	ComNameRef	1116	
263835	ComNameRef	147411	
118917	ComNameRef	147412	
119046	ComNameRef	139287	
262272	ComNameRef	147411	
118958	ComNameRef	685	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
118917	ComNameRef	685	
118917	ComNameRef	1116	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
119044	ComNameRef	141734	
261213	ComNameRef	147411	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
118917	ComNameRef	1116	
118474	ComNameRef	147411	
264171	ComNameRef	685	
146494	ComNameRef	151643	
118827	ComNameRef	1675	
260695	ComNameRef	147411	
148661	ComNameRef	102812	
118852	ComNameRef	61	
263752	ComNameRef	147411	
262451	ComNameRef	147411	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
262568	ComNameRef	147411	
260522	ComNameRef	147411	
257832	ComNameRef	151643	
261350	ComNameRef	147411	
119046	ComNameRef	1675	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
258615	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
263649	ComNameRef	147411	
257832	ComNameRef	151643	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
118953	ComNameRef	1675	
119036	ComNameRef	147411	
119046	ComNameRef	755	
264152	ComNameRef	147411	
264152	ComNameRef	156314	
263616	ComNameRef	147411	
118917	ComNameRef	1675	
146999	ComNameRef	147411	
264351	ComNameRef	102812	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
157901	ComNameRef	2901	
258615	ComNameRef	147411	
257580	ComNameRef	147411	
263752	ComNameRef	147411	
258592	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
157912	ComNameRef	2901	
119001	ComNameRef	1675	
345372	ComNameRef	47796	
257774	ComNameRef	147411	
259898	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
262440	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
259528	ComNameRef	102812	
258575	ComNameRef	147411	
118852	ComNameRef	10085	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
263631	ComNameRef	147411	
146999	ComNameRef	1116	
258850	ComNameRef	147411	
118958	ComNameRef	1675	
325483	ComNameRef	147411	
257580	ComNameRef	147411	
119036	ComNameRef	147411	
257760	ComNameRef	147411	
258268	ComNameRef	147411	
118917	ComNameRef	147411	
260535	ComNameRef	147411	
263753	ComNameRef	147411	
260073	ComNameRef	147411	
261279	ComNameRef	147411	
262440	ComNameRef	147411	
258592	ComNameRef	147411	
148673	ComNameRef	147411	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
118474	ComNameRef	1675	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
119039	ComNameRef	685	
119039	ComNameRef	755	
146999	ComNameRef	1116	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
260566	TaxAccRef	628	
259878	TaxAccRef	46690	
258720	TaxAccRef	44442	
258020	TaxAccRef	46913	
255743	TaxAccRef	628	
263474	TaxAccRef	628	
260216	TaxAccRef	628	
295306	NomRef	628	
260159	TaxAccRef	628	
258787	TaxAccRef	628	
258844	TaxAccRef	628	
157901	TaxAccRef	42	
260152	TaxAccRef	44218	
262924	TaxAccRef	44990	
255336	TaxAccRef	628	
255629	TaxAccRef	628	
261938	TaxAccRef	628	
261995	TaxAccRef	628	
257008	TaxAccRef	628	
459108	TaxAccRef	141195	
257065	TaxAccRef	628	
255279	TaxAccRef	628	
260406	TaxAccRef	44622	
258230	TaxAccRef	44517	
257860	TaxAccRef	45279	
263590	TaxAccRef	45090	
257408	TaxAccRef	628	
295299	NomRef	628	
148658	TaxAccRef	138856	
294863	NomRef	628	
255636	TaxAccRef	628	
264117	TaxAccRef	628	
291349	NomRef	46918	
258894	TaxAccRef	628	
256214	TaxAccRef	47199	
295256	NomRef	628	
264563	TaxAccRef	45065	
118214	TaxAccRef	45333	
295616	NomRef	45813	
260073	TaxAccRef	44209	
259380	TaxAccRef	45176	
260516	TaxAccRef	628	
261945	TaxAccRef	628	
263418	TaxAccRef	45685	
256460	TaxAccRef	132563	
294913	NomRef	628	
258487	TaxAccRef	628	
260018	TaxAccRef	44623	
262660	TaxAccRef	44816	
118677	TaxAccRef	2930	
258902	TaxAccRef	45615	
295699	TaxAccRef	180025	
264628	TaxAccRef	44183	
345335	TaxAccRef	47796	
258680	TaxAccRef	628	
262395	TaxAccRef	628	
258251	TaxAccRef	44087	
258780	TaxAccRef	628	
256735	TaxAccRef	47129	
261883	TaxAccRef	220650	
263660	TaxAccRef	628	
175105	TaxAccRef	4179	
257222	TaxAccRef	628	
258601	TaxAccRef	628	
260253	TaxAccRef	46777	
255529	TaxAccRef	628	
264060	TaxAccRef	628	
257022	TaxAccRef	628	
255324	TaxAccRef	45169	
256686	TaxAccRef	45469	
258062	TaxAccRef	45266	
263581	TaxAccRef	628	
260266	TaxAccRef	628	
216054	TaxAccRef	138799	
258794	TaxAccRef	628	
264597	TaxAccRef	44358	
257618	TaxAccRef	138786	
261662	TaxAccRef	45065	
260316	TaxAccRef	628	
262045	TaxAccRef	628	
259097	TaxAccRef	44757	
264289	TaxAccRef	44157	
263655	TaxAccRef	44388	
220690	TaxAccRef	628	
258629	TaxAccRef	46836	
258025	TaxAccRef	47109	
295313	NomRef	628	
264763	TaxAccRef	45059	
261888	TaxAccRef	628	
258368	TaxAccRef	132563	
258019	TaxAccRef	138868	
262013	TaxAccRef	44659	
256412	TaxAccRef	47267	
262288	TaxAccRef	628	
256922	TaxAccRef	628	
293359	NomRef	46072	
255433	TaxAccRef	46840	
263174	TaxAccRef	628	
260673	TaxAccRef	628	
258561	NomRef	46860	
118210	TaxAccRef	628	
261688	TaxAccRef	628	
118850	TaxAccRef	1401	
260016	TaxAccRef	628	
262238	TaxAccRef	628	
262924	TaxAccRef	628	
256572	TaxAccRef	628	
258301	TaxAccRef	628	
260702	TaxAccRef	628	
259341	TaxAccRef	46477	
118846	TaxAccRef	628	
293370	NomRef	18804	
261138	TaxAccRef	44273	
258860	TaxAccRef	44785	
118953	TaxAccRef	628	
255236	TaxAccRef	46497	
264260	TaxAccRef	628	
259094	TaxAccRef	628	
262038	TaxAccRef	628	
118756	TaxAccRef	2930	
257016	NomRef	628	
259115	TaxAccRef	45158	
118623	TaxAccRef	46943	
259058	TaxAccRef	44310	
262595	TaxAccRef	628	
260716	TaxAccRef	628	
262088	TaxAccRef	628	
257258	TaxAccRef	628	
260125	TaxAccRef	47271	
256360	TaxAccRef	46078	
262345	TaxAccRef	628	
260123	TaxAccRef	628	
256865	TaxAccRef	628	
258880	TaxAccRef	628	
294606	NomRef	628	
261143	TaxAccRef	44280	
291334	TaxAccRef	46121	
264067	TaxAccRef	628	
261845	TaxAccRef	628	
262181	TaxAccRef	628	
257551	TaxAccRef	628	
263592	TaxAccRef	44238	
294377	NomRef	628	
293984	NomRef	628	
259280	TaxAccRef	45109	
262281	TaxAccRef	628	
264753	TaxAccRef	628	
261495	TaxAccRef	628	
257365	TaxAccRef	628	
118805	TaxAccRef	45822	
260204	TaxAccRef	220650	
259266	TaxAccRef	44877	
238353	TaxAccRef	42	
257912	TaxAccRef	47142	
255386	TaxAccRef	628	
263384	TaxAccRef	44464	
258123	TaxAccRef	46451	
255421	TaxAccRef	46540	
263117	TaxAccRef	628	
258737	TaxAccRef	628	
263924	TaxAccRef	628	
256679	TaxAccRef	628	
260816	TaxAccRef	628	
261702	TaxAccRef	628	
262195	TaxAccRef	628	
257015	TaxAccRef	628	
118993	TaxAccRef	1401	
264170	TaxAccRef	46392	
255493	TaxAccRef	628	
264153	TaxAccRef	628	
259623	TaxAccRef	628	
258295	TaxAccRef	141264	
118732	TaxAccRef	42	
295456	NomRef	628	
261752	TaxAccRef	628	
257115	TaxAccRef	628	
118945	TaxAccRef	155832	
258212	NomRef	220650	
262781	TaxAccRef	628	
264074	TaxAccRef	628	
264253	TaxAccRef	628	
174955	TaxAccRef	628	
256429	TaxAccRef	628	
260559	TaxAccRef	628	
261852	TaxAccRef	628	
260057	TaxAccRef	44222	
157905	TaxAccRef	3042	
293512	NomRef	45787	
255643	TaxAccRef	628	
260459	TaxAccRef	628	
261345	TaxAccRef	628	
157896	TaxAccRef	192633	
259518	TaxAccRef	132563	
258196	TaxAccRef	46191	
255822	TaxAccRef	628	
118810	TaxAccRef	45832	
259473	TaxAccRef	628	
259617	NomRef	628	
256031	TaxAccRef	46130	
262381	TaxAccRef	628	
261252	TaxAccRef	628	
175076	TaxAccRef	19176	
295804	NomRef	47078	
295649	NomRef	628	
256837	TaxAccRef	44404	
183236	TaxAccRef	46918	
261284	TaxAccRef	628	
264424	TaxAccRef	45556	
118868	TaxAccRef	46968	
