ID	ReferenceType	ReferenceID	
258575	ComNameRef	147411	
259898	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
146999	ComNameRef	9269	
146999	ComNameRef	685	
146999	ComNameRef	755	
262440	ComNameRef	147411	
259528	ComNameRef	102812	
118917	ComNameRef	1116	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
261213	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
119044	ComNameRef	141734	
258615	ComNameRef	147411	
119046	ComNameRef	1675	
260522	ComNameRef	147411	
257832	ComNameRef	151643	
262544	ComNameRef	147411	
261350	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
257580	ComNameRef	147411	
263753	ComNameRef	147411	
258592	ComNameRef	147411	
262440	ComNameRef	147411	
260073	ComNameRef	147411	
260535	ComNameRef	147411	
261279	ComNameRef	147411	
118917	ComNameRef	147411	
148673	ComNameRef	147411	
258268	ComNameRef	147411	
325483	ComNameRef	147412	
119034	ComNameRef	147411	
146999	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
261029	ComNameRef	102812	
257832	ComNameRef	147411	
263752	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
118852	ComNameRef	61	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
258615	ComNameRef	147411	
157901	ComNameRef	2901	
257580	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
118958	ComNameRef	685	
118917	ComNameRef	147412	
118917	ComNameRef	685	
118917	ComNameRef	1116	
119046	ComNameRef	139287	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
118852	ComNameRef	141421	
146999	ComNameRef	1116	
263835	ComNameRef	147411	
262272	ComNameRef	147411	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
118474	ComNameRef	147411	
264171	ComNameRef	685	
260695	ComNameRef	147411	
118827	ComNameRef	1675	
146494	ComNameRef	151643	
148661	ComNameRef	102812	
263649	ComNameRef	147411	
119036	ComNameRef	147411	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
118953	ComNameRef	1675	
257832	ComNameRef	151643	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
119046	ComNameRef	755	
264152	ComNameRef	147411	
119001	ComNameRef	1675	
345372	ComNameRef	47796	
157912	ComNameRef	2901	
257774	ComNameRef	147411	
118474	ComNameRef	1675	
258268	ComNameRef	147411	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
119039	ComNameRef	685	
119039	ComNameRef	755	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
263616	ComNameRef	147411	
264152	ComNameRef	156314	
146999	ComNameRef	147411	
118917	ComNameRef	1675	
264351	ComNameRef	102812	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
146999	ComNameRef	1116	
118958	ComNameRef	1675	
257580	ComNameRef	147411	
263631	ComNameRef	147411	
119036	ComNameRef	147411	
118852	ComNameRef	10085	
258850	ComNameRef	147411	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
325483	ComNameRef	147411	
146999	ComNameRef	1116	
257760	ComNameRef	147411	
258268	ComNameRef	147411	
261469	TaxAccRef	46561	
294982	NomRef	628	
262530	TaxAccRef	44942	
118487	TaxAccRef	6201	
295648	NomRef	46165	
256625	TaxAccRef	45455	
259829	TaxAccRef	628	
118205	TaxAccRef	9269	
118209	TaxAccRef	1380	
261362	TaxAccRef	44803	
264402	TaxAccRef	628	
257986	TaxAccRef	628	
258567	TaxAccRef	46033	
607631	TaxAccRef	163767	
256567	NomRef	628	
263101	TaxAccRef	46938	
262506	TaxAccRef	44272	
255640	NomRef	628	
258259	TaxAccRef	628	
118709	TaxAccRef	628	
395808	TaxAccRef	127204	
258218	TaxAccRef	45462	
256378	TaxAccRef	628	
