ID	ReferenceType	ReferenceID	
118474	ComNameRef	1675	
258268	ComNameRef	147411	
119039	ComNameRef	685	
119039	ComNameRef	755	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
118958	ComNameRef	685	
263835	ComNameRef	147411	
119046	ComNameRef	139287	
118917	ComNameRef	147412	
146999	ComNameRef	1116	
118852	ComNameRef	141421	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
262272	ComNameRef	147411	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
118917	ComNameRef	685	
118917	ComNameRef	1116	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
259898	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
262440	ComNameRef	147411	
259528	ComNameRef	102812	
258575	ComNameRef	147411	
260073	ComNameRef	147411	
263753	ComNameRef	147411	
260535	ComNameRef	147411	
118917	ComNameRef	147411	
261279	ComNameRef	147411	
148673	ComNameRef	147411	
258592	ComNameRef	147411	
262440	ComNameRef	147411	
264152	ComNameRef	156314	
263616	ComNameRef	147411	
118917	ComNameRef	1675	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
264351	ComNameRef	102812	
146999	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
146999	ComNameRef	1116	
119036	ComNameRef	147411	
263649	ComNameRef	147411	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
257832	ComNameRef	151643	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
118953	ComNameRef	1675	
264152	ComNameRef	147411	
119046	ComNameRef	755	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
119044	ComNameRef	141734	
261213	ComNameRef	147411	
118917	ComNameRef	1116	
118474	ComNameRef	147411	
264171	ComNameRef	685	
260695	ComNameRef	147411	
146494	ComNameRef	151643	
118827	ComNameRef	1675	
148661	ComNameRef	102812	
325483	ComNameRef	147412	
146999	ComNameRef	147411	
119034	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
261029	ComNameRef	102812	
258268	ComNameRef	147411	
157901	ComNameRef	2901	
258615	ComNameRef	147411	
257580	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
118958	ComNameRef	1675	
119036	ComNameRef	147411	
263631	ComNameRef	147411	
325483	ComNameRef	147411	
146999	ComNameRef	1116	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
118852	ComNameRef	10085	
258850	ComNameRef	147411	
257760	ComNameRef	147411	
258268	ComNameRef	147411	
257580	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	61	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
257832	ComNameRef	147411	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
263521	ComNameRef	102812	
118852	ComNameRef	147411	
260522	ComNameRef	147411	
257832	ComNameRef	151643	
261350	ComNameRef	147411	
119046	ComNameRef	1675	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
258615	ComNameRef	147411	
157912	ComNameRef	2901	
119001	ComNameRef	1675	
257774	ComNameRef	147411	
345372	ComNameRef	47796	
118550	TaxAccRef	46472	
260585	TaxAccRef	628	
175167	TaxAccRef	132667	
255888	TaxAccRef	47636	
258672	TaxAccRef	46969	
220761	NomRef	6229	
261865	TaxAccRef	11265	
258768	TaxAccRef	628	
258031	NomRef	10721	
255762	TaxAccRef	628	
260140	TaxAccRef	628	
255758	TaxAccRef	47221	
175195	TaxAccRef	138799	
263493	TaxAccRef	628	
579414	TaxAccRef	628	
261717	TaxAccRef	45495	
263284	TaxAccRef	628	
262840	TaxAccRef	47578	
262945	TaxAccRef	132563	
118758	TaxAccRef	42	
258704	TaxAccRef	628	
211340	TaxAccRef	46632	
263850	TaxAccRef	46536	
258570	TaxAccRef	628	
257855	TaxAccRef	46530	
262909	TaxAccRef	44620	
260046	TaxAccRef	45021	
256331	TaxAccRef	47263	
261855	TaxAccRef	628	
260397	TaxAccRef	46391	
260040	TaxAccRef	44521	
264250	TaxAccRef	628	
258970	TaxAccRef	628	
118870	NomRef	155832	
263391	TaxAccRef	628	
264763	TaxAccRef	628	
262580	TaxAccRef	45279	
258483	TaxAccRef	46628	
256875	TaxAccRef	628	
257134	TaxAccRef	628	
258411	TaxAccRef	628	
263290	TaxAccRef	46470	
119007	NomRef	628	
389790	TaxAccRef	47340	
293058	NomRef	628	
256585	TaxAccRef	45511	
295489	NomRef	628	
261919	TaxAccRef	628	
257541	TaxAccRef	628	
344989	TaxAccRef	47781	
259840	TaxAccRef	628	
257198	TaxAccRef	628	
579987	TaxAccRef	152776	
294987	NomRef	628	
256740	TaxAccRef	141264	
405941	TaxAccRef	131451	
255549	TaxAccRef	45270	
259816	TaxAccRef	46090	
259254	TaxAccRef	45771	
261619	TaxAccRef	628	
261819	TaxAccRef	628	
259570	TaxAccRef	628	
259657	NomRef	628	
118669	TaxAccRef	1401	
264105	TaxAccRef	44274	
258989	TaxAccRef	46681	
257241	TaxAccRef	628	
255360	TaxAccRef	628	
262478	TaxAccRef	628	
118918	TaxAccRef	9269	
295123	NomRef	628	
257128	NomRef	628	
260742	TaxAccRef	628	
118779	TaxAccRef	45822	
258750	TaxAccRef	44171	
261047	TaxAccRef	46482	
294823	NomRef	628	
118660	TaxAccRef	1401	
259873	TaxAccRef	46691	
255271	TaxAccRef	45333	
295632	NomRef	628	
257306	TaxAccRef	141264	
256005	TaxAccRef	628	
263650	TaxAccRef	628	
175241	TaxAccRef	132563	
259947	TaxAccRef	628	
256832	TaxAccRef	628	
256632	TaxAccRef	628	
255824	TaxAccRef	46437	
295689	NomRef	40478	
257677	TaxAccRef	628	
258913	TaxAccRef	628	
261626	TaxAccRef	45350	
256628	TaxAccRef	45511	
263850	TaxAccRef	628	
256732	TaxAccRef	628	
156090	TaxAccRef	45822	
294553	NomRef	628	
256305	TaxAccRef	628	
260683	TaxAccRef	628	
260942	TaxAccRef	628	
259270	TaxAccRef	628	
257598	TaxAccRef	628	
255536	TaxAccRef	47164	
256778	TaxAccRef	45800	
295432	NomRef	628	
118887	TaxAccRef	5645	
259069	TaxAccRef	17605	
259227	TaxAccRef	44907	
256795	TaxAccRef	155832	
259311	TaxAccRef	628	
853803	TaxAccRef	201184	
260842	TaxAccRef	628	
260578	TaxAccRef	44800	
264471	TaxAccRef	45084	
262273	TaxAccRef	44443	
263014	TaxAccRef	628	
263350	TaxAccRef	628	
256998	TaxAccRef	628	
255962	TaxAccRef	628	
295525	NomRef	628	
258460	TaxAccRef	46846	
259413	TaxAccRef	628	
261319	TaxAccRef	628	
264350	TaxAccRef	45087	
262768	TaxAccRef	44491	
118204	TaxAccRef	45333	
263484	TaxAccRef	628	
295023	NomRef	628	
260051	TaxAccRef	44729	
118967	TaxAccRef	46184	
294530	NomRef	628	
259013	TaxAccRef	628	
263827	TaxAccRef	628	
263889	TaxAccRef	44290	
261551	TaxAccRef	44653	
157911	TaxAccRef	3007	
259639	TaxAccRef	44365	
262957	TaxAccRef	628	
256969	TaxAccRef	46906	
118820	TaxAccRef	628	
255396	TaxAccRef	628	
258511	TaxAccRef	628	
216037	TaxAccRef	6564	
260640	TaxAccRef	628	
264620	TaxAccRef	628	
258268	TaxAccRef	628	
255789	TaxAccRef	46644	
259291	NomRef	628	
255330	TaxAccRef	46699	
261985	TaxAccRef	628	
258975	TaxAccRef	44496	
261824	TaxAccRef	46151	
118514	NomRef	628	
119026	TaxAccRef	1401	
118569	TaxAccRef	1401	
260576	TaxAccRef	628	
258168	TaxAccRef	628	
295592	NomRef	45270	
264684	TaxAccRef	628	
262342	TaxAccRef	47073	
295589	NomRef	628	
368160	TaxAccRef	124946	
264829	TaxAccRef	628	
294887	NomRef	628	
257344	TaxAccRef	46572	
263360	TaxAccRef	44281	
258477	TaxAccRef	628	
174379	TaxAccRef	628	
255503	TaxAccRef	628	
263700	TaxAccRef	44932	
258656	TaxAccRef	44154	
256498	TaxAccRef	628	
264331	TaxAccRef	44369	
259783	TaxAccRef	628	
264239	TaxAccRef	46135	
