AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
264414	258642	melanurus	(Budde-Lund, 1879)	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264414		urn:lsid:marinespecies.org:taxname:264414	
264415	258642	sardous	Verhoeff, 1918	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264415		urn:lsid:marinespecies.org:taxname:264415	
264416	258785	absoloni	(Strouhal, 1939)	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264416		urn:lsid:marinespecies.org:taxname:264416	
264417	258785	assimilis	(Strouhal, 1939)	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264417		urn:lsid:marinespecies.org:taxname:264417	
264419	258785	politus	Strouhal, 1939	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264419		urn:lsid:marinespecies.org:taxname:264419	
264418	258785	politus	(Strouhal, 1939)	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264418		urn:lsid:marinespecies.org:taxname:264418	
264420	258787	boldorii	Arcangeli, 1952	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264420		urn:lsid:marinespecies.org:taxname:264420	
264421	258787	macedonicus	Buturovic, 1954	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264421		urn:lsid:marinespecies.org:taxname:264421	
264422	258802	damjanicus	Buturovic, 1955	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264422		urn:lsid:marinespecies.org:taxname:264422	
264423	258802	karamani	Buturovic, 1954	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264423		urn:lsid:marinespecies.org:taxname:264423	
264390	258612	carynthiacus	Verhoeff, 1908	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264390		urn:lsid:marinespecies.org:taxname:264390	
264391	258612	dolinensis	Verhoeff, 1908	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264391		urn:lsid:marinespecies.org:taxname:264391	
264392	258613	scabridus	Verhoeff, 1929	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264392		urn:lsid:marinespecies.org:taxname:264392	
264393	258613	strasseri	Verhoeff, 1928	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264393		urn:lsid:marinespecies.org:taxname:264393	
264394	258613	tschameri	Strouhal, 1935	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264394		urn:lsid:marinespecies.org:taxname:264394	
264395	258615	africanus	Arcangeli, 1939	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264395		urn:lsid:marinespecies.org:taxname:264395	
264396	258615	caecus	Brian, 1938	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264396		urn:lsid:marinespecies.org:taxname:264396	
264397	258615	calcivagus	Verhoeff, 1908	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264397		urn:lsid:marinespecies.org:taxname:264397	
264398	258615	croaticus	Strouhal, 1939	Subspecies	accepted	Accepted name	0	terrestrial		Schotte, Marilyn	2008-01-03 16:23:37	http://www.marinespecies.org/isopoda/aphia.php?p=taxdetails&id=264398		urn:lsid:marinespecies.org:taxname:264398	
