ID	ReferenceType	ReferenceID	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
146999	ComNameRef	9269	
146999	ComNameRef	685	
146999	ComNameRef	755	
258575	ComNameRef	147411	
259898	ComNameRef	147411	
262440	ComNameRef	147411	
259528	ComNameRef	102812	
148673	ComNameRef	147411	
261279	ComNameRef	147411	
258592	ComNameRef	147411	
260535	ComNameRef	147411	
118917	ComNameRef	147411	
260073	ComNameRef	147411	
262440	ComNameRef	147411	
263753	ComNameRef	147411	
257774	ComNameRef	147411	
119001	ComNameRef	1675	
157912	ComNameRef	2901	
345372	ComNameRef	47796	
146494	ComNameRef	151643	
118474	ComNameRef	147411	
118827	ComNameRef	1675	
260695	ComNameRef	147411	
264171	ComNameRef	685	
148661	ComNameRef	102812	
118852	ComNameRef	141421	
146999	ComNameRef	1116	
119046	ComNameRef	139287	
262272	ComNameRef	147411	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118958	ComNameRef	685	
263835	ComNameRef	147411	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
118917	ComNameRef	147412	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
118917	ComNameRef	1675	
263616	ComNameRef	147411	
146999	ComNameRef	147411	
264351	ComNameRef	102812	
264152	ComNameRef	156314	
263752	ComNameRef	147411	
262568	ComNameRef	147411	
262451	ComNameRef	147411	
118852	ComNameRef	61	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
146999	ComNameRef	1116	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
119036	ComNameRef	147411	
146999	ComNameRef	1116	
257760	ComNameRef	147411	
258268	ComNameRef	147411	
263631	ComNameRef	147411	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
258850	ComNameRef	147411	
325483	ComNameRef	147411	
118852	ComNameRef	10085	
257580	ComNameRef	147411	
118958	ComNameRef	1675	
263585	ComNameRef	147411	
118852	ComNameRef	147411	
263752	ComNameRef	147411	
263521	ComNameRef	102812	
119034	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
258268	ComNameRef	147411	
261029	ComNameRef	102812	
146999	ComNameRef	147411	
325483	ComNameRef	147412	
257580	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
258592	ComNameRef	147411	
157901	ComNameRef	2901	
258615	ComNameRef	147411	
263752	ComNameRef	147411	
119036	ComNameRef	147411	
257832	ComNameRef	151643	
264152	ComNameRef	147411	
119046	ComNameRef	755	
118953	ComNameRef	1675	
263649	ComNameRef	147411	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
261213	ComNameRef	147411	
119044	ComNameRef	141734	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
118917	ComNameRef	1116	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
257580	ComNameRef	147411	
257832	ComNameRef	151643	
262544	ComNameRef	147411	
119046	ComNameRef	1675	
260522	ComNameRef	147411	
261350	ComNameRef	147411	
258615	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
119039	ComNameRef	685	
119039	ComNameRef	755	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
258268	ComNameRef	147411	
118474	ComNameRef	1675	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
260566	TaxAccRef	628	
260623	TaxAccRef	628	
258720	TaxAccRef	44442	
535973	TaxAccRef	45528	
258020	TaxAccRef	46913	
259878	TaxAccRef	46690	
260216	TaxAccRef	628	
263474	TaxAccRef	628	
255743	TaxAccRef	628	
260152	TaxAccRef	44218	
258787	TaxAccRef	628	
258844	TaxAccRef	628	
157901	TaxAccRef	42	
260159	TaxAccRef	628	
262924	TaxAccRef	44990	
255336	TaxAccRef	628	
255629	TaxAccRef	628	
261938	TaxAccRef	628	
261995	TaxAccRef	628	
260406	TaxAccRef	44622	
255279	TaxAccRef	628	
258230	TaxAccRef	44517	
257008	TaxAccRef	628	
257065	TaxAccRef	628	
257860	TaxAccRef	45279	
263590	TaxAccRef	45090	
459108	TaxAccRef	141195	
263767	TaxAccRef	628	
295219	TaxAccRef	628	
257408	TaxAccRef	628	
148658	TaxAccRef	138856	
263299	TaxAccRef	45324	
264117	TaxAccRef	628	
255636	TaxAccRef	628	
258894	TaxAccRef	628	
256214	TaxAccRef	47199	
264563	TaxAccRef	45065	
118214	TaxAccRef	45333	
260516	TaxAccRef	628	
261945	TaxAccRef	628	
262660	TaxAccRef	44816	
294712	TaxAccRef	628	
258487	TaxAccRef	628	
260073	TaxAccRef	44209	
