ID	ReferenceType	ReferenceID	
257832	ComNameRef	147411	
259564	ComNameRef	102812	
118852	ComNameRef	61	
118918	ComNameRef	102812	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
257081	ComNameRef	102812	
263752	ComNameRef	147411	
148673	ComNameRef	147411	
260073	ComNameRef	147411	
260535	ComNameRef	147411	
118917	ComNameRef	147411	
261279	ComNameRef	147411	
262440	ComNameRef	147411	
258592	ComNameRef	147411	
263753	ComNameRef	147411	
258615	ComNameRef	147411	
257832	ComNameRef	151643	
259568	ComNameRef	102812	
260522	ComNameRef	147411	
119046	ComNameRef	1675	
148645	ComNameRef	102812	
261350	ComNameRef	147411	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
257832	ComNameRef	147411	
264152	ComNameRef	156314	
119024	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1675	
264351	ComNameRef	102812	
263616	ComNameRef	147411	
119042	ComNameRef	147411	
119044	ComNameRef	141734	
119044	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1116	
261213	ComNameRef	147411	
258615	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
257580	ComNameRef	147411	
157901	ComNameRef	2901	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
259528	ComNameRef	102812	
259898	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
262440	ComNameRef	147411	
258575	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
257774	ComNameRef	147411	
345372	ComNameRef	47796	
119001	ComNameRef	1675	
157912	ComNameRef	2901	
118852	ComNameRef	141421	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
119046	ComNameRef	139287	
118958	ComNameRef	685	
118958	ComNameRef	147411	
146999	ComNameRef	1116	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118917	ComNameRef	147412	
118917	ComNameRef	102812	
261019	ComNameRef	102812	
262272	ComNameRef	147411	
263835	ComNameRef	147411	
258947	ComNameRef	102812	
118474	ComNameRef	1675	
119039	ComNameRef	685	
119039	ComNameRef	755	
261223	ComNameRef	102812	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
257832	ComNameRef	147411	
257832	ComNameRef	151643	
264152	ComNameRef	147411	
119046	ComNameRef	755	
118953	ComNameRef	1675	
146999	ComNameRef	147411	
293516	ComNameRef	147412	
119036	ComNameRef	147411	
148669	ComNameRef	132969	
263649	ComNameRef	147411	
258850	ComNameRef	147411	
257760	ComNameRef	147411	
118852	ComNameRef	10085	
325483	ComNameRef	147411	
119044	ComNameRef	147411	
118958	ComNameRef	1675	
146999	ComNameRef	1116	
257580	ComNameRef	147411	
257580	ComNameRef	147411	
258268	ComNameRef	147411	
119036	ComNameRef	147411	
263631	ComNameRef	147411	
118827	ComNameRef	1675	
146494	ComNameRef	151643	
118474	ComNameRef	147411	
260695	ComNameRef	147411	
264171	ComNameRef	685	
148661	ComNameRef	102812	
118852	ComNameRef	147411	
263521	ComNameRef	102812	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
325483	ComNameRef	147412	
146999	ComNameRef	147411	
261029	ComNameRef	102812	
258268	ComNameRef	147411	
119034	ComNameRef	147411	
118843	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
119042	ComNameRef	1675	
146999	ComNameRef	1116	
216057	TaxAccRef	46717	
262483	TaxAccRef	628	
118966	TaxAccRef	1401	
259864	TaxAccRef	44464	
257114	TaxAccRef	47139	
118773	TaxAccRef	628	
294789	TaxAccRef	628	
183216	TaxAccRef	628	
118731	TaxAccRef	1401	
147081	TaxAccRef	138766	
256620	TaxAccRef	628	
295061	TaxAccRef	45659	
118680	TaxAccRef	1401	
258063	TaxAccRef	19170	
257559	TaxAccRef	44554	
264322	TaxAccRef	45062	
255298	TaxAccRef	628	
293938	TaxAccRef	628	
119058	TaxAccRef	46450	
256067	TaxAccRef	628	
264573	TaxAccRef	628	
264790	TaxAccRef	628	
255420	TaxAccRef	46064	
255195	TaxAccRef	45339	
118814	TaxAccRef	131451	
261891	TaxAccRef	44463	
261911	TaxAccRef	44816	
256146	TaxAccRef	45609	
264297	TaxAccRef	44842	
260896	TaxAccRef	628	
148634	TaxAccRef	9269	
258157	TaxAccRef	628	
294002	TaxAccRef	628	
119058	TaxAccRef	628	
261615	TaxAccRef	628	
257826	TaxAccRef	44242	
262994	TaxAccRef	14755	
256416	TaxAccRef	628	
263151	TaxAccRef	628	
260304	TaxAccRef	44273	
264734	TaxAccRef	45083	
264157	TaxAccRef	46508	
261953	TaxAccRef	46697	
261058	TaxAccRef	44186	
260497	TaxAccRef	628	
263619	TaxAccRef	628	
262151	TaxAccRef	628	
261307	TaxAccRef	46195	
257093	TaxAccRef	45607	
260228	TaxAccRef	628	
257528	TaxAccRef	47069	
262200	TaxAccRef	44159	
264440	TaxAccRef	628	
259872	TaxAccRef	76185	
259760	TaxAccRef	628	
256767	TaxAccRef	46994	
255748	TaxAccRef	628	
255948	TaxAccRef	628	
256485	TaxAccRef	628	
256685	TaxAccRef	628	
294120	TaxAccRef	628	
262338	TaxAccRef	44930	
262904	TaxAccRef	628	
259971	TaxAccRef	44273	
174609	TaxAccRef	47010	
220721	TaxAccRef	628	
259744	TaxAccRef	47279	
256085	TaxAccRef	628	
294406	TaxAccRef	628	
294606	TaxAccRef	628	
255548	TaxAccRef	628	
258602	TaxAccRef	46464	
264508	TaxAccRef	628	
259160	TaxAccRef	628	
258524	TaxAccRef	10129	
263597	TaxAccRef	44273	
263560	TaxAccRef	44756	
255344	TaxAccRef	46827	
259510	TaxAccRef	628	
261016	TaxAccRef	46254	
256841	TaxAccRef	46967	
260021	TaxAccRef	44726	
259634	TaxAccRef	132563	
256764	TaxAccRef	46994	
157847	TaxAccRef	40480	
294938	TaxAccRef	628	
263057	TaxAccRef	44984	
292959	TaxAccRef	132563	
118799	TaxAccRef	1401	
257807	TaxAccRef	45046	
367070	TaxAccRef	628	
579419	TaxAccRef	47636	
608098	TaxAccRef	163853	
238376	TaxAccRef	42	
