ReferenceID	Authors	Year	Title	Details	
64			North East Atlantic Taxa		
1260	Davoult, D.; Dewarumez, J.-M.; Luczak, C.; Migné, A.	1999	Nouvelles signalisations d'espèces benthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord [New reports of benthic species from the french coasts of the eastern English Channel and the North Sea]. <i>Cah. Biol. Mar. 40(2)</i>: 121-127		
154070	An, J., C. B. Boyko & X. Li	2012	Two new species of the genus Megacepon George, 1947 (Crustacea: Isopoda: Bopyridae) infesting Varunidae (Crustacea: Brachyura: Grapsoidea) from China. Journal of Natural History 46: 131-143.		
163761	Merrin, K. L.	2011	Nyctobadistes gen. nov. Isopoda: Asellota: Munnopsidae), a new genus from Tasmanian waters, Australia, with the description of a new species.  Zootaxa, 2769: 54-64.		
163767	Milne-Edwards, H.	1843	Note sur deux Crustacés fossiles de l'ordre des Isopodes. Annales des Sciences Naturelles (Zoologie), 20: 326-329.		
163769	Dudich, E.	1925	Über die Artliche Zugerhörigkeit des Asellus vun Ungarn, Polen, Dalmatien und Italien. Zoologischer Anzeiger, 63 (1 / 2): 1-7.		
163768	Verovnik, R., Prevorcnik, S. & Jugovic, J.	2009	Description of a neotype for Asellus aquaticus Linne, 1758 (Crustacea: Isopoda: Asellidae), with description of a new subterranean Asellus species from Europe. Zoologischer Anzeiger, 248: 101-118.		
171230	Coineau, N.; Boutin, C.; Artheau, M.	2013	Origin of the interstitial isopod Microcharon (Crustacea, Microparasellidae) from the western Languedoc and the northern Pyrenees (France) with the description of two new species. Subterranean Biology, 10: 1-16.		
171223	Timm, M.; Kaiser, S.; Brandt, A.	2013	A new species of Acanthaspidia Stebbing, 1898 (Isopoda, Asellota, Acanthaspidiidae) from the bathyal Weddell Sea (Southern Ocean). Zootaxa, 3692(1), 238–258.		
171256	Hadfield, K.A., Bruce, N.L. & Smit, N.J.	2013	Review of the fish-parasitic genus <i>Cymothoa</i> Fabricius, 1783 (Isopoda, Cymothoidae, Crustacea) from the south-western Indian Ocean, including a new species from South Africa. <i>Zootaxa</i>, 3640, 152–176.  		
171259	Bruce, N.L.; Buxton, C.	2013	Review of the marine isopod crustacean genus Hansenium Serov and Wilson, 1995 (Asellota: Stenetriidae) from tropical Australia and Papua New Guinea, with description of a new genus. Zootaxa, 3664(4): 445–478.		
171258	Doti, B.L.; Roccatagliata, D.	2013	Two new species of the genus Munnogonium (Isopoda: Asellota: Paramunnidae) from Argentina. Zootaxa, 3717(3): 301–319.		
149008	Markham, J. C.	2010	The isopod parasites (Crustacea: Isopoda: Bopyridae)  of decapod Crustacea of Queensland, Australia, with descriptions of three  new species. In Davie, P. J. F. & Phillips, J.A. (Eds.), Proceedings of  the Thirteenth International Marine Biological Workshop, The Marine Fauna  and Flora of Moreton Bay, Queensland. Memoirs of the Queensland Museum —  Nature 54(3): 151-197.		
163136	Farquharson, C.; Smit, N.J.; Sikkel, P.C.	2012	Gnathia marleyi sp. nov. (Crustacea, Isopoda, Gnathiidae) from the eastern Caribbean. Zootaxa, 3381: 47-61		
163770	Dudich, E.	1925	Systematische Studien an italienischen Aselliden. Annales Musei Nationalis Hungarici, 22: 281-301.		
151846	Khalaji-Pirbalouty, V. & Wägele, J.-W.	2011	Two new species of cirolanid isopods (Crustacea: Isopoda: Cirolanidae) from Qeshm and Kish Islands in the Persian Gulf. Zootaxa, 2930, 33–46.  		
151643	Dhora, DH.	2008	Fjalor i emrave të kafshëve të Shqipërisë (Emri shkencor – Shqip – Anglisht) / Dictionary of animal names of Albania (Scientific names – Albanian – English). Camaj – Pipa. Shkodër, Albania.		
155166	Liu, W., Poore G.C.B. & Lu, J.	2008	Cleantioides longicornis, a new species of Holognathidae (Crustacea, Isopoda, Valvifera) in the Yangtze Estuary, published on line www.paper.edu.cn/index.php/default/en_releasepaper/downPaper/200809-530		
155164	Nunomura, N.	2011	A new species of the genus Arcturus (Crustacea: Isopoda: Arcturidae) from colonies of a hydrozoan, Lytocarpia niger, Tomioka, western Japan. Contributions from the Toyama Science Museum, 404, 45-49.		
148125	Ota, Tanaka, Hirose & Hirose,	2010	Description of a new species of Elaphognathia (Isopoda: Gnathiidae) from Japan based on morphological and molecular traits. Journal of Crustacean Biology 30(4): 710-720.		
148149	Shiino, S. M.	1973	On Probopyrus borrei (Giard et Bonnier), a freshwater bopyrid (Epicaridea: Isopoda) collected in Guadalcanal and New Britain by the Noona Dan Expedition 1961-62 and Galathea Expedition 1950-52.  Science Report of Shima Marineland 2: 23-36 [in Japanese and English].		
149071	Khalaji-Pirbalouty, V. & Wägele, J.-W.	2010	A new species and a new record of Sphaeroma Bosc, 1802 (Sphaeromatidae: Isopoda: Crustacea) from intertidal habitats of the Persian Gulf. Zootaxa 2631: 1-18.		
162972	Jones, D.A. &  Nithyanandan, M.	2012	Taxonomy and distribution of the genus <i>Eurydice</i> Leach, 1815 (Crustacea, Isopoda, Cirolanidae) from the Arabian region, including three new species. <i>Zootaxa</i> 3314: 45–57.  		
