ID	ReferenceType	ReferenceID	
257832	ComNameRef	147411	
264152	ComNameRef	156314	
119024	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1675	
263616	ComNameRef	147411	
258615	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
257580	ComNameRef	147411	
157901	ComNameRef	2901	
258592	ComNameRef	147411	
263752	ComNameRef	147411	
119042	ComNameRef	147411	
119044	ComNameRef	141734	
119044	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
118917	ComNameRef	1116	
261213	ComNameRef	147411	
259898	ComNameRef	147411	
146999	ComNameRef	685	
146999	ComNameRef	755	
146999	ComNameRef	9269	
262440	ComNameRef	147411	
258575	ComNameRef	147411	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
148673	ComNameRef	147411	
260073	ComNameRef	147411	
260535	ComNameRef	147411	
118917	ComNameRef	147411	
261279	ComNameRef	147411	
262440	ComNameRef	147411	
258592	ComNameRef	147411	
263753	ComNameRef	147411	
257832	ComNameRef	147411	
118852	ComNameRef	61	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
263752	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
325483	ComNameRef	147412	
146999	ComNameRef	147411	
258268	ComNameRef	147411	
119034	ComNameRef	147411	
258615	ComNameRef	147411	
257832	ComNameRef	151643	
260522	ComNameRef	147411	
119046	ComNameRef	1675	
261350	ComNameRef	147411	
257580	ComNameRef	147411	
262544	ComNameRef	147411	
118852	ComNameRef	141421	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
119046	ComNameRef	139287	
118958	ComNameRef	685	
118958	ComNameRef	147411	
146999	ComNameRef	1116	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118917	ComNameRef	147412	
262272	ComNameRef	147411	
263835	ComNameRef	147411	
257774	ComNameRef	147411	
345372	ComNameRef	47796	
119001	ComNameRef	1675	
157912	ComNameRef	2901	
118474	ComNameRef	1675	
119039	ComNameRef	685	
119039	ComNameRef	755	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
118843	ComNameRef	1675	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
119042	ComNameRef	1675	
146999	ComNameRef	1116	
257832	ComNameRef	147411	
257832	ComNameRef	151643	
264152	ComNameRef	147411	
119046	ComNameRef	755	
118953	ComNameRef	1675	
146999	ComNameRef	147411	
293516	ComNameRef	147412	
119036	ComNameRef	147411	
148669	ComNameRef	132969	
263649	ComNameRef	147411	
118827	ComNameRef	1675	
146494	ComNameRef	151643	
118474	ComNameRef	147411	
260695	ComNameRef	147411	
264171	ComNameRef	685	
258850	ComNameRef	147411	
257760	ComNameRef	147411	
118852	ComNameRef	10085	
325483	ComNameRef	147411	
119044	ComNameRef	147411	
118958	ComNameRef	1675	
146999	ComNameRef	1116	
257580	ComNameRef	147411	
257580	ComNameRef	147411	
258268	ComNameRef	147411	
119036	ComNameRef	147411	
263631	ComNameRef	147411	
118852	ComNameRef	147411	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
262530	TaxAccRef	44942	
259829	TaxAccRef	628	
261469	TaxAccRef	46561	
256625	TaxAccRef	45455	
118487	TaxAccRef	6201	
118205	TaxAccRef	9269	
257986	TaxAccRef	628	
264402	TaxAccRef	628	
261362	TaxAccRef	44803	
293321	TaxAccRef	628	
258567	TaxAccRef	46033	
607631	TaxAccRef	163767	
118209	TaxAccRef	1380	
263101	TaxAccRef	46938	
262506	TaxAccRef	44272	
533736	TaxAccRef	145868	
258259	TaxAccRef	628	
257606	TaxAccRef	44404	
118709	TaxAccRef	628	
183280	TaxAccRef	628	
258050	TaxAccRef	628	
256378	TaxAccRef	628	
256480	TaxAccRef	628	
259522	TaxAccRef	46455	
258218	TaxAccRef	45462	
260433	TaxAccRef	628	
183220	TaxAccRef	46528	
395808	TaxAccRef	127204	
264318	TaxAccRef	44360	
261194	TaxAccRef	628	
175090	TaxAccRef	4179	
295188	TaxAccRef	628	
263734	TaxAccRef	628	
255841	TaxAccRef	46528	
260148	TaxAccRef	46373	
257761	TaxAccRef	45083	
257226	TaxAccRef	46813	
255655	TaxAccRef	628	
257670	TaxAccRef	46390	
255478	TaxAccRef	19165	
264504	TaxAccRef	628	
262321	TaxAccRef	44942	
262539	TaxAccRef	628	
258819	TaxAccRef	44426	
367071	TaxAccRef	45807	
261258	TaxAccRef	628	
259765	TaxAccRef	628	
259121	TaxAccRef	47263	
256032	TaxAccRef	47284	
263266	TaxAccRef	628	
262155	TaxAccRef	44701	
295193	TaxAccRef	628	
256356	TaxAccRef	46717	
256123	TaxAccRef	628	
536250	TaxAccRef	45590	
262852	TaxAccRef	44282	
