ID	ReferenceType	ReferenceID	
118917	ComNameRef	1116	
119044	ComNameRef	141734	
261213	ComNameRef	147411	
146999	ComNameRef	147411	
146999	ComNameRef	147411	
119042	ComNameRef	147411	
119044	ComNameRef	147411	
118852	ComNameRef	685	
118852	ComNameRef	755	
258268	ComNameRef	147411	
119034	ComNameRef	147411	
146999	ComNameRef	147411	
325483	ComNameRef	147412	
261029	ComNameRef	102812	
257832	ComNameRef	147411	
263752	ComNameRef	147411	
262451	ComNameRef	147411	
262568	ComNameRef	147411	
118852	ComNameRef	61	
259564	ComNameRef	102812	
118918	ComNameRef	102812	
257081	ComNameRef	102812	
264152	ComNameRef	156314	
118917	ComNameRef	1675	
146999	ComNameRef	147411	
263616	ComNameRef	147411	
257832	ComNameRef	147411	
119024	ComNameRef	147411	
264351	ComNameRef	102812	
157901	ComNameRef	2901	
257580	ComNameRef	147411	
263752	ComNameRef	147411	
257781	ComNameRef	147411	
259095	ComNameRef	147411	
119024	ComNameRef	147411	
258615	ComNameRef	147411	
258592	ComNameRef	147411	
157912	ComNameRef	2901	
119001	ComNameRef	1675	
257774	ComNameRef	147411	
345372	ComNameRef	47796	
262830	ComNameRef	147411	
119034	ComNameRef	147411	
259898	ComNameRef	147411	
146999	ComNameRef	9269	
146999	ComNameRef	685	
146999	ComNameRef	755	
262440	ComNameRef	147411	
259528	ComNameRef	102812	
258575	ComNameRef	147411	
260535	ComNameRef	147411	
261279	ComNameRef	147411	
118917	ComNameRef	147411	
260073	ComNameRef	147411	
262440	ComNameRef	147411	
263753	ComNameRef	147411	
148673	ComNameRef	147411	
258592	ComNameRef	147411	
118852	ComNameRef	147411	
263585	ComNameRef	147411	
263752	ComNameRef	147411	
263521	ComNameRef	102812	
146999	ComNameRef	1116	
119039	ComNameRef	147411	
325483	ComNameRef	147411	
118843	ComNameRef	1675	
119042	ComNameRef	1675	
118474	ComNameRef	147411	
146494	ComNameRef	151643	
118827	ComNameRef	1675	
260695	ComNameRef	147411	
264171	ComNameRef	685	
148661	ComNameRef	102812	
119036	ComNameRef	147411	
118852	ComNameRef	10085	
119044	ComNameRef	147411	
257580	ComNameRef	147411	
257580	ComNameRef	147411	
146999	ComNameRef	1116	
263631	ComNameRef	147411	
257760	ComNameRef	147411	
258850	ComNameRef	147411	
325483	ComNameRef	147411	
258268	ComNameRef	147411	
118958	ComNameRef	1675	
119046	ComNameRef	755	
119036	ComNameRef	147411	
257832	ComNameRef	147411	
146999	ComNameRef	147411	
257832	ComNameRef	151643	
118953	ComNameRef	1675	
263649	ComNameRef	147411	
264152	ComNameRef	147411	
293516	ComNameRef	147412	
148669	ComNameRef	132969	
119039	ComNameRef	685	
119039	ComNameRef	755	
258268	ComNameRef	147411	
262343	ComNameRef	147411	
262440	ComNameRef	147411	
261223	ComNameRef	102812	
258947	ComNameRef	102812	
118474	ComNameRef	1675	
118917	ComNameRef	685	
118917	ComNameRef	1116	
118852	ComNameRef	147411	
119039	ComNameRef	147411	
118958	ComNameRef	147411	
119046	ComNameRef	139287	
146999	ComNameRef	1116	
118852	ComNameRef	141421	
263835	ComNameRef	147411	
262272	ComNameRef	147411	
118917	ComNameRef	147412	
261019	ComNameRef	102812	
118917	ComNameRef	102812	
118958	ComNameRef	685	
260522	ComNameRef	147411	
257580	ComNameRef	147411	
257832	ComNameRef	151643	
119046	ComNameRef	1675	
258615	ComNameRef	147411	
261350	ComNameRef	147411	
262544	ComNameRef	147411	
259568	ComNameRef	102812	
148645	ComNameRef	102812	
258464	TaxAccRef	45895	
261237	TaxAccRef	44131	
256944	TaxAccRef	628	
118204	TaxAccRef	152417	
262794	TaxAccRef	628	
118849	TaxAccRef	628	
260369	TaxAccRef	628	
264195	TaxAccRef	47219	
256544	TaxAccRef	628	
293446	NomRef	628	
118588	TaxAccRef	12866	
256442	TaxAccRef	628	
256772	TaxAccRef	46994	
261246	TaxAccRef	44714	
411064	TaxAccRef	132494	
183218	TaxAccRef	45822	
263143	TaxAccRef	628	
294918	NomRef	628	
579175	TaxAccRef	152750	
259494	TaxAccRef	154080	
819363	NomRef	138799	
294050	NomRef	628	
264466	TaxAccRef	628	
264364	TaxAccRef	628	
533733	NomRef	46933	
118844	NomRef	1401	
174486	TaxAccRef	628	
257901	TaxAccRef	46266	
607632	TaxAccRef	163765	
258616	TaxAccRef	628	
295420	NomRef	628	
261500	TaxAccRef	44948	
175171	TaxAccRef	628	
259650	TaxAccRef	628	
257731	TaxAccRef	628	
118196	TaxAccRef	20184	
262109	TaxAccRef	628	
260904	TaxAccRef	45021	
579151	NomRef	171229	
256857	TaxAccRef	45368	
258411	TaxAccRef	13440	
260471	TaxAccRef	628	
118678	TaxAccRef	45564	
293952	NomRef	47313	
294579	NomRef	154080	
257059	TaxAccRef	628	
257263	TaxAccRef	628	
259969	TaxAccRef	628	
264181	TaxAccRef	628	
256880	TaxAccRef	22043	
255891	TaxAccRef	47369	
261641	TaxAccRef	628	
258968	NomRef	44785	
263798	TaxAccRef	628	
294233	NomRef	628	
