ID	ReferenceType	ReferenceID	
101102	TaxAccRef	1387	
101102	TaxAccRef	167904	
101108	TaxAccRef	1318	
101111	TaxAccRef	1387	
101117	TaxAccRef	1318	
101120	TaxAccRef	167917	
101121	TaxAccRef	167973	
101122	TaxAccRef	167900	
101126	TaxAccRef	167973	
101132	TaxAccRef	167892	
101136	TaxAccRef	1387	
101141	TaxAccRef	1387	
101142	TaxAccRef	1318	
101144	TaxAccRef	167864	
265050	TaxAccRef	167933	
265058	TaxAccRef	1318	
265067	TaxAccRef	1318	
265067	TaxAccRef	167973	
265070	TaxAccRef	167862	
265078	TaxAccRef	167947	
265080	TaxAccRef	167921	
265081	TaxAccRef	167919	
265083	TaxAccRef	167951	
265086	TaxAccRef	167907	
265092	TaxAccRef	1318	
265101	TaxAccRef	1318	
265101	TaxAccRef	167973	
265108	NomRef	167898	
265110	TaxAccRef	167973	
265114	TaxAccRef	167863	
265126	TaxAccRef	1318	
265135	TaxAccRef	1318	
265135	TaxAccRef	167973	
265926	TaxAccRef	1318	
731245	TaxAccRef	167973	
731254	TaxAccRef	167967	
731254	TaxAccRef	167973	
731274	TaxAccRef	167963	
731279	TaxAccRef	167973	
731284	TaxAccRef	167964	
731299	TaxAccRef	167969	
731308	TaxAccRef	167966	
731313	TaxAccRef	167973	
731317	TaxAccRef	167860	
731322	TaxAccRef	167973	
731333	TaxAccRef	167972	
731488	TaxAccRef	167973	
731543	TaxAccRef	57674	
731547	TaxAccRef	57674	
731547	TaxAccRef	167973	
731556	TaxAccRef	167973	
731559	TaxAccRef	167942	
731565	TaxAccRef	167986	
731581	TaxAccRef	167973	
731586	TaxAccRef	57674	
731590	TaxAccRef	167973	
731601	TaxAccRef	167972	
101097	TaxAccRef	167973	
101099	NomRef	167928	
101102	TaxAccRef	663	
101103	TaxAccRef	1318	
101105	TaxAccRef	1318	
101112	TaxAccRef	1387	
101113	TaxAccRef	167893	
101114	TaxAccRef	1387	
101119	TaxAccRef	167911	
101129	TaxAccRef	1387	
101129	TaxAccRef	57674	
101131	TaxAccRef	167973	
101133	TaxAccRef	167973	
101139	TaxAccRef	1318	
101148	TaxAccRef	1387	
101148	TaxAccRef	167973	
265050	TaxAccRef	167934	
265053	TaxAccRef	1318	
265065	TaxAccRef	132593	
265065	TaxAccRef	141266	
265066	TaxAccRef	167973	
265072	TaxAccRef	1318	
265081	TaxAccRef	167973	
265087	TaxAccRef	1318	
265089	TaxAccRef	1318	
265102	TaxAccRef	1318	
265113	TaxAccRef	57674	
265115	TaxAccRef	167973	
265119	TaxAccRef	167898	
265130	TaxAccRef	167973	
265132	TaxAccRef	167973	
265136	TaxAccRef	1318	
265138	TaxAccRef	1318	
265928	TaxAccRef	167932	
265966	TaxAccRef	167973	
416488	TaxAccRef	167965	
477221	TaxAccRef	167955	
731259	TaxAccRef	167973	
731262	TaxAccRef	167972	
731264	TaxAccRef	167972	
731274	TaxAccRef	167973	
731275	TaxAccRef	167954	
731276	TaxAccRef	167973	
731304	TaxAccRef	167964	
731310	TaxAccRef	167973	
731325	TaxAccRef	167973	
731474	TaxAccRef	167973	
731476	TaxAccRef	167973	
731483	TaxAccRef	167972	
731542	TaxAccRef	57674	
731559	TaxAccRef	167973	
731561	TaxAccRef	167973	
731576	TaxAccRef	167973	
731581	TaxAccRef	167943	
731595	TaxAccRef	167973	
101099	TaxAccRef	167933	
101104	TaxAccRef	167893	
101105	TaxAccRef	167973	
101112	TaxAccRef	1318	
101113	TaxAccRef	1318	
101116	TaxAccRef	167917	
101121	TaxAccRef	167893	
101123	TaxAccRef	1387	
101130	TaxAccRef	1318	
101137	TaxAccRef	1387	
101140	TaxAccRef	1387	
