AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
101097	Mediterranean Sea	Text		
101097	Mediterranean Sea	Text		
101100	Mediterranean Sea	Text		
101100	Mediterranean Sea	Text		
101101	Mediterranean Sea	Text		
101103	Mediterranean Sea	Text		
101108	Mediterranean Sea	Text		
101108	Mediterranean Sea	Text		
101109	Mediterranean Sea	Text		
101109	Mediterranean Sea	Text		
101114	Mediterranean Sea	Text		
101114	Mediterranean Sea	Text		
101115	Mediterranean Sea	Text		
101115	Mediterranean Sea	Text		
101122	Mediterranean Sea	Text		
101122	Mediterranean Sea	Text		
101130	Mediterranean Sea	Text		
101130	Mediterranean Sea	Text		
101131	Mediterranean Sea	Text		
101129	Mediterranean Sea	Text		
101129	Mediterranean Sea	Text		
101135	Mediterranean Sea	Text		
101135	Mediterranean Sea	Text		
101137	Mediterranean Sea	Text		
101137	Mediterranean Sea	Text		
101139	Mediterranean Sea	Text		
101140	Mediterranean Sea	Text		
101140	Mediterranean Sea	Text		
101142	Mediterranean Sea	Text		
101145	Mediterranean Sea	Text		
101145	Mediterranean Sea	Text		
101146	Mediterranean Sea	Text		
101146	Mediterranean Sea	Text		
101147	Mediterranean Sea	Text		
101147	Mediterranean Sea	Text		
101126	Mediterranean Sea	Text		
101126	Mediterranean Sea	Text		
101127	Mediterranean Sea	Text		
101148	Arctic Ocean	Text		
101144	Arctic Ocean	Text		
265128	Arctic Ocean	Text		
101141	Arctic Ocean	Text		
101138	Arctic Ocean	Text		
101136	Arctic Ocean	Text		
101134	Arctic Ocean	Text		
265118	Arctic Ocean	Text		
101132	Arctic Ocean	Text		
265115	Arctic Ocean	Text		
101121	Arctic Ocean	Text		
265085	Arctic Ocean	Text		
265087	Arctic Ocean	Text		
101124	Arctic Ocean	Text		
101113	Arctic Ocean	Text		
265061	Arctic Ocean	Text		
101105	Arctic Ocean	Text		
101106	Arctic Ocean	Text		
101104	Arctic Ocean	Text		
101099	North Sea	Text		
101116	North Sea	Text		
101116	North Sea	Text		
101123	North Sea	Text		
101123	North Sea	Text		
101139	North Sea	Text		
101142	North Sea	Text		
