ReferenceID	Authors	Year	Title	Details	
167952	Sørensen, M. V.; Rho, H. S.	2009	Triodontoderes anulap gen. et sp. nov. – a new cyclorhagid kinorhynch genus and species from Micronesia	Journal of the Marine Biological Association of the United Kingdom. 89(6): 1269-1279	
167923	Lemburg, C.	2002	A new kinorhynch Pycnophyes australensis sp. n. (Kinorhyncha: Homalorhagida: Pycnophyidae) from Magnetic	Island, Australia. Zoologischer Anzeiger. 241: 173-189	
167946	Sánchez-Tocino, L.; Tierno de Figueroa; J M López-Rodríguez; J, M.; Liébanas, G.	2011	First record of Echinoderes dujardinii Claparède, 1863 (Kinorhyncha, Cyclorhagida) in Iberian Peninsula coast waters	Zoologica Baetica. 22: 179-184	
167969	Zelinka, C.	1908	Zur Anatomie der Echinoderen. Zoologischer Anzeiger 33(19/20): 629-647.		
167935	Neuhaus, B.; Pardos, P.; Sørensen, M. V.; Higgins, R. P.	2013	Redescription, morphology, and biogeography of Centroderes spinosus	Reinhard, 1881)(Kinorhyncha, Cyclorhagida) from Europe. Cahiers de Biologie Marine. 54: 109-132	
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]	Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp	
167929	Murakami, C.; Adrianov, A.; Shirayama, Y.	2001	Taxonomic study of the Kinorhyncha in Japan: I. Pycnophyes tubuliferus Adrianov, (Kinorhyncha: Homalorhagida) from Japan	Publications of the Seto Marine Biological Laboratory. 39(2): 113-127	
167883	Claparède, A.R.E.	1863	Zur Kenntnis der Gattung Echinoderes Duj. Beobachtungen über Anatomie und Entwicklungsgeschichte wirbelloser Thiere an der Küste von Normandie angestellt.		
167915	Higgins, R. P.	1991	Pycnophyes chukchiensis, a new homalorhagid kinorhynch from the Arctic Sea	Proceedings of the Biological Society of Washington. 104(1): 184-188	
167866	Adrianov, A. V.; Murakami, C.; Shirayama, Y.	2002	Taxonomic study of the Kinorhyncha in Japan. II. Condyloderes setoensis, a new species (Kinorhyncha: Cyclorhagida) from Tanabe Bay (Honshu) – first representative of the genus in the Pacific Ocean	Proceedings of the Biological Society of Washington. 115(1): 205-216	
167889	Gerlach, S. A.	1969	Cateria submersa sp. n., ein cryptorhager Kinorhynch aus dem sublitoralen Mesopsammal der Nordsee	Veröffenlichungen des Instituts für Meeresforschung in Bremerhaven. 12: 161-168	
167966	Thormar, J.; Sørensen, M. V.	2010	Two new species of Echinoderes (Kinorhyncha: Cyclorhagida) from the Solomon Islands	Meiofauna Marina. 18: 67-96	
167909	Higgins, R. P.	1982	Three new species of Kinorhyncha from Bermuda	Transactions of the American Microscopical Society. 101(4): 305-316	
6744	Reinhard, W.	1881	Uber Echinoderes und Desmoscolex der Umgebung von Odessa	Zool. Anz.. 4: 588-592	
167860	Abe, Y.	1930	Das Vorkommen von Echinoderes in den japanischen Gewässern	Journal of Science of the Hiroshima University Series B Division 1 Volume. 1(3): 39-43	
167903	Higgins, R. P.	1968	Taxonomy and postembryonic development of the Cryptorhagae, a new suborder for the mesopsammic kinorhynch genus Cateria	Transactions of the American Microscopical Society. 87(1): 21-39	
167880	Blake, C. H.	1930	Three new species of worms belonging to the order Echinodera	Biological Survey of the Mount Desert Region. 4: 3-10	
167949	Song, Y. H.; Chang, C. Y.	2001	First record of Campyloderes macquariae Johnston (Kinorhyncha, Cyclorhagida, Centroderidae) from the North Pacific	The Korean Journal of Systematic Zoology. 17(2): 207-216	
167926	Martorelli, S.; Higgins, R. P.	2004	Kinorhyncha from the stomach of the shrimp Pleoticus muelleri (Bate, 1888) from	Comodoro Rivadavia, Argentina. Zoologischer Anzeiger. 243: 85-98	
167972	Zelinka, K.	1928	Monographie der Echinodera. 396		
167886	Dujardin, F.	1851	Sur un petit animal marin, l'Echinodère, formant un type intermédiaire entre les Crustacés et les Vers. Annales des Scienes naturelles (3) Zoologie 15: 158-173, pl. 3.		
167932	Neuhaus, B. & Blasche, T.	2006	Fissuroderes, a new genus of Kinorhyncha (Cyclorhagida) from the deep sea and continental shelf of New Zealand and from the continental shelf of Costa Rica. Zoologischer Anzeiger 245: 19-52.		
167986	Panceri, P.	1878	Osservazioni intorno a nuove forme di vermi nematodi marini. Atti della R. Academia delle Scienze Fisiche e Matematiche 7(10): 1-10, pl. 1.		
167892	Higgins, R. P.; Korczynski, R. E.	1989	Two new species of Pycnophyes (Homalorhagida, Kinorhyncha) from the Canadian coast of the Beaufort Sea	Canadian Journal of Zoology. 67: 2056-2064	
167963	Sørensen, M.V., Rho, H.S. & Min, W.-G., Kim, D. & Chang, C.Y.	2012	: An exploration of Echinoderes (Kinorhyncha: Cyclorhagida) in Korean and neighboring waters, with the description of four new species and a redescription of E. tchefouensis Lou, 1934. Zootaxa.		
167943	Reinhard, W.	1887	Kinorhyncha (Echinoderes), ihr anatomischer Bau und ihre Stellung im System. Zeitschrift für wissenschaftliche Zoologie 45: 401-467, pls. XX-XXII.		
167863	Adrianov, A.V.	1989	The first report on Kinorhyncha of the Sea of Japan. Zoologichesky Zhurnal 68(7): 17-27. [in Russian]		
6684	Schepotieff, A.	1907	Zur Systematik der Nematoideen	Zoologischer Anzeiger. XXXI, 5/6: 132-161	
167906	Higgins, R.P.	1977	: Redescription of Echinoderes dujardinii (Kinorhyncha) with descriptions of closely related species. Smithsonian Contributions to Zoology 248: 1-26.		
167912	Higgins, R. P.	1986	A new species of Echinoderes (Kinorhyncha: Cyclorhagida) from a coarse-sand California beach	Transactions of the American Microscopical Society. 105(3): 266-273	
167955	Sørensen, M. V.	2008	A new kinorhynch genus from the Antarctic deep sea and a new species of Cephalorhyncha from Hawaii (Kinorhyncha: Cyclorhagida	Echionoderidae). Organisms, Diversity and Evolution. 8: 230-232	
98858	Lang, K.	1936	Undersökningar över Öresund. Untersuchungen aus dem Öresund. XXI. Einige Kleintiere aus dem Öresund.	Acta Universitatis Lundensis. 2, 31(10):1-8, figs. 1-11.	
167927	McIntyre, A. D.	1962	The class Kinorhyncha (Echinoderida) in British waters	Journal of the Marine Biological Association of the United Kingdom. 42: 503-509	
167904	Higgins, R. P.	1969	Indian Ocean Kinorhyncha: 1. Condyloderes and Sphenoderes, new cyclorhagid genera	Smithsonian Contributions to Zoology. (14), 1-13	
57674	Higgins, R. P.	1983	The Atlantic barrier reef ecosystem at Carrie Bow Cay	Kinorhyncha. Smithsonian Contributions to the Marine Sciences. 18Belize, II : 1-131	
167950	Sørensen, M. V.	2007	A new species of Antygomonas (Kinorhyncha: Cyclorhagida) from the Atlantic coast of	Florida, USA. Cahiers de Biologie Marine. 48: 155-168	
75750	Bacescu, M., E. Dumitrescu, A. Marcus, G. Paladian & G. Mayer	1963	Données quantitatives sur la faune pétricole de la mer Noire à Agigea (secteur roumain), dans les conditions spéciales de l'année 1961.	Travaux du Museum National d'Histoire Naturelle Grigore Antipa. 4:131-155, figs. 1-3, pl. 1, tabs. 1-2, folding table.	
167921	Lang, K.	1949	Echinoderida. Further Zoological Results of the Swedish Antarctic Expedition 1901-1903 4: 1-22.		
167887	GaOrdóñez, D., Pardos, F. & Benito, J.	2008	Three new Echinoderes (Kinorhyncha, Cyclorhagida) from North Spain, with new evolutionary aspects in the genus. Zoologischer Anzeiger 247: 95-111.		
167881	Brown, R.; Higgins, R. P.	1983	A new species of Kinorhynchus (Homalorhagida, Pycnophyidae) from Australia with a redescription and range extension of other Kinorhyncha from	the South Pacific. Zoologica Scripta. 12(3): 161-169	
167964	Sørensen, M. V.; Rho, H. S.; W-Min, G.; Kim, D.; Chang, C. Y.	2012	Occurrence of the newly described kinorhynch genus Meristoderes (Cyclorhagida: Echinoderidae) in Korea, with the description of four new species	Helgoland Marine Research	
