ID	ReferenceType	ReferenceID	
101099	TaxAccRef	167902	
101100	TaxAccRef	167973	
101101	TaxAccRef	663	
101104	TaxAccRef	1318	
101106	TaxAccRef	167901	
101115	TaxAccRef	1387	
101117	TaxAccRef	167973	
101118	TaxAccRef	663	
101121	TaxAccRef	1318	
101130	TaxAccRef	167973	
101132	TaxAccRef	1387	
101137	TaxAccRef	167969	
101138	TaxAccRef	1318	
101145	TaxAccRef	1387	
101147	TaxAccRef	167973	
101148	TaxAccRef	167864	
265054	TaxAccRef	1318	
265056	NomRef	1318	
265057	TaxAccRef	167865	
265063	TaxAccRef	167973	
265067	TaxAccRef	167863	
265071	TaxAccRef	1318	
265080	TaxAccRef	167973	
265088	TaxAccRef	1318	
265091	TaxAccRef	167862	
265097	TaxAccRef	57674	
265097	TaxAccRef	167973	
265105	TaxAccRef	1318	
265109	TaxAccRef	167881	
265114	TaxAccRef	167973	
265122	TaxAccRef	1318	
265125	TaxAccRef	167862	
265131	TaxAccRef	167973	
265922	TaxAccRef	1318	
265929	TaxAccRef	167932	
265965	TaxAccRef	167973	
416488	TaxAccRef	132823	
731262	NomRef	167972	
731272	NomRef	167970	
731272	NomRef	167973	
731275	TaxAccRef	167973	
731286	NomRef	167919	
731305	TaxAccRef	167964	
731306	NomRef	167973	
731309	TaxAccRef	167973	
731326	TaxAccRef	167973	
731328	TaxAccRef	167950	
731337	NomRef	6737	
731340	NomRef	167973	
731476	NomRef	167973	
731477	NomRef	57674	
731493	NomRef	167973	
731494	NomRef	57674	
731540	NomRef	167973	
731545	NomRef	57674	
731557	NomRef	167973	
731562	NomRef	57674	
731574	NomRef	167973	
731591	NomRef	167973	
731592	NomRef	57674	
731599	NomRef	167988	
731608	NomRef	167973	
731609	NomRef	57674	
101097	TaxAccRef	167973	
101098	NomRef	167973	
101102	TaxAccRef	663	
101103	TaxAccRef	1318	
101105	TaxAccRef	1318	
101106	TaxAccRef	167862	
101112	TaxAccRef	1387	
101113	TaxAccRef	167893	
101114	TaxAccRef	1387	
101119	TaxAccRef	167911	
101129	TaxAccRef	1387	
101129	TaxAccRef	57674	
101131	TaxAccRef	167973	
101139	TaxAccRef	1318	
101148	TaxAccRef	1387	
101148	TaxAccRef	167973	
265050	TaxAccRef	167934	
265053	TaxAccRef	1318	
265065	TaxAccRef	132593	
265065	TaxAccRef	141266	
265066	TaxAccRef	167973	
265072	TaxAccRef	1318	
265079	TaxAccRef	167906	
265081	TaxAccRef	167973	
265087	TaxAccRef	1318	
265089	TaxAccRef	1318	
265102	TaxAccRef	1318	
265113	TaxAccRef	57674	
265115	TaxAccRef	167973	
265119	TaxAccRef	167898	
265130	TaxAccRef	167973	
265132	TaxAccRef	167973	
265136	TaxAccRef	1318	
265138	TaxAccRef	1318	
265928	TaxAccRef	167932	
265966	TaxAccRef	167973	
416488	TaxAccRef	167965	
477221	TaxAccRef	167955	
731254	NomRef	167967	
731259	TaxAccRef	167973	
731274	TaxAccRef	167973	
731275	TaxAccRef	167954	
731304	TaxAccRef	167964	
731306	NomRef	167896	
731325	TaxAccRef	167973	
731341	NomRef	167973	
731480	NomRef	167972	
731490	NomRef	167973	
731495	NomRef	167972	
