AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
101097	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Antygomonidae	Antygomonas		incomitata	Nebelsick, 1990	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101097		urn:lsid:marinespecies.org:taxname:101097	
265048	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Antygomonidae	Antygomonas		oreas	Bauer-Nebelsick, 1996	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265048		urn:lsid:marinespecies.org:taxname:265048	
731328	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Antygomonidae	Antygomonas		paulae	Sørensen, 2007	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=731328		urn:lsid:marinespecies.org:taxname:731328	
101099	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Centroderidae	Campyloderes		macquariae	Johnston, 1938	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101099		urn:lsid:marinespecies.org:taxname:101099	
265050	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Centroderidae	Campyloderes		vanhoeffeni	Zelinka, 1913	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-06-04 10:08:19	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265050		urn:lsid:marinespecies.org:taxname:265050	
265847	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Cateriidae	Cateria		gerlachi	Higgins, 1968	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265847		urn:lsid:marinespecies.org:taxname:265847	
265848	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Cateriidae	Cateria		styx	Gerlach, 1956	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=265848		urn:lsid:marinespecies.org:taxname:265848	
101100	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Centroderidae	Centroderes		eisigii	Zelinka, 1928	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-06-04 10:08:19	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101100		urn:lsid:marinespecies.org:taxname:101100	
101101	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Centroderidae	Centroderes		spinosus	(Reinhard, 1881)	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-31 13:22:29	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101101		urn:lsid:marinespecies.org:taxname:101101	
731248	Animalia	Cephalorhyncha	Kinorhyncha	Cyclorhagida		Echinoderidae	Cephalorhyncha		asiatica	(Adrianov, 1989)	accepted	Accepted name	0	marine		Neuhaus, Birger	2013-05-30 12:32:22	http://www.marinespecies.org/aphia.php?p=taxdetails&id=731248		urn:lsid:marinespecies.org:taxname:731248	
