AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
238267	Central Indo-Pacific	Text		
150514	North West Atlantic	Text		
150514	North East Atlantic	Text		
150514	North West Atlantic	Text		
150514	German Bight	Text	Alien	
150514	West North Atlantic	Text		
150514	Gulf of Maine	Text		
150514	Germany	Text	Alien	
150514	North Sea	Text	Alien	
150514	United States	Text	Alien	
150514	New Zealand	Text	Alien	
150514	Denmark	Text	Alien	
150514	North Sea	Text	Alien	
150514	Danish part of the Kattegat	Text	Alien	
238271	Central Indo-Pacific	Text		
238270	Central Indo-Pacific	Text		
