ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
238268	238267	Limulus		rotundicauda	Latreille, 1817				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:238268	
720763	150514	Limulus		albus	Bosc, 1802				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720763	
720765	150514	Limulus		americanus	Leach, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720765	
720761	150514	Limulus		cyclops	Fabricius, 1793				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720761	
720768	238271	Limulus		gigas	O.F. Müller, 1785				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720768	
720774	238270	Limulus		longispina	van der Hoeven, 1838				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720774	
720762	150514	Limulus		occidentalis	Lamarck, 1801				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720762	
720764	150514	Limulus		sowerbii	Leach, 1815				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720764	
720775	238270	Limulus		tridentatus	Leach, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720775	
720769	238271	Limulus		heterodactylus	Latreille, 1802				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720769	
720772	238271	Limulus		latreilli	Leach, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720772	
720773	238271	Limulus		macleaii	Leach, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720773	
720771	238271	Limulus		moluccanus	Latreille, 1802				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720771	
720770	238271	Limulus		viriscens	Latreille, 1806				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720770	
720767	238271	Tachypleus		heterodactylus	(Latreille, 1802)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720767	
720766	238271	Tachypleus		hoeveni	Pocock, 1902				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:720766	
