AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
119552	Azov sea	Text		
119645	Aberdeen	Text		
119681	Naples	Text		
119467	Trieste	Text		
119737	Banyuls	Text		
119648	Banyuls	Text		
119746	Banyuls	Text		
232239	Algiers Bay	Text		
119536	Algiers Bay	Text		
119536	Aegean Sea	Text		
119483	Aegean Sea	Text		
119482	Aegean Sea	Text		
119723	Aegean Sea	Text		
119746	Aegean Sea	Text		
119494	Aegean Sea	Text		
119491	Aegean Sea	Text		
119492	Aegean Sea	Text		
119487	Aegean Sea	Text		
119484	Aegean Sea	Text		
119485	Aegean Sea	Text		
119488	Aegean Sea	Text		
119490	Aegean Sea	Text		
119648	Aegean Sea	Text		
119636	Aegean Sea	Text		
119506	Aegean Sea	Text		
119629	Aegean Sea	Text		
119687	Aegean Sea	Text		
119755	Aegean Sea	Text		
119755	Aegean Sea	Text		
119755	Aegean Sea	Text		
518597	Great Barrier Reef	Text		
518598	Great Barrier Reef	Text		
518599	Great Barrier Reef	Text		
119409	European waters (ERMS scope)	Text		
119412	European waters (ERMS scope)	Text		
119413	European waters (ERMS scope)	Text		
119414	European waters (ERMS scope)	Text		
119403	European waters (ERMS scope)	Text		
119404	European waters (ERMS scope)	Text		
119405	European waters (ERMS scope)	Text		
119406	European waters (ERMS scope)	Text		
119401	European waters (ERMS scope)	Text		
119399	European waters (ERMS scope)	Text		
119745	European waters (ERMS scope)	Text		
119738	European waters (ERMS scope)	Text		
119739	European waters (ERMS scope)	Text		
119742	European waters (ERMS scope)	Text		
119743	European waters (ERMS scope)	Text		
119744	European waters (ERMS scope)	Text		
119636	European waters (ERMS scope)	Text		
119733	European waters (ERMS scope)	Text		
119734	European waters (ERMS scope)	Text		
119735	European waters (ERMS scope)	Text		
119468	European waters (ERMS scope)	Text		
119467	European waters (ERMS scope)	Text		
119469	European waters (ERMS scope)	Text		
119470	European waters (ERMS scope)	Text		
119466	European waters (ERMS scope)	Text		
119465	European waters (ERMS scope)	Text		
119647	European waters (ERMS scope)	Text		
119463	European waters (ERMS scope)	Text		
119464	European waters (ERMS scope)	Text		
119397	European waters (ERMS scope)	Text		
119398	European waters (ERMS scope)	Text		
119634	European waters (ERMS scope)	Text		
119396	European waters (ERMS scope)	Text		
119394	European waters (ERMS scope)	Text		
119395	European waters (ERMS scope)	Text		
119683	European waters (ERMS scope)	Text		
119648	European waters (ERMS scope)	Text		
119472	European waters (ERMS scope)	Text		
119473	European waters (ERMS scope)	Text		
119474	European waters (ERMS scope)	Text		
119475	European waters (ERMS scope)	Text		
119476	European waters (ERMS scope)	Text		
119477	European waters (ERMS scope)	Text		
119478	European waters (ERMS scope)	Text		
119604	European waters (ERMS scope)	Text		
119605	European waters (ERMS scope)	Text		
119606	European waters (ERMS scope)	Text		
119590	European waters (ERMS scope)	Text		
119650	European waters (ERMS scope)	Text		
119651	European waters (ERMS scope)	Text		
119600	European waters (ERMS scope)	Text		
119599	European waters (ERMS scope)	Text		
119598	European waters (ERMS scope)	Text		
119737	European waters (ERMS scope)	Text		
119402	European waters (ERMS scope)	Text		
119601	European waters (ERMS scope)	Text		
119602	European waters (ERMS scope)	Text		
119421	European waters (ERMS scope)	Text		
119422	European waters (ERMS scope)	Text		
119644	European waters (ERMS scope)	Text		
119419	European waters (ERMS scope)	Text		
119420	European waters (ERMS scope)	Text		
119645	European waters (ERMS scope)	Text		
119432	European waters (ERMS scope)	Text		
119664	European waters (ERMS scope)	Text		
119696	European waters (ERMS scope)	Text		
119697	European waters (ERMS scope)	Text		
119629	European waters (ERMS scope)	Text		
119691	European waters (ERMS scope)	Text		
119692	European waters (ERMS scope)	Text		
119693	European waters (ERMS scope)	Text		
119695	European waters (ERMS scope)	Text		
119665	European waters (ERMS scope)	Text		
119549	European waters (ERMS scope)	Text		
119684	European waters (ERMS scope)	Text		
119722	European waters (ERMS scope)	Text		
119685	European waters (ERMS scope)	Text		
119721	European waters (ERMS scope)	Text		
119674	European waters (ERMS scope)	Text		
119609	European waters (ERMS scope)	Text		
119677	European waters (ERMS scope)	Text		
119608	European waters (ERMS scope)	Text		
119688	European waters (ERMS scope)	Text		
119628	European waters (ERMS scope)	Text		
119428	European waters (ERMS scope)	Text		
119431	European waters (ERMS scope)	Text		
119591	European waters (ERMS scope)	Text		
119423	European waters (ERMS scope)	Text		
119424	European waters (ERMS scope)	Text		
119425	European waters (ERMS scope)	Text		
119426	European waters (ERMS scope)	Text		
119427	European waters (ERMS scope)	Text		
119591	European waters (ERMS scope)	Text		
119591	European waters (ERMS scope)	Text		
119591	European waters (ERMS scope)	Text		
119657	European waters (ERMS scope)	Text		
119656	European waters (ERMS scope)	Text		
119653	European waters (ERMS scope)	Text		
119652	European waters (ERMS scope)	Text		
119500	European waters (ERMS scope)	Text		
119501	European waters (ERMS scope)	Text		
119505	European waters (ERMS scope)	Text		
119506	European waters (ERMS scope)	Text		
119507	European waters (ERMS scope)	Text		
119509	European waters (ERMS scope)	Text		
119510	European waters (ERMS scope)	Text		
119511	European waters (ERMS scope)	Text		
119508	European waters (ERMS scope)	Text		
119512	European waters (ERMS scope)	Text		
119513	European waters (ERMS scope)	Text		
119514	European waters (ERMS scope)	Text		
119518	European waters (ERMS scope)	Text		
119519	European waters (ERMS scope)	Text		
119520	European waters (ERMS scope)	Text		
119516	European waters (ERMS scope)	Text		
119517	European waters (ERMS scope)	Text		
119521	European waters (ERMS scope)	Text		
119522	European waters (ERMS scope)	Text		
119660	European waters (ERMS scope)	Text		
119658	European waters (ERMS scope)	Text		
119659	European waters (ERMS scope)	Text		
119655	European waters (ERMS scope)	Text		
119661	European waters (ERMS scope)	Text		
119407	European waters (ERMS scope)	Text		
119607	European waters (ERMS scope)	Text		
119662	European waters (ERMS scope)	Text		
119663	European waters (ERMS scope)	Text		
119673	European waters (ERMS scope)	Text		
119490	European waters (ERMS scope)	Text		
119489	European waters (ERMS scope)	Text		
119486	European waters (ERMS scope)	Text		
119485	European waters (ERMS scope)	Text		
119488	European waters (ERMS scope)	Text		
119487	European waters (ERMS scope)	Text		
119493	European waters (ERMS scope)	Text		
119492	European waters (ERMS scope)	Text		
119491	European waters (ERMS scope)	Text		
119494	European waters (ERMS scope)	Text		
119495	European waters (ERMS scope)	Text		
119594	European waters (ERMS scope)	Text		
119619	European waters (ERMS scope)	Text		
119746	European waters (ERMS scope)	Text		
119595	European waters (ERMS scope)	Text		
119747	European waters (ERMS scope)	Text		
119728	European waters (ERMS scope)	Text		
119433	European waters (ERMS scope)	Text		
119434	European waters (ERMS scope)	Text		
119435	European waters (ERMS scope)	Text		
119618	European waters (ERMS scope)	Text		
119725	European waters (ERMS scope)	Text		
119726	European waters (ERMS scope)	Text		
119588	European waters (ERMS scope)	Text		
119496	European waters (ERMS scope)	Text		
119666	European waters (ERMS scope)	Text		
119667	European waters (ERMS scope)	Text		
119668	European waters (ERMS scope)	Text		
119669	European waters (ERMS scope)	Text		
119670	European waters (ERMS scope)	Text		
119724	European waters (ERMS scope)	Text		
119524	European waters (ERMS scope)	Text		
119408	European waters (ERMS scope)	Text		
119723	European waters (ERMS scope)	Text		
119702	European waters (ERMS scope)	Text		
119718	European waters (ERMS scope)	Text		
119701	European waters (ERMS scope)	Text		
119530	European waters (ERMS scope)	Text		
119525	European waters (ERMS scope)	Text		
119526	European waters (ERMS scope)	Text		
119527	European waters (ERMS scope)	Text		
119528	European waters (ERMS scope)	Text		
119533	European waters (ERMS scope)	Text		
119534	European waters (ERMS scope)	Text		
119535	European waters (ERMS scope)	Text		
119536	European waters (ERMS scope)	Text		
119532	European waters (ERMS scope)	Text		
119531	European waters (ERMS scope)	Text		
119483	European waters (ERMS scope)	Text		
119484	European waters (ERMS scope)	Text		
119482	European waters (ERMS scope)	Text		
119592	European waters (ERMS scope)	Text		
119593	European waters (ERMS scope)	Text		
119529	European waters (ERMS scope)	Text		
119537	European waters (ERMS scope)	Text		
119538	European waters (ERMS scope)	Text		
119539	European waters (ERMS scope)	Text		
119540	European waters (ERMS scope)	Text		
119542	European waters (ERMS scope)	Text		
119543	European waters (ERMS scope)	Text		
119544	European waters (ERMS scope)	Text		
119550	European waters (ERMS scope)	Text		
119552	European waters (ERMS scope)	Text		
119553	European waters (ERMS scope)	Text		
119551	European waters (ERMS scope)	Text		
119555	European waters (ERMS scope)	Text		
119558	European waters (ERMS scope)	Text		
119560	European waters (ERMS scope)	Text		
119561	European waters (ERMS scope)	Text		
119559	European waters (ERMS scope)	Text		
119556	European waters (ERMS scope)	Text		
119557	European waters (ERMS scope)	Text		
119571	European waters (ERMS scope)	Text		
119566	European waters (ERMS scope)	Text		
119567	European waters (ERMS scope)	Text		
119568	European waters (ERMS scope)	Text		
119569	European waters (ERMS scope)	Text		
119570	European waters (ERMS scope)	Text		
119565	European waters (ERMS scope)	Text		
119563	European waters (ERMS scope)	Text		
119564	European waters (ERMS scope)	Text		
119562	European waters (ERMS scope)	Text		
119573	European waters (ERMS scope)	Text		
119572	European waters (ERMS scope)	Text		
