ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
849734	849733	Diplectanum		megacirrus	(Maillard & Vala, 1980) Oliver, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:849734	
518362	849729	Diplectanum (incertae sedis)		polynemus	Tripathi, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518362	
849732	849730	Diplectanum		spinosum	(Maillard & Vala, 1980) Oliver, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:849732	
718514	119735	Prostatomicrocotyla		spari	(Yamaguti, 1937) Yamaguti, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718514	
119415	518610	Caballerocotyla		abidjani	Bussieras & Baudin-Laurencin, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:119415	
718333	518609	Caballerocotyla		albsmithi	Dollfus, 1962				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718333	
718334	518622	Caballerocotyla		andhraensis	(Raju & Rao, 1980)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718334	
518736	518614	Caballerocotyla		australis	Oliva, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518736	
718335	717793	Caballerocotyla		auxis	Yang, Hu & Ding, 2012				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718335	
718336	518610	Caballerocotyla		biparasitica	(Goto, 1894)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718336	
718337	518611	Caballerocotyla		caballeroi	(Winter, 1955) Price, 1960				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718337	
518737	518622	Caballerocotyla		chilensis	Pillai & Pillai, 1976				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518737	
718338	518612	Caballerocotyla		foliacea	(Goto, 1894)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718338	
518738	518619	Caballerocotyla		gotoi	(Yamaguti, 1968)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518738	
718339	518613	Caballerocotyla		gouri	(Chauhan, 1952) Price, 1960				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718339	
718340	518614	Caballerocotyla		gregalis	Wagner & Carter, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718340	
718341	518616	Caballerocotyla		katsuwoni	(Ishii, 1936)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718341	
387903	518619	Caballerocotyla		lenti	Mogrovejo & Santos, 2002				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:387903	
389849	518616	Caballerocotyla		llewelyni	Kohn & Justo, 2006				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:389849	
718343	518619	Caballerocotyla		magronum	(Ishii, 1936)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718343	
718344	518620	Caballerocotyla		manteri	(Price, 1951)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718344	
518741	518621	Caballerocotyla		manteri		affinis	Subspecies	Mamaev, 1968	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518741	
718345	717798	Caballerocotyla		marielenae	Lamothe-Argumedo, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718345	
718346	717795	Caballerocotyla		megacotyle	(von Linstow, 1906)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718346	
518739	518610	Caballerocotyla		neothunni	(Yamaguti, 1968)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518739	
518742	518622	Caballerocotyla		notosinense	Mamaev, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518742	
518740	518625	Caballerocotyla		paucispinosa	Mamaev, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518740	
119416	119420	Caballerocotyla		pelamydis	(Taschenberg, 1878)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:119416	
718348	717796	Caballerocotyla		philippina	Velasquez, 1982				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718348	
718429	518305	Heteroplectanum		diplobulbus	(Yamaguti, 1968)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718429	
396458	518306	Heteroplectanum		flabelliforme	Lim, 2006				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396458	
518714	518307	Acleotrema		gibsoni	Young, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518714	
518715	518307	Acleotrema		heronensis	Young, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518715	
518716	518307	Acleotrema		kyphosi	Yamaguti, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518716	
718419	518307	Diplectanum		girellae	(Johnston & Tiegs, 1922)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718419	
518722	518307	Heteroplectanum		kyphosi	(Yamaguti, 1968) Oliver, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518722	
518723	518308	Heteroplectanum		nenue	(Yamaguti, 1968) Rakorofiringa, Oliver & Lambert, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518723	
718430	518309	Heteroplectanum		nenuoides	Rakotofiringa, Oliver & Lambert, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718430	
518724	518310	Heteroplectanum		oliveri	Leon-Regagnon, Pérez-Ponce de León & Garcia-Prieto, 1997				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:518724	
718431	518311	Heteroplectanum		parastromatei	Rakotofiringa, Oliver & Lambert, 1987				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:718431	
