AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
519080	Animalia	Platyhelminthes	Rhabditophora	Mazocraeidea		Diclidophoridae	Absonifibula		bychowskyi	Lawler & Overstreet, 1976	accepted	Accepted name	0	marine		Gibson, David	2011-03-02 11:34:42	http://www.marinespecies.org/aphia.php?p=taxdetails&id=519080		urn:lsid:marinespecies.org:taxname:519080	
717842	Animalia	Platyhelminthes	Rhabditophora	Mazocraeidea		Diclidophoridae	Absonifibula		estuarina	Santos & Timi, 2009	accepted	Accepted name	0	brackish		Gibson, David	2013-02-05 08:59:18	http://www.marinespecies.org/aphia.php?p=taxdetails&id=717842		urn:lsid:marinespecies.org:taxname:717842	
849728	Animalia	Platyhelminthes	Rhabditophora	Dactylogyridea		Diplectanidae	Acanthocercodes		bullardi	Kritsky & Diggles, 2015	accepted	Accepted name	0	marine		Gibson, David	2015-06-14 10:51:45	http://www.marinespecies.org/aphia.php?p=taxdetails&id=849728		urn:lsid:marinespecies.org:taxname:849728	
849733	Animalia	Platyhelminthes	Rhabditophora	Dactylogyridea		Diplectanidae	Acanthocercodes		megacirrus	(Maillard & Vala, 1980) Kritsky & Diggles, 2015	accepted	Accepted name	0	marine		Gibson, David	2015-06-14 10:51:45	http://www.marinespecies.org/aphia.php?p=taxdetails&id=849733		urn:lsid:marinespecies.org:taxname:849733	
849729	Animalia	Platyhelminthes	Rhabditophora	Dactylogyridea		Diplectanidae	Acanthocercodes		polynemus	(Tripathi, 1957) Kritsky & Diggles, 2015	accepted	Accepted name	0	marine, brackish		Gibson, David	2015-06-14 10:51:45	http://www.marinespecies.org/aphia.php?p=taxdetails&id=849729		urn:lsid:marinespecies.org:taxname:849729	
849730	Animalia	Platyhelminthes	Rhabditophora	Dactylogyridea		Diplectanidae	Acanthocercodes		spinosus	(Maillard & Vala, 1980) Kritsky & Diggles, 2015	accepted	Accepted name	0	marine		Gibson, David	2015-06-15 14:48:54	http://www.marinespecies.org/aphia.php?p=taxdetails&id=849730		urn:lsid:marinespecies.org:taxname:849730	
119394	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		borealis	Brinkmann, 1940	accepted	Accepted name	0	marine		Bray, Rod	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119394		urn:lsid:marinespecies.org:taxname:119394	
717876	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		brachyuropsi	Kuznetsova, 1971	accepted	Accepted name	0	marine		Gibson, David	2013-02-05 08:59:18	http://www.marinespecies.org/aphia.php?p=taxdetails&id=717876		urn:lsid:marinespecies.org:taxname:717876	
119395	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		elegans	Monticelli, 1890	accepted	Accepted name	0	marine		Bray, Rod	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119395		urn:lsid:marinespecies.org:taxname:119395	
196393	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		greeni	Macdonald & Llewellyn, 1980	accepted	Accepted name	0	marine		Harris, Philip	2006-02-05 21:07:40	http://www.marinespecies.org/aphia.php?p=taxdetails&id=196393		urn:lsid:marinespecies.org:taxname:196393	
119396	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		lobianchi	Monticelli, 1888	accepted	Accepted name	0	marine		Bray, Rod	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119396		urn:lsid:marinespecies.org:taxname:119396	
119397	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		monticellii	Scott, 1902	accepted	Accepted name	0	marine		Bray, Rod	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119397		urn:lsid:marinespecies.org:taxname:119397	
119398	Animalia	Platyhelminthes	Rhabditophora	Gyrodactylidea		Acanthocotylidae	Acanthocotyle		oligoterus	(Monticelli, 1899)	accepted	Accepted name	0	marine		Bray, Rod	2004-12-21 16:54:05	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119398		urn:lsid:marinespecies.org:taxname:119398	
