ReferenceID	Authors	Year	Title	Details	
42			ITIS database		
1348	Bray, R.A.	2001	Monogenea, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
1684	Huyse, T.; Malmberg, G.	2004	Molecular and morphological comparisons between <i>Gyrodactylus ostendicus</i> n. sp. (Monogenea: Gyrodactylidae) on <i>Pomatoschistus microps</i> (Kroyer) and <i>G. harengi</i> Malmberg, 1957 on <i>Clupea harengus membras</i> L.. <i>Syst. Parasitol. 58</i>: 105-113		
2930	Brunel, P.; Bosse, L.; Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence		
2976	Hendrix, S.S.	1994	Marine Flora and Fauna of the Eastern United States. Platyhelminthes: Monogenea.		
2999	Linkletter, L. E.	1977	A checklist of marine fauna and flora of the Bay of Fundy		
3006	Margolis, L. and Z. Kabata (eds.).	1984	Guide to the parasites of fishes of Canada. Part 1. Canadian Special Publication of Fisheries and Aquatic Sciences 74. 209 p.		
3009	Margolis and Zabata,	1984	Margolis and Zabata, 1984		
6855	Whittington, I. D.; Barton, D. P.	1990	A new genus of monogenean  parasites (Capsalidae: Benedeniinae) from stingrays  Rajiformes: Dasyatidae) with a description of a new species  from the long-tailed stingray Himantura uarnak Forsskål from  Queensland, Australia		
6857	Longshaw, M.; Pursglove, M.; Shinn, A. P.	2003	Gyrodactylus quadratidigitus n. sp. (Monogenea: Gyrodactylidae), a parasite of the leopard-spotted goby Thorogobius ephippiatus (Lowe) from the south-western coast of the UK		
6858	Mo, T. A.; Lile N K n sp; microanchoratus, G.	1998	Gyrodactylus anarhichatis sp.(Monogenea: Gyrodactylidae) from the Atlantic wolf-fish Anarhichas lupus (Anarhichadidae) off the coast of Norway		
6859	de Beauchamp, P.M.	1912	Isancistrum loliginis n. g., n. sp., trematode parasite du calmar et l'existance de Solenocotyle chiajei Diesing.  Bulletin de la Societe Zoologique Francaise 37, 96-99.		
6860	Bychowsky, B.E	1947	Concerning a new genus of viviparous trematode		
6861	Rogers, W. A.	1967	Polyclithrum mugilini gen. et sp. n. (Gyrodactylidae,Polyclithrinae subfam.n.)from Mugil cephalus L		
6862	Llewellyn, J.	1984	The biology of <i>Isancistrum subulatae</i> n. sp. , a monogenean parasite on the squid <i>Alloteuthis subulata</i> at Plymouth		
6863	Sproston, N. G.	1946	A synopsis of the monogenetic trematodes.  <i>Transactions of the Zoological		
6864	Srivastrava, L. P.; James, B. L.	1967	The morphology and occurrence of <i>Gyrodactylus medius</i> Kathariner, 1894 from <i>Onos mustela</i		
6865	Huyse, T.; Malmberg, G.; Volckaert, F. A. M.	2004	Four new species of <i>Gyrodactylus</i> von Nordmann, 1832 (Monogenea,Gyrodactylidae) on gobiid fishes: combined DNA and morphological analyses. 		
6866	Euzet, L. & Suriano, M.D.	1977	<i>Ligophorus</i> n. g. (Monogenea, Ancyrocephalidae) parasite de Mugilidae (Teleosteens) en Mediterranee		
6867	Mariniello, L., Ortis, M., D'Amelio, S. & Petrarca, V.	2004	Morphometric variation between species of <i>Ligophorus</i> Euzet & Suriano, 1977 (Monogenea: Ancyrocephalidae) in the Mediterranean Sea.  <i> Systematic Parasitology</i> <b>57</b> 183-190.		
6868	Euzet, L. & Sanfilippo, D.	1983	<i>Ligophorus parvicirrus</i> n. sp.  (Monogenea, Ancyrocephalidae), parasite of <i>Liza ramada</i> (Risso, 1826) (Teleostei, Mugilidae).  <i>Annales de Parasitologie Humaine et Comparee</i> <b>58</b>. 325-335.		
6869	Amine, F.; Euzet, L.	2005	Deux especes nouvelles du genre Lamellodiscus Johnston & Tiegs, (Monogenea: Diplectanidae) parasites de Sparidae (Teleostei) des cotes de l'Algerie		
6871	Ragias, V.; Athanassopoulou, F.; Sinis, A.	2005	Parasites of Mugilidae spp. reared under semi-intensive and intensive conditions in Greece		
6872	Kearn, G. C.; Whittington, I. D.	2005	gen. nov. for species of Entobdella Blainville in Lamarck, 1818 (Monogenea, Capsalidae, Entobdellinae) from stingray hosts, with descriptions of two new species		
6873	Rahimian, H.; Longshaw, M.; Mackenzie, K.; Thulin, J.; Prost	1999	Pseudanthocotyloides heterocotyle (van Beneden, 1871) Euzet a parasite of herring Clupea harengus L. and sprat Sprattus sprattus L		
6874	Neifar, L.; Euzet, L.; Ben, H.; Scott, O. K.	1998	Nouveaux Monocotylidae (Monogenea), parasites branchiaux de Dasyatis pastinaca (L.) (Euselachii, Dasyatidae).  Complements a la description de Heterocotyle pastinacae		
6875	Neifar, L., Euzet, L. & ben Hassine, O.K.	1999	Myliocotyle pteromylaei gen et sp. n. (Monogenea, Monocotylidae), gill parasite of Pteromylaeus bovinus (Euselachii, Myliobatidae) from Tunisia		
