AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
408698	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Ctenocheilocaris		armata	Renaud-Mornant, 1978-79	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408698		urn:lsid:marinespecies.org:taxname:408698	
382768	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Ctenocheilocaris		claudiae	Renaud-Mornant, 1976	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-02-20 11:10:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=382768		urn:lsid:marinespecies.org:taxname:382768	
382769	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Ctenocheilocaris		enochra	Bartsch, 1993	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-02-20 11:10:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=382769		urn:lsid:marinespecies.org:taxname:382769	
408558	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		angolensis	Hessler, 1972	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-08 11:43:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408558		urn:lsid:marinespecies.org:taxname:408558	
408559	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Ctenocheilocaris		galvarini	(Dahl, 1952)	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-08 11:43:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408559		urn:lsid:marinespecies.org:taxname:408559	
408699	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Ctenocheilocaris		minor	Renaud-Mornant, 1978-79	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408699		urn:lsid:marinespecies.org:taxname:408699	
120236	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		remanei	Delamare-Deboutteville & Chappuis, 1951	accepted	Accepted name	0	marine		Boxshall, Geoff	2008-09-05 16:57:38	http://www.marinespecies.org/aphia.php?p=taxdetails&id=120236		urn:lsid:marinespecies.org:taxname:120236	
120237	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		tehiyae	Masry & Por, 1970	accepted	Accepted name	0	marine		Boxshall, Geoff	2008-09-05 16:57:38	http://www.marinespecies.org/aphia.php?p=taxdetails&id=120237		urn:lsid:marinespecies.org:taxname:120237	
408691	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		delamarei	Hessler, 1972	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408691		urn:lsid:marinespecies.org:taxname:408691	
408692	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		hessleri	Friauf & Bennett, 1974	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408692		urn:lsid:marinespecies.org:taxname:408692	
408693	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		ingens	Hessler, 1969	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408693		urn:lsid:marinespecies.org:taxname:408693	
408694	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		katesae	Noodt, 1954	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408694		urn:lsid:marinespecies.org:taxname:408694	
408697	Animalia	Arthropoda	Maxillopoda	Mystacocaridida		Derocheilocarididae	Derocheilocaris		typica	Pennak & Zinn, 1943	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-07-09 15:34:24	http://www.marinespecies.org/aphia.php?p=taxdetails&id=408697		urn:lsid:marinespecies.org:taxname:408697	
