ID	ReferenceType	ReferenceID	
120305	TaxAccRef	1376	
120322	TaxAccRef	1376	
120339	TaxAccRef	1376	
120356	TaxAccRef	1376	
120390	TaxAccRef	1376	
120407	TaxAccRef	1376	
120424	TaxAccRef	1376	
120441	TaxAccRef	1376	
120458	TaxAccRef	1376	
120475	TaxAccRef	1376	
120492	TaxAccRef	1376	
120505	TaxAccRef	1376	
120509	TaxAccRef	1376	
120522	TaxAccRef	1376	
120308	TaxAccRef	1376	
120323	TaxAccRef	1376	
120325	TaxAccRef	1376	
120338	TaxAccRef	1376	
120389	TaxAccRef	1376	
120408	TaxAccRef	1376	
120423	TaxAccRef	1376	
120425	TaxAccRef	1376	
120438	TaxAccRef	1376	
120472	TaxAccRef	1376	
120474	TaxAccRef	1376	
120489	TaxAccRef	1376	
120508	TaxAccRef	1376	
120523	TaxAccRef	1376	
120525	TaxAccRef	1376	
120296	TaxAccRef	1376	
120297	TaxAccRef	1376	
120300	TaxAccRef	1376	
120314	TaxAccRef	1376	
120347	TaxAccRef	1376	
120364	TaxAccRef	1376	
120382	TaxAccRef	1376	
120415	TaxAccRef	1376	
120432	TaxAccRef	1376	
120433	TaxAccRef	1376	
120450	TaxAccRef	1376	
120483	TaxAccRef	1376	
120497	TaxAccRef	1376	
120500	TaxAccRef	1376	
120514	TaxAccRef	1376	
120316	TaxAccRef	1376	
120330	TaxAccRef	1376	
120331	TaxAccRef	1376	
120380	TaxAccRef	1376	
120381	TaxAccRef	1376	
120416	TaxAccRef	1376	
120417	TaxAccRef	1376	
120430	TaxAccRef	1376	
120431	TaxAccRef	1376	
120466	TaxAccRef	1376	
120467	TaxAccRef	1376	
120480	TaxAccRef	1376	
120481	TaxAccRef	1376	
120516	TaxAccRef	1376	
120517	TaxAccRef	1376	
120530	TaxAccRef	1376	
120307	TaxAccRef	1376	
120324	TaxAccRef	1376	
120341	TaxAccRef	1376	
120358	TaxAccRef	1376	
120388	TaxAccRef	1376	
120392	TaxAccRef	1376	
120405	TaxAccRef	1376	
120422	TaxAccRef	1376	
120439	TaxAccRef	1376	
120456	TaxAccRef	1376	
120473	TaxAccRef	1376	
120490	TaxAccRef	1376	
120507	TaxAccRef	1376	
120524	TaxAccRef	1376	
388447	TaxAccRef	129661	
120304	TaxAccRef	1376	
120318	TaxAccRef	1376	
120343	TaxAccRef	1376	
120361	TaxAccRef	1376	
120386	TaxAccRef	1376	
120411	TaxAccRef	1376	
120429	TaxAccRef	1376	
120436	TaxAccRef	1376	
120454	TaxAccRef	1376	
120479	TaxAccRef	1376	
120493	TaxAccRef	1376	
120504	TaxAccRef	1376	
120518	TaxAccRef	1376	
465031	TaxAccRef	199031	
120294	TaxAccRef	1376	
120303	TaxAccRef	1376	
120328	TaxAccRef	1376	
120337	TaxAccRef	1376	
120371	TaxAccRef	1376	
120396	TaxAccRef	1376	
120401	TaxAccRef	1376	
120426	TaxAccRef	1376	
120435	TaxAccRef	1376	
120460	TaxAccRef	1376	
120469	TaxAccRef	1376	
120494	TaxAccRef	1376	
120503	TaxAccRef	1376	
120528	TaxAccRef	1376	
120306	TaxAccRef	1376	
120340	TaxAccRef	1376	
120355	TaxAccRef	1376	
120357	TaxAccRef	1376	
120391	TaxAccRef	1376	
120406	TaxAccRef	1376	
120440	TaxAccRef	1376	
120457	TaxAccRef	1376	
120491	TaxAccRef	1376	
120506	TaxAccRef	1376	
120315	TaxAccRef	1376	
120332	TaxAccRef	1376	
120333	TaxAccRef	1376	
120350	TaxAccRef	1376	
120383	TaxAccRef	1376	
120397	TaxAccRef	1376	
120400	TaxAccRef	1376	
120414	TaxAccRef	1376	
120447	TaxAccRef	1376	
120464	TaxAccRef	1376	
120465	TaxAccRef	1376	
120482	TaxAccRef	1376	
120515	TaxAccRef	1376	
120301	TaxAccRef	1376	
120326	TaxAccRef	1376	
120394	TaxAccRef	1376	
120403	TaxAccRef	1376	
120428	TaxAccRef	1376	
120437	TaxAccRef	1376	
120462	TaxAccRef	1376	
120471	TaxAccRef	1376	
120496	TaxAccRef	1376	
120501	TaxAccRef	1376	
120526	TaxAccRef	1376	
388447	TaxAccRef	127204	
389885	TaxAccRef	127204	
389885	TaxAccRef	128171	
120311	TaxAccRef	1376	
120329	TaxAccRef	1376	
120336	TaxAccRef	1376	
120354	TaxAccRef	1376	
120379	TaxAccRef	1376	
120393	TaxAccRef	1376	
120418	TaxAccRef	1376	
120443	TaxAccRef	1376	
120461	TaxAccRef	1376	
120468	TaxAccRef	1376	
120486	TaxAccRef	1376	
120511	TaxAccRef	1376	
120529	TaxAccRef	1376	
465026	TaxAccRef	175124	
120320	TaxAccRef	1376	
120321	TaxAccRef	167091	
120327	TaxAccRef	1376	
120334	TaxAccRef	1376	
120384	TaxAccRef	1376	
120420	TaxAccRef	1376	
120427	TaxAccRef	1376	
120434	TaxAccRef	1376	
120463	TaxAccRef	1376	
120470	TaxAccRef	1376	
120477	TaxAccRef	1376	
120484	TaxAccRef	1376	
120513	TaxAccRef	1376	
120520	TaxAccRef	1376	
120527	TaxAccRef	1376	
120295	TaxAccRef	1376	
