AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
156329	Animalia	Nemertea	Enopla	Monostilifera		Cratenemertidae	Achoronemertes		scoresbyi	(Wheeler, 1934)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156329		urn:lsid:marinespecies.org:taxname:156329	
162324	Animalia	Nemertea	Enopla	Monostilifera		Acteonemertidae	Acteonemertes		bathamae	Pantin, 1961	accepted	Accepted name	0	terrestrial		Gibson, Raymond	2005-07-01 11:15:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162324		urn:lsid:marinespecies.org:taxname:162324	
147268	Animalia	Nemertea	Anopla			Lineidae	Adenorhagas		aurantiafrons	Riser, 1990	accepted	Accepted name	0	marine		Gibson, Raymond	2005-03-04 10:11:57	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147268		urn:lsid:marinespecies.org:taxname:147268	
162333	Animalia	Nemertea	Enopla	Monostilifera		Tetrastemmatidae	Africanemertes		ruetzleri	Kirsteuer, 1965	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-01 11:15:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162333		urn:lsid:marinespecies.org:taxname:162333	
148173	Animalia	Nemertea	Enopla	Monostilifera		Tetrastemmatidae	Africanemertes		swakopmundi	Stiasny-Wijnhoff, 1942	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148173		urn:lsid:marinespecies.org:taxname:148173	
162460	Animalia	Nemertea	Enopla	Polystilifera		Dinonemertidae	Alexandronemertes		ductor	Chernyshev, 1992	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-01 11:15:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162460		urn:lsid:marinespecies.org:taxname:162460	
162461	Animalia	Nemertea	Enopla	Polystilifera		Dinonemertidae	Alexandronemertes		mollis	(Coe, 1926)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-01 11:15:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162461		urn:lsid:marinespecies.org:taxname:162461	
148175	Animalia	Nemertea	Enopla	Monostilifera		Tetrastemmatidae	Algonemertes		alba	Corrêa, 1954	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148175		urn:lsid:marinespecies.org:taxname:148175	
148177	Animalia	Nemertea	Enopla	Monostilifera		Tetrastemmatidae	Ammonemertes		erseusi	Gibson, 1990	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148177		urn:lsid:marinespecies.org:taxname:148177	
162336	Animalia	Nemertea	Enopla	Monostilifera		Tetrastemmatidae	Amphinemertes		caeca	(Coe, 1901)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-01 11:15:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162336		urn:lsid:marinespecies.org:taxname:162336	
156285	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		albicans	Ehrenberg, 1831	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156285		urn:lsid:marinespecies.org:taxname:156285	
147972	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		antifuscus	Iwata, 1954	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147972		urn:lsid:marinespecies.org:taxname:147972	
156286	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		beringianus	(Stimpson, 1857)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156286		urn:lsid:marinespecies.org:taxname:156286	
147973	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		bicoloreus	Korotkevich, 1977	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147973		urn:lsid:marinespecies.org:taxname:147973	
147974	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		binarius	Korotkevich, 1978	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147974		urn:lsid:marinespecies.org:taxname:147974	
147975	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		brunneus	Griffin, 1898	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147975		urn:lsid:marinespecies.org:taxname:147975	
156287	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		buergeri	Isler, 1900	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156287		urn:lsid:marinespecies.org:taxname:156287	
156288	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		caecus	Verrill, 1892	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156288		urn:lsid:marinespecies.org:taxname:156288	
147976	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		californicus	Coe, 1905	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147976		urn:lsid:marinespecies.org:taxname:147976	
156289	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		cervicalis	(Stimpson, 1857)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156289		urn:lsid:marinespecies.org:taxname:156289	
147977	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		cruciatus	Bürger, 1893	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147977		urn:lsid:marinespecies.org:taxname:147977	
156290	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		cruentatus	Verrill, 1879	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156290		urn:lsid:marinespecies.org:taxname:156290	
147978	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		delta	Joubin, 1902	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147978		urn:lsid:marinespecies.org:taxname:147978	
156291	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		depressus	(Stimpson, 1857)	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156291		urn:lsid:marinespecies.org:taxname:156291	
147979	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		dorsolineatus	Korotkevich, 1977	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147979		urn:lsid:marinespecies.org:taxname:147979	
148607	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		elongatus	Stephenson, 1911	accepted	Accepted name	0	marine		Norenburg, Jon	2011-05-26 18:45:15	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148607		urn:lsid:marinespecies.org:taxname:148607	
147980	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		exilis	Coe, 1901	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147980		urn:lsid:marinespecies.org:taxname:147980	
147981	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		flavescens	Coe, 1905	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147981		urn:lsid:marinespecies.org:taxname:147981	
147982	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		folcatus	Korotkevich, 1977	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147982		urn:lsid:marinespecies.org:taxname:147982	
147983	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		formidabilis	Griffin, 1898	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147983		urn:lsid:marinespecies.org:taxname:147983	
147984	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		frontalis	Verrill, 1892	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147984		urn:lsid:marinespecies.org:taxname:147984	
147985	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		fulvus	Coe, 1905	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147985		urn:lsid:marinespecies.org:taxname:147985	
147986	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		fuscosparus	Korotkevich, 1977	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147986		urn:lsid:marinespecies.org:taxname:147986	
147987	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		gelatinosus	Coe, 1905	accepted	Accepted name	0	marine		Gibson, Raymond	2005-07-18 09:07:26	http://www.marinespecies.org/aphia.php?p=taxdetails&id=147987		urn:lsid:marinespecies.org:taxname:147987	
156292	Animalia	Nemertea	Enopla	Monostilifera		Amphiporidae	Amphiporus		gerlachei	Bürger, 1904	accepted	Accepted name	0	marine		Gibson, Raymond	2005-05-11 11:52:51	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156292		urn:lsid:marinespecies.org:taxname:156292	
