ID	ReferenceType	ReferenceID	
122641	ComNameRef	2901	
122536	ComNameRef	685	
122791	ComNameRef	147412	
122704	ComNameRef	147411	
155868	ComNameRef	2901	
159501	ComNameRef	2901	
122626	ComNameRef	165516	
122560	ComNameRef	165516	
159507	ComNameRef	2901	
122528	ComNameRef	147411	
122536	ComNameRef	147411	
122555	ComNameRef	147411	
122666	ComNameRef	147411	
122817	ComNameRef	147411	
147322	ComNameRef	2901	
155881	ComNameRef	2901	
122511	ComNameRef	147411	
122511	ComNameRef	147411	
122626	ComNameRef	147412	
122739	ComNameRef	165516	
122478	ComNameRef	147411	
122528	ComNameRef	147412	
122543	ComNameRef	147412	
122549	ComNameRef	165516	
122555	ComNameRef	165516	
159505	ComNameRef	2901	
122641	ComNameRef	147411	
122528	ComNameRef	147411	
122626	ComNameRef	147411	
122528	ComNameRef	147411	
122645	ComNameRef	2901	
122511	ComNameRef	147411	
122626	ComNameRef	147411	
122701	ComNameRef	2901	
122739	ComNameRef	147411	
122626	ComNameRef	151643	
147117	ComNameRef	2901	
155839	ComNameRef	2901	
122450	TaxAccRef	2811	
122457	TaxAccRef	2811	
122464	TaxAccRef	2811	
122469	TaxAccRef	1363	
122476	TaxAccRef	1363	
122483	TaxAccRef	1363	
122500	TaxAccRef	2811	
122507	TaxAccRef	2811	
122508	TaxAccRef	1	
122508	TaxAccRef	163795	
122514	TaxAccRef	2811	
122526	TaxAccRef	1363	
122533	TaxAccRef	1363	
122536	TaxAccRef	9269	
122543	TaxAccRef	9269	
122549	TaxAccRef	165516	
122550	TaxAccRef	2811	
122557	TaxAccRef	2811	
122564	TaxAccRef	2811	
122569	TaxAccRef	1363	
122576	TaxAccRef	1363	
122583	TaxAccRef	1363	
122602	NomRef	1	
122607	TaxAccRef	2811	
122610	TaxAccRef	150554	
122614	TaxAccRef	2811	
122619	TaxAccRef	1363	
122624	NomRef	2811	
122626	TaxAccRef	1363	
122627	NomRef	1363	
122631	NomRef	2811	
