AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
224099	212087	aberrans	Verseveldt, 1971	Subspecies	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=224099		urn:lsid:marinespecies.org:taxname:224099	
422751	286019	delta	Bayer, 1993	Subspecies	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=422751		urn:lsid:marinespecies.org:taxname:422751	
409546	286486	grandis	Kükenthal & gorzawsky, 1908	Subspecies	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409546		urn:lsid:marinespecies.org:taxname:409546	
409545	125405	var. grimaldii	(Studer, 1890)	Variety	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409545		urn:lsid:marinespecies.org:taxname:409545	
409568	287653	f. A	Versluys, 1906	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409568		urn:lsid:marinespecies.org:taxname:409568	
409569	287653	f. C	Versluys, 1906	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409569		urn:lsid:marinespecies.org:taxname:409569	
410062	146765	f. flavescens	(Danielssen, 1887)	Forma	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=410062		urn:lsid:marinespecies.org:taxname:410062	
422752	125372	mexicana	Bayer & Stefani, 1987	Subspecies	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=422752		urn:lsid:marinespecies.org:taxname:422752	
712099	283263	f. atra	Verrill, 1901	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2012-12-17 13:43:18	http://www.marinespecies.org/aphia.php?p=taxdetails&id=712099		urn:lsid:marinespecies.org:taxname:712099	
409526	289965	f. intermediate_form	Bayer, 1998	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409526		urn:lsid:marinespecies.org:taxname:409526	
409539	287666	var. boninensis	Aurivillius, 1931	Variety	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409539		urn:lsid:marinespecies.org:taxname:409539	
409535	177840	f. obtusa	Cairns & Bayer, 2004	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409535		urn:lsid:marinespecies.org:taxname:409535	
409534	177840	f. robusta	Deichmann, 1936	Forma	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409534		urn:lsid:marinespecies.org:taxname:409534	
409538	287676	brevispina	Kükenthal, 1919	Subspecies	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409538		urn:lsid:marinespecies.org:taxname:409538	
409549	286539	var. willeyi	(Hickson, 1915)	Variety	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409549		urn:lsid:marinespecies.org:taxname:409549	
422750	125342	var. musiva	Studer, 1878	Variety	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=422750		urn:lsid:marinespecies.org:taxname:422750	
422749	125342	var. rugosa	(Pourtalès, 1867)	Variety	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=422749		urn:lsid:marinespecies.org:taxname:422749	
409504	125413	f. plumatilis	Aurivillius, 1931	Forma	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409504		urn:lsid:marinespecies.org:taxname:409504	
409502	286574	var. brevispinosa	Wright & Studer, 1889	Variety	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409502		urn:lsid:marinespecies.org:taxname:409502	
409503	286574	var. gracilis	Wright & Studer, 1889	Variety	accepted	Accepted name	0			van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409503		urn:lsid:marinespecies.org:taxname:409503	
409536	289319	squamosa	(Kükenthal & Gorzawsky, 1908)	Subspecies	accepted	Accepted name	0	marine		van Ofwegen, Leen	2010-09-17 08:17:46	http://www.marinespecies.org/aphia.php?p=taxdetails&id=409536		urn:lsid:marinespecies.org:taxname:409536	
