AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
289236	Indo-West Pacific	Text		
290211	Indo-West Pacific	Text		
212767	Indo-West Pacific	Text		
221130	Indo-West Pacific	Text		
286639	Indo-West Pacific	Text		
290945	Indo-West Pacific	Text		
286641	Indo-West Pacific	Text		
213071	Indo-West Pacific	Text		
288696	Indo-West Pacific	Text		
291033	Indo-West Pacific	Text		
291039	Indo-West Pacific	Text		
207409	Kenya	Text		
207409	Kenya	Text		
210725	Kenya	Text		
210725	Madagascar	Text		
210005	Madagascar	Text		
210004	Madagascar	Text		
212086	Madagascar	Text		
874121	Madagascar	Text		
874123	Madagascar	Text		
874119	Madagascar	Text		
874127	Madagascar	Text		
874125	Madagascar	Text		
209964	Madagascar	Text		
209967	Madagascar	Text		
209965	Madagascar	Text		
209962	Madagascar	Text		
213021	Madagascar	Text		
209614	Madagascar	Text		
209612	Madagascar	Text		
209610	Madagascar	Text		
209611	Madagascar	Text		
210001	Madagascar	Text		
210003	Madagascar	Text		
224099	Madagascar	Text		
207409	Madagascar	Text		
210019	Madagascar	Text		
210023	Madagascar	Text		
210014	Madagascar	Text		
209618	Madagascar	Text		
209619	Madagascar	Text		
209621	Madagascar	Text		
209994	Madagascar	Text		
209975	Madagascar	Text		
209981	Madagascar	Text		
209973	Madagascar	Text		
209991	Madagascar	Text		
209978	Madagascar	Text		
209995	Madagascar	Text		
209970	Madagascar	Text		
209980	Madagascar	Text		
212104	Madagascar	Text		
209984	Madagascar	Text		
209985	Madagascar	Text		
212106	Madagascar	Text		
212105	Madagascar	Text		
212102	Madagascar	Text		
209616	Madagascar	Text		
209617	Madagascar	Text		
209621	Seychelles	Text		
209615	Seychelles	Text		
209622	Seychelles	Text		
209617	Seychelles	Text		
212103	Seychelles	Text		
212105	Seychelles	Text		
209980	Seychelles	Text		
209986	Seychelles	Text		
209968	Seychelles	Text		
209982	Seychelles	Text		
209991	Seychelles	Text		
209975	Seychelles	Text		
209973	Seychelles	Text		
209981	Seychelles	Text		
209976	Seychelles	Text		
209997	Seychelles	Text		
209618	Seychelles	Text		
209624	Seychelles	Text		
207409	Seychelles	Text		
207409	Seychelles	Text		
209999	Seychelles	Text		
209611	Seychelles	Text		
209611	Seychelles	Text		
209608	Seychelles	Text		
209614	Seychelles	Text		
209629	Seychelles	Text		
209627	Seychelles	Text		
209959	Seychelles	Text		
209960	Seychelles	Text		
209966	Seychelles	Text		
209963	Seychelles	Text		
220389	Seychelles	Text		
213024	Seychelles	Text		
213025	Seychelles	Text		
210005	Seychelles	Text		
210725	Seychelles	Text		
210725	Seychelles	Text		
210725	South Africa (country)	Text		
210004	South Africa (country)	Text		
128507	South Africa (country)	Text		
128506	South Africa (country)	Text		
213055	South Africa (country)	Text		
213056	South Africa (country)	Text		
213054	South Africa (country)	Text		
213032	South Africa (country)	Text		
213030	South Africa (country)	Text		
213035	South Africa (country)	Text		
213052	South Africa (country)	Text		
213053	South Africa (country)	Text		
128512	South Africa (country)	Text		
209960	South Africa (country)	Text		
209964	South Africa (country)	Text		
209961	South Africa (country)	Text		
213057	South Africa (country)	Text		
209962	South Africa (country)	Text		
209965	South Africa (country)	Text		
213037	South Africa (country)	Text		
209628	South Africa (country)	Text		
209626	South Africa (country)	Text		
221133	South Africa (country)	Text		
209608	South Africa (country)	Text		
