ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
286019	724718	Anthomastus		robustum	Versluys, 1906				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286019	
286324	883744	Keratoisis		profunda	(Wright, 1885)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286324	
212098	287770	Alcyonium		variabile	(J.S. Thomson, 1921)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:212098	
292558	287770	Metalcyonium		variabile	Thomson, 1921				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292558	
287581	291848	Ctenocella		acacesia	Grasshoff, 1999				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287581	
287583	291850	Ctenocella		andamanensis	Simpson, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287583	
287585	292603	Ctenocella		atlantica	Toeplitz, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287585	
287587	520717	Ctenocella		aurantiaca	Thomson & Henderson				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287587	
287588	291853	Ctenocella		azilia	Grasshoff, 1999				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287588	
287589	520719	Ctenocella		barbadensis	Duchassaing & Michelotti, 1864				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287589	
287590	291855	Ctenocella		candida	Ridley, 1882				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287590	
287592	520720	Ctenocella		ceratophyta	Linnaeus, 1758				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287592	
292539	520720	Gorgonia		sasappo	Pallas, 1766				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292539	
291884	520720	Leptogorgia		boryana	Milne Edwards & Haime, 1857				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291884	
292537	520720	Verrucella		stellata	Nutting, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292537	
287593	291858	Ctenocella		cercidia	Grasshoff, 1999				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287593	
287594	291859	Ctenocella		ceylonensis	Simpson, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287594	
287597	291862	Ctenocella		cylindrica	Toeplitz, 1919				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287597	
287599	291864	Ctenocella		divisa	Thomson & Henderson, 1905				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287599	
287600	520722	Ctenocella		elongata	Pallas, 1766				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287600	
287601	291865	Ctenocella		erythraea	Kükenthal, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:287601	
289538	146941	Briareum		grandiflorum	Möbius, 1874				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:289538	
146765	146941	Capnella		glomerata	(Verrill, 1869)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:146765	
517875	146941	Drifa		flavescens	(Molander, 1915)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517875	
291896	286214	Lophogorgia		barbadensis	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291896	
292531	286243	Eugorgia		gilchristi	Hickson, 1904				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292531	
292532	286243	Eugorgia		lineata	Thomson, 1917				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292532	
286210	520683	Leptogorgia		angolana	Grasshoff, 1992				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286210	
291902	286243	Leptogorgia		aurata	Thomson, 1917				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291902	
286245	520684	Leptogorgia		guineensis	Grasshoff, 1988				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286245	
759104	125369	Leptogorgia		lusitanica	Stiasny, 1937				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:759104	
286282	520685	Leptogorgia		sanguinolenta	(Pallas, 1766)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286282	
286283	520686	Leptogorgia		schoutedeni	Stiasny, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286283	
291785	288630	Lobularia		pauciflora	(Ehrenberg, 1834)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291785	
291897	286216	Lophogorgia		cabofalsoi	Stiasny, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291897	
291898	286218	Lophogorgia		capverdensis	Grasshoff, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291898	
291899	286219	Lophogorgia		cardinalis	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291899	
291900	286225	Lophogorgia		crista	Möbius, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291900	
291901	286242	Lophogorgia		gaini	Stiasny, 1940				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291901	
291903	286253	Lophogorgia		occidafricana	Stiasny, 1936				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291903	
291904	286255	Lophogorgia		panamensis	Duchassaing & Michelotti, 1860				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291904	
292017	125384	Muriceides		sceptrum	(Studer, 1891)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:292017	
724889	286009	Pseudoanthomastus		inusitatus	Tixier-Durivault & d'Hondt, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:724889	
286634	128504	Pennatula		argentina	Acuña & Zamponi, 1992				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286634	
291761	289551	Callogorgia		granulosa	(Kinoshita, 1907)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:291761	
517873	286578	Clematissa		alba	Nutting, 1908				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517873	
290888	367982	Pseudopterogorgia		acerosa	(Pallas, 1766)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290888	
290889	708858	Pseudopterogorgia		albatrossae	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290889	
290890	708859	Pseudopterogorgia		americana	(Gmelin, 1791)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290890	
290893	708860	Pseudopterogorgia		bipinnata	(Verrill, 1864)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290893	
290894	708861	Pseudopterogorgia		blanquillensis	(Stiasny, 1941)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290894	
290895	708862	Pseudopterogorgia		elisabethae	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290895	
290898	708863	Pseudopterogorgia		hummelincki	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290898	
290899	708864	Pseudopterogorgia		hystrix	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290899	
290900	708865	Pseudopterogorgia		kallos	(Bielschowsky, 1918)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290900	
290903	708866	Pseudopterogorgia		navia	Bayer, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290903	
290906	708867	Pseudopterogorgia		rigida	(Bielschowsky, 1929)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:290906	
286415	520678	Swiftia		beringi	(Nutting, 1912)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:286415	
288420	288130	Acabaria		flabellum	(Thomson & Mackinnon, 1910)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:288420	
