ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
476305	475541	Phallodrilus		altus	Erséus, 1980				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476305	
176216	137497	Phallodrilus		profundus	Cook, 1970				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:176216	
476348	475545	Phallodrilus		remus	Erséus, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476348	
476353	475546	Phallodrilus		segonzaci	Erséus, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476353	
176234	137513	Phallodrilus		biparis	Erséus, 1983				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:176234	
476350	475594	Phallodrilus		rostratus	Erséus, 1984				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476350	
176235	137515	Phallodrilus		styloatriatus	Erséus, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:176235	
176236	137516	Phallodrilus		vulnus	Erséus, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:176236	
476356	475547	Phallodrilus		stilus	Erséus, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476356	
476389	475595	Uniporodrilus		vestigium	Davis, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476389	
137554	743898	Heterochaeta		costata	Claparède, 1863				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:137554	
177303	743898	Psammoryctes		costatus	(Claparède, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:177303	
154887	743898	Tubifex		costatus	(Claparède, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154887	
476387	743898	Tubifex		thompsoni	Southern, 1909				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476387	
476312	475923	Phallodrilus		christeri	Davis, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:476312	
