AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
475540	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		altoides	Erséus, 1992	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475540		urn:lsid:marinespecies.org:taxname:475540	
475541	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		altus	(Erséus, 1980)	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475541		urn:lsid:marinespecies.org:taxname:475541	
475542	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		hessleri	Erséus, 1989	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475542		urn:lsid:marinespecies.org:taxname:475542	
475543	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		opulentus	Erséus, 1992	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475543		urn:lsid:marinespecies.org:taxname:475543	
475544	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		potens	Erséus, 1992	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475544		urn:lsid:marinespecies.org:taxname:475544	
137497	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		profundus	(Cook, 1970)	accepted	Accepted name	0	marine		Timm, Tarmo	2005-07-22 09:57:48	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137497		urn:lsid:marinespecies.org:taxname:137497	
475545	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		remus	(Erséus, 1979)	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475545		urn:lsid:marinespecies.org:taxname:475545	
475546	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		segonzaci	(Erséus, 1986)	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475546		urn:lsid:marinespecies.org:taxname:475546	
475547	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Abyssidrilus		stilus	(Erséus, 1986)	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475547		urn:lsid:marinespecies.org:taxname:475547	
137397	Animalia	Annelida	Clitellata	Enchytraeida		Enchytraeidae	Achaeta		littoralis	Lasserre, 1968	accepted	Accepted name	0	marine		Timm, Tarmo	2005-07-18 14:31:08	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137397		urn:lsid:marinespecies.org:taxname:137397	
475548	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		anisosetosus	Cook, 1969	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475548		urn:lsid:marinespecies.org:taxname:475548	
475549	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		bacrionis	Davis, 1985	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475549		urn:lsid:marinespecies.org:taxname:475549	
137498	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		borceai	(Hrabe, 1973)	accepted	Accepted name	0	marine		Timm, Tarmo	2005-07-19 18:03:06	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137498		urn:lsid:marinespecies.org:taxname:137498	
137499	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		cooki	Erséus, 1978	accepted	Accepted name	0	marine		Timm, Tarmo	2005-07-22 09:57:48	http://www.marinespecies.org/aphia.php?p=taxdetails&id=137499		urn:lsid:marinespecies.org:taxname:137499	
475550	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		correptus	Erséus & Davis, 1984	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475550		urn:lsid:marinespecies.org:taxname:475550	
475551	Animalia	Annelida	Clitellata	Haplotaxida		Tubificidae	Adelodrilus		cristatus	Erséus, 1983	accepted	Accepted name	0			Timm, Tarmo	2010-05-11 10:20:37	http://www.marinespecies.org/aphia.php?p=taxdetails&id=475551		urn:lsid:marinespecies.org:taxname:475551	
