ID	ReferenceType	ReferenceID	
125131	ComNameRef	9269	
245048	ComNameRef	147411	
124940	ComNameRef	151643	
124967	ComNameRef	147411	
245736	ComNameRef	147411	
124940	ComNameRef	140199	
125125	ComNameRef	147411	
125109	ComNameRef	147411	
124911	ComNameRef	147411	
125057	ComNameRef	147411	
158503	ComNameRef	2901	
125027	ComNameRef	163039	
125080	ComNameRef	10085	
124913	ComNameRef	10085	
124913	ComNameRef	147412	
125125	ComNameRef	147411	
125125	ComNameRef	147411	
124929	ComNameRef	147411	
124929	ComNameRef	1116	
124929	ComNameRef	1116	
125064	ComNameRef	147412	
124913	ComNameRef	147411	
125125	ComNameRef	145895	
236130	ComNameRef	147411	
124821	ComNameRef	163039	
125080	ComNameRef	147411	
245736	ComNameRef	147411	
124929	ComNameRef	1116	
124821	ComNameRef	163039	
125073	ComNameRef	147411	
125147	ComNameRef	147411	
124913	ComNameRef	147411	
125131	ComNameRef	1116	
125131	ComNameRef	9269	
125064	ComNameRef	147411	
124821	ComNameRef	163039	
125073	ComNameRef	147411	
124933	ComNameRef	147411	
124913	ComNameRef	83	
124913	ComNameRef	685	
232025	ComNameRef	147411	
124911	ComNameRef	147411	
124934	ComNameRef	147411	
125057	ComNameRef	147411	
124966	ComNameRef	2901	
124929	ComNameRef	9234	
125131	ComNameRef	9269	
125027	ComNameRef	163039	
124853	ComNameRef	147411	
124929	ComNameRef	147411	
124940	ComNameRef	151643	
124929	ComNameRef	1116	
124913	ComNameRef	9234	
124821	ComNameRef	163039	
125131	ComNameRef	163039	
125080	ComNameRef	147411	
125195	ComNameRef	165516	
125027	ComNameRef	147411	
125131	ComNameRef	147411	
124933	ComNameRef	147411	
181534	ComNameRef	151643	
125027	ComNameRef	163039	
125027	ComNameRef	147411	
124850	ComNameRef	147411	
124933	ComNameRef	147411	
125110	ComNameRef	147411	
125131	ComNameRef	151643	
125131	ComNameRef	151643	
125064	ComNameRef	2901	
125064	ComNameRef	2901	
124951	ComNameRef	147411	
125131	ComNameRef	685	
125131	ComNameRef	755	
125131	ComNameRef	147411	
124913	ComNameRef	147411	
124913	ComNameRef	42381	
125080	ComNameRef	83	
125080	ComNameRef	685	
125131	ComNameRef	1116	
125064	ComNameRef	147411	
125064	ComNameRef	147411	
125027	ComNameRef	163039	
125073	ComNameRef	147411	
125073	ComNameRef	10085	
125027	ComNameRef	147412	
125027	ComNameRef	147411	
125125	ComNameRef	147411	
124929	ComNameRef	147411	
125131	ComNameRef	1116	
125131	ComNameRef	163039	
125080	ComNameRef	147411	
125131	ComNameRef	147411	
125057	ComNameRef	147411	
124825	TaxAccRef	1368	
124829	TaxAccRef	1368	
124829	TaxAccRef	139361	
124833	TaxAccRef	141249	
124842	TaxAccRef	1368	
124855	TaxAccRef	47754	
124857	TaxAccRef	139378	
124859	TaxAccRef	1368	
124876	TaxAccRef	1368	
