ReferenceID	Authors	Year	Title	Details	
8	Linnaeus, C.	1758	Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis		
42			ITIS database		
64			North East Atlantic Taxa		
83	Holtmann, S.E.; Groenewold, A.; Schrader, K.H.M.; Asjes, J.; Craeymeersch, J.A.; Duineveld, G.C.A.; van Bostelen, A.J.; van der Meer, J.	1996	Atlas of the zoobenthos of the Dutch continental shelf. Ministry of Transport, Public Works and Water Management: Rijswijk, The Netherlands. ISBN 90-369-4301-9. 243 pp.		
663	Howson, C.M.; Picton, B.E. (Ed.)	1997	The species directory of the marine fauna and flora of the British Isles and surrounding seas. <i>Ulster Museum Publication</i>, 276. The Ulster Museum: Belfast, UK. ISBN 0-948150-06-8. vi, 508 (+ cd-rom) pp.		
685	Hayward, P.; Nelson-Smith, A.; Shields, C.	1999	Gids van kust en strand: flora en fauna [Coast and beach guide: flora and fauna]. Tirion: Baarn, Netherlands. ISBN 90-5210-327-5. 352, ill. pp.		
755	Eneman, E.	1984	Uit het Natuurhistorisch Archief [From the Natural History Archive]. <i>De Strandvlo 4(1)</i>: 4-17		
1066	von Düben, M. W.; Koren, J.	1846	Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata]		
1116	Leewis, R.	2002	Flora en fauna van de zee [Marine flora and fauna]. <i>Veldgids</i>, 16. KNNV Uitgeverij: Utrecht, The Netherlands. ISBN 90-5011-153-X. 320 pp.		
1125			Dewarumez, Jean-Marie		
1368	Hansson, H.G.	2001	Echinodermata, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i>		
1648	Leloup, E.	1952	Contributions à l'étude de la faune belge: 19. Observation sur la crevette grise au large de la côte belge en 1949 [Contribution to the study on the Belgian fauna: 19. Observation on the brown shrimp along the Belgian coast in 1949]. <i>Med. K. Belg. Inst. Nat. Wet. 18(1)</i>: 1-28		
2901			North-West Atlantic Ocean species (NWARMS)		
2928	Bromley, J. E. C.; Bleakney, J. S.	1984	Keys to the fauna and flora of Minas Basin		
2930	Brunel, P.; Bosse, L.; Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence		
2964	Gosner, K.L.	1971	Guide to identification of marine and estuarine invertebrates: Cape Hatteras to the Bay of Fundy. John Wiley & Sons, Inc. 693 p.		
2965	Gosner,	1977	Gosner, 1977		
2999	Linkletter, L. E.	1977	A checklist of marine fauna and flora of the Bay of Fundy		
3042	Pollock, L.W.	1998	A Practical Guide to the Marine Animals of Northeastern North America.		
3133	Koehler, R.	1911	Astéries, Ophiures, et Échinides de l'Expédition Antarctique Anglaise de 1907-1909		
3134	Mortensen T.	1925	On a small collection of echinoderms from the Antarctic Sea. Arkiv för Zoologie, 17A(31): 1-12		
3136	McKnight, D. G.	1967	Echinoderms from Cape Hallett, Ross Sea. New Zealand		
3139	Bell, F. J.	1908	National Antarctic Expedition 1901-04. Echinoderma		
3167	Studer, T.	1876	Echinodermen aus dem antarktischen Meere und zwei neue Seeigel von den Papua-Inseln, gesammelt auf der Reise S.M.S. Gazelle um die Erde		
3174	Koehler R.	1901	Expédition Antarctique Belge. Résultats du vogage du S.Y. "Belgica" en 1897-98-99.  Zoologie. Echinides et Ophiures: 1-42		
3175	Koehler, R.	1900	Note preliminaire sur les Echinides et les Ophiures de l'Expédition Antarctique Belge		
3189	Koehler, R.	1909	Astéries, Ophiures et Échinides de l'Expédition Antarctique Nationale Écossaise		
4179	Clarke, A.; Johnston, N.M	2003	Antarctic marine benthic diversity		
5916	Clark, A. M.; Rowe, F. W. E.	1971	Monograph of shallow-water indo-west Pacific Echinoderms  		
5951	Tortonese, E.	1980	Researches on the coast of Somalia. Littoral Echinodermata. Monitore zoologico italiano NS Supplemento XIII 5: 99-139.		
5987	Vine, P.	1986	Red Sea Invertebrates. Immel Publishing, London. 224 pp.		
6000	Humphreys, W.F.	1981	The echinoderms of Kenya's marine parks and adjacent regions. Koninklijk Museum voor Midden-Africa (Tervuren, Belgium) Zoologische Documentatie 19. 39 pp.		
6050	Tortonese, E.	1977	Report on Echinoderms from the gulf of Aqaba (Red Sea		
6066	Richmond, M. (Ed.)	1997	A guide to the seashores of Eastern Africa and the Western Indian Ocean islands. Sida/Department for Research Cooperation, SAREC: Stockholm, Sweden. ISBN 91-630-4594-X. 448 pp.		
6113	Sloan, N.A., A.M. Clark & J.D. Taylor	1979	The Echinoderms of Aldabra and their habitats.  Bull. Br. Mus. Nat. Hist. (Zool.) 37 (2): 81- 128.		
6130	Ludwig, H.	1899	Echinodermen des Sansibargebietes.  Abhandl. d. Senckenb. naturf. Ges., Bonn, Vol. 21(1): 537 - 563.		
6248	Balinsky, J.B.	1957	The Ophiuroidea of Inhaca Island. Ann. Natal Mus. 14: 1-33.		
6250	Cherbonnier, G.; Guille, A.	1978	Echinodermes: Ophiurides		
6262	Clark, A.M.	1977	The South African Museum's Meiring Naude cruises, part 4: Echinoderms. Ann. S. Afr. Mus. 73(6):; 133-147.		
6269	Bell, F. J.	1909	Report on the echinoderma (other than holothurians) collected by Mr. J. Stanley Gardiner in the western parts of the Indian Ocean. Transactions of the Linnean Society of London. 2nd Series: Zoology 13, 17-22.		
6273	Mortensen, T.	1933	Echinoderms of South Africa (Asteroidea and Ophiuroidea)		
6285	Baker, A. N.	1980	Euryalinid Ophiuroidea (Echinodermata) from Australia, New Zealand, and the south-west Pacific Ocean		
6286	Madsen, F.J.	1983	A review of the Ophioleucinae stat. rev. (Echinodermata, Ophiuroidea) with the erection of a new genus, Ophiostriatus.		
6287	Paterson, G. L. J.	1985	The deep-sea Ophiuroidea of the north Atlantic Ocean		
6293	Clark, A. M.	1980	Some Ophiuroidea from the Seychelles islands and Inhaca, Mozambique		
6305	Clark, A. H.	1964	Description of two new species of Ophiuroidea collected during the Snellius expedition		
6306	Clark, A.M.	1970	Notes on the family Amphiuridae (Ophiuroidea). Bull. Br. Mus. Nat. Hist. (Zool.) 19(1): 1-81.		
6308	Clark, A.M.	1974	Notes on some echinoderms from southern Africa. Bulluetin of the British Museum of Natural History (Zoology) 26(6): 423-487, 3 pls, 16 figs, 1 map, 3 tables		
6309	Clark, H. L.	1909	Notes on some Australian and Indo-Pacific echinoderms		
6310	Clark, H. L.	1939	Ophiuroidea		
6311	Devaney, D.M.	1970	Studies on ophiocomid brittlestars. I. A new genus (Clarkcoma) of Ophiocominae with a re-evaluation of the genus Ophiocoma. Smithson. Contr. Zool. 51: 1-41.		
6319	Clark, A. M.	1968	Notes on some tropical indo-pacific ophiotrichids and ophiodermatids (Ophiuroidea)		
6322	Ljungman, A.	1867	Ophiuroidea viventia huc usque cognita enumerat		
6323	Bell, F.J.	1892	A contribution to the classification of ophiurids, with descriptions of some new and little-known forms. Proc. Zool. Soc. Lond., 1892, 175-183		
6324	Clark, A.M. & Courtman-Stock, J.	1976	The echinoderms of southern Africa		
6334	Döderlein, L.	1927	Indopacifische Euryalae. Abh. Bayer. Ak. Wiss. 31 (6): 1-105.		
6338	Rowe, F.W.E & Gates, J.	1995	Echinodermata. In ‘Zoological Catalogue of Australia’. 33 (Ed A. Wells.) pp xiii + 510 (CSIRO Australia, Melbourne.)		
6343	Lyman, T.	1874	Ophiuridae and Astrophytidae: new and old, Bull. Mus. Comp. Zool., Harvard College, Cambridge, Mass., Vol. 3: 221-272, 7 pls		
