AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
242616	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Ophiuridae	Abyssura		brevibrachia	Belyaev & Litvinova, 1976	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=242616		urn:lsid:marinespecies.org:taxname:242616	
236130	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Acrocnida		brachiata	(Montagu, 1804)	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=236130		urn:lsid:marinespecies.org:taxname:236130	
242617	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Acrocnida		semisquamata	(Koehler, 1914)	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=242617		urn:lsid:marinespecies.org:taxname:242617	
412703	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Acrocnida		spatulispina	Stöhr & Muths, 2010	accepted	Accepted name	0	marine		Stöhr, Sabine	2009-12-18 17:20:38	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=412703		urn:lsid:marinespecies.org:taxname:412703	
587508	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Ophiolepididae	Actinozonella		texturata	(Lyman, 1883)	accepted	Accepted name	0	marine		Stöhr, Sabine	2011-11-14 11:32:10	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=587508		urn:lsid:marinespecies.org:taxname:587508	
246610	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Amphichondrius		granulatus	(Lütken & Mortensen, 1899)	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-09-26 09:58:53	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=246610		urn:lsid:marinespecies.org:taxname:246610	
242623	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Amphichondrius		laevis	Ziesenhenne, 1940	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=242623		urn:lsid:marinespecies.org:taxname:242623	
242625	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphiuridae	Amphicontus		minutus	Hill, 1940	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=242625		urn:lsid:marinespecies.org:taxname:242625	
591203	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Amphilepididae	Amphicutis		stygobita	Pomory, Carpenter & Winter, 2011	accepted	Accepted name	0	brackish		Stöhr, Sabine	2011-12-20 11:32:59	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=591203		urn:lsid:marinespecies.org:taxname:591203	
242626	Animalia	Echinodermata	Ophiuroidea	Ophiurida		Hemieuryalidae	Amphigyptis		perplexa	Nielsen, 1932	accepted	Accepted name	0	marine		Stöhr, Sabine	2007-07-18 14:17:12	http://www.marinespecies.org/ophiuroidea/aphia.php?p=taxdetails&id=242626		urn:lsid:marinespecies.org:taxname:242626	
