ReferenceID	Authors	Year	Title	Details	
64			North East Atlantic Taxa		
42916	Hoggett, A.K.	2006	A new species of Macrophiothrix (Ophiuroidea: Ophiotrichidae) common in northern Australia. Zootaxa 1326: 17–24.		
154122	Hernandez-herrejon, L.A., Soliz -Marin, F.A., Laguarda-Figueras, A., Pineda Enriquez, T.	2010	First record of Ophioderma vansyoci (Echinodermata: Ophiuroidea) in the Gulf of California. Marine Biodiversity Records 3: 1-3.		
163039			Club d'immersió Facultat de Biologia, Universitat de Barcelona		
151595	Thomas, L.P.	1962	The shallow water amphiurid brittle stars (Echinodermata, Ophiuroidea) of Florida. Bulletin of Marine Science of the Gulf and Caribbean 12(4): 623-694.		
151643	Dhora, DH.	2008	Fjalor i emrave të kafshëve të Shqipërisë (Emri shkencor – Shqip – Anglisht) / Dictionary of animal names of Albania (Scientific names – Albanian – English). Camaj – Pipa. Shkodër, Albania.		
151849	Clark, A.H.	1952	Schizostella, a new genus of brittle-star (Gorgonocephalidae). Proceedings of the United States National Museum 102: 451-454.		
151872	Thomas, L.P.	1966	A revision of the tropical American species of Amphipholis (Echinodermata: Ophiuroidea). Bulletin of Marine Science 16(4): 827-833.		
151844	Clark, H.L.	1939	A new Astroconus from South Australia. Records of the South Australian Museum 6: 207-208		
151841	Clark, H.L.	1915	A remarkable new brittle star. Journal of Entomology and Zoology 7: 64-66.		
151869	Thomas, l.P.	1964	Amphiodia atra (Stimpson) and Ophionema intricata Lütken, additions to the shallow water amphiurid brittlestar fauna of Florida (Echinodermata: Ophiuroidea). Bulletin of Marine Science of the Gulf and Caribbean 14(1): 158-167		
156561	Manso, C.L.C.	2004	Echinodermata da Bacia de Camamu, Bahia, Brasil. Biologia Geral e Experimental 5(1): 19-25		
156555	Koehler, R.	1895	Dragages profonds executes a bord du Caudan dans le Golfe de Gascogne. Rapport préliminaire sur le Échinodermes. Revue biologique du Nord de la France 7: 439-496.		
149693	Okanishi, M. & Fujita, T.	2011	Two new species of the subgenus Asteroporpa (asteromoana) (Ophiuroidea: Euryalida: Gorgoncephalidae) from Japan. Zootaxa 2751: 25-39.		
150882	ICZN Opinion 1560. Asterias squamata Delle Chiaje,	1828	curretnly Amphipholis squamata; Echinodermata, Ophiuroidea): specific name conserved. Bulletin of Zoological Nomenclature 46(3): 210.		
150879	Clark, A.M.	1987	Case 2131. Asterias squamata Delle Chiaje, 1828 (currently Amphipholis squamata; Echinodermatat, Ophiuroidea): proposed conservation of the specific name. Bulletin of Zoological Nomenclature 44(4): 246-247.		
151874	Clark, H.L.	1915	The Echinoderms of Ceylon other than Holothurians. Spolia Zeylandica 10(37): 83-102.		
151876	Ely, C.A.	1944	A new brittle-star (Ophiocoma anaglyptica) from Canton Island. Journal of the Washington Academy of Sciences 34: 373-375.		
153341	Hendler, G.	2011	New light on the nomenclature, taxonomy, and biology of Hemipholis species (Echinodermata: Ophiuroidea: Ophiactidae). Zootaxa 3048: 44-52.		
152795	Okanishi, M., O'Hara, T.D. & Fujita, T.	2011	A new genus Squamophis of Asteroschematidae (Echinodermata, Ophiuroidea, Euryalida) from Australia. ZooKeys 129: 1-15.		
153342	Duncan, P.M.	1881	On an unusal form of the genus Hemipholis, Agass. Journal of the Linnean Society. Zoology 15: 138-143, pl. 6		
151875	Matsumoto, H.	1913	Preliminary notice of a new interesting ophiuran (Astrophiura kawamurai). Annotationes zoologicae Japonenses 8(2): 225-228, 1pl.		
151871	Hoggett, A.K.	1990	Taxonomy and systematic position of the brittlestar genus Macrophiothrix H.L. Clark (Echinodermata: Ophiuroidea). Thesis, Univ. of Queensland, 398 pp		
151873	Rowe, F.W.E.	1985	A review of the ophiocomin genus Clarkcoma Devaney, 1970 (Ophiuroidea: Ophiocomidae). Proceedings of the Linnean Society of New South Wales 108(1): 59-69.		
151458	Turner, R.L. & Hallan, K.	2011	Triplodia, replacement name for Triodia A.M. Clark, 1970 (Ophiuroidea: Amphiuridae) non Hübner, 1820 (Lepidoptera: Hepialidae). Proceedings of the Biological Society of Washington 124(1): 7-8.		
151829	Mortensen, T.	1952	Echinoidea and Ophiuroidea. Reports of the Lund University Chile Expedition 1948-49, 3. Lunds Universitets årsskrift N.F. avd. 2, 47(8): 1-22.		
151834	Koehler, R.	1898	Description d’une ophiure littorale nouvelle de l’Ócean Indien (Ophiothrix innocens). Bulletin de la Société Zoologique de France 23:164-165.		
151836	Ives, J.E.	1891	Echinoderms and arthropods from Japan. Proceedings of the Academy of Natural Sciences of Philadelphia 1891: 210-223, pls 7-11.		
151831	O'Hara, T.	1990	New records of Ophiuridae, Ophiacanthidae and Ophiocomidae (Echinodermata: Ophiuroidea) form south-eastern Australia. Memoirs of the Museum of Victoria 50(2): 287-305.		
151825	THOMAS, L.P.	1975	The systematic relationships of Ophioplocus, Ophioceramis and Ophioceres (Echinodermata: Ophiuroidea). Bulletin of Marine Science, 25: 232–247 figs 1–3.		
151832	Murakami, S.	1963	On some ophiurans from Kii and vicinities with descriptions of a new species. Publications of the Seto Marine Biological Laboratory 11: 171-184.		
147707	Martynov, A.	2010	Reassessment of the classification of the Ophiuroidea (Echinodermata), based on morphological characters. I. General character evaluation and delineation of the families Ophiomyxidae and Ophiacanthidae. Zootaxa 2697: 1-154.		
162663	Parameswaran, U.V. & Jaleel, A.K.U.	2012	Asteroschema sampadae (Ophiuroidea: Asteroschmeatinae), a new deep-sea brittle star from the continental slope off the southern tip of India. Zootaxa 3269: 47-56.		
154043	Stöhr, S.	2011	New records and new species of Ophiuroidea (Echinodermata) from Lifou, Loyalty Islands, New Caledonia. Zootaxa 3089: 1-50.		
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp.		
149398	Rodrigues, C.F.; Paterson, G.L.J.; Cabrinovic, A.; Cunha, M.R.	2011	Deep-sea ophiuroids (Echinodermata: Ophiuroidea: Ophiurida) from the Gulf of Cadiz (NE Atlantic). Zootaxa 2754: 1-26.		
42944			Stöhr Sabine		
43021	Hendler, G.; Miller, J.E.; Pawson, D.L.; Kier, P.M.	1995	Sea stars, sea urchins, and allies. Echinoderms of Florida and the Caribbean Sea. Smithsonian Institution Press.		
139353	Bartsch, I.	1983	Ophiambix meteoris n.sp. , ein neuer Schlangenstern aus der Iberischen Tiefsee (Ophiacanthidae, Ophiuroidea). Spixiana, 6(2), 97-100.		
139487	Sladen, W.P.	1879	On the structure of Astrophiura, a new and aberrant genus of Echinodermata. Ann. Mag. Nat. Hist. Ser. IV, 5.		
139525	Djakonov, A.M.	1929	?. Trudy Murmanskogo Biologicheskogo Stantsii, 3.		
139561	Liao, Y.	1983	On Amphilimna polyacantha sp. nov. and the systematic position of A. multispina Koehler (Ophiuroidea). Chinese Journal of Oceanology and Limnology, 1(2), 177-184, 2 pls.		
139587	Ljungman, A. V.	1866	Om några nya arter af Ophiurider. Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar 1866, 23(6), 163-166.		
139611	Tommasi, L.R.	1965	Alguns Amphiuridae (Ophiuroidea) do litoral de sao Paulo e Santa Catarina. Oceanografia Biológia, 8, 1-9.		
139700	Berry, C.T.	1939	More complete remains of Ophiura marylandica. Proceedings of the American Philosophical Society, 80(1), 87-94.		
139486	Bell, F.J.	1905	Echinoderma. III. Ophiuroidea. Marine Invest. S. Africa, 3, 255-260.		
139523	Clark, A.M.	1966	Echinodermata. Port Phillip Survey 1957-1963. Memoirs nat. Mus. Victoria, 27, 289-384.		
32476	Harms, J. ,	1993	Check list of species (algae, invertebrates and vertebrates) found in the vicinity of the island of Helgoland (North Sea, German Bight) - a review of recent records. Helgoländer Meeresuntersuch. 47 1: 1-34.		
139702	Smirnov, I. C.	1977	A new species of Ophiomisidium (Ophiuroidea) from the subantarctic waters of the Indian Ocean. Explorations of the Fauna of the Seas, 21(29), 105-108.		
139703	Duncan, P.M.	1878	On Lütkenia, a new genus of Ophiuridae from Discovery Bay. Annals and Magazine of Natural History, 5(II), 188-193.		
