ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
242950	125056	Amphiura		ingolfiana	Mortensen, 1933				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242950	
125091	125057	Amphiura		norvegica	Ljungman, 1865				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:125091	
242633	242631	Amphilepis		platytata	H.L. Clark, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242633	
242979	576215	Amphiura		pycnostoma	H.L. Clark, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242979	
245628	242639	Amphitarsus		mirabilis	H.L. Clark, 1941				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:245628	
244363	245099	Sinophiura		multispina	(Koehler, 1922)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:244363	
242888	422470	Amphitarsus		nike	Schoener, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242888	
242889	242640	Amphitarsus		spinifer	Schoener, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242889	
244817	242640	Ophiocnida		olivacea	Lyman, 1869				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:244817	
243257	242644	Dougaloplus		transacta	(Koehler, 1930)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:243257	
182962	125224	Amphiophiura		convexa	(Lyman, 1878)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:182962	
124868	125224	Ophioglypha		convexa	Lyman, 1878				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:124868	
124836	125225	Amphiophiura		vitjazi	Litvinova, 1971				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:124836	
245734	125225	Amphiophiura		vityazi	Litvinova, 1971				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:245734	
242688	242665	Amphiodia	Amphispina	clarki	Liao, 2004				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242688	
242650	245665	Amphiodia		barbarae	(Lyman, 1875)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:242650	
389119	242665	Amphiodia		clarki	Liao, 2004				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:389119	
245975	242689	Amphiodia		digitata	Nielsen, 1932				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:245975	
244942	242686	Amphiodia		fissa	(Lütken, 1869)				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:244942	
