ReferenceID	Authors	Year	Title	Details	
172275	Berry, C. T.	1941	Cretaceous ophiurans from Texas	Journal of Paleontology. 15(1): 61-67	
176230	Pineda-Enriquez, T.; Solis-Marin, F. A.; Laguarda-Figueras, A.	2014	Revision of the genus <em>Ophioteichus</em> H.L. Clark, 1938 (Ophiuroidea: Ophiolepididae)	Zootaxa. 3784 (3): 241-250	
176282	Okanishi, M.; Fujita, T.	2014	A taxonomic review of the genus Asterostegus (Echinodermata: Ophiuroidea), with the description of a new species	European Journal of Taxonomy. 94 (1), 187-201	
166269	Mills, V. S.; O'Hara, T. D.	2013	Ophiuroids (Echinodermata; Ophiuroidea) of biogenic habitats on the continental shelf of New Zealand	Zootaxa. 3613 (5): 401-444	
166272	Thuy, B.; Meyer, C. A.	2013	The pitfalls of extrapolating modern depth ranges to fossil assemblages: new insights from Middle Jurassic brittle stars (Echinodermata: Ophiuroidea) from Switzerland	Swiss Journal of Palaeontology. 132(1): 5-21	
139710	Michelin, H.	1862	Annex A. Echinides et Stellerides	In: Maillard, L. (eds). Notes sur l'Île de la Réunion (Bourbon). Paris : Palais Royal, Galerie D'Orléans. 1-7, pls 14-16(1)	
153341	Hendler, G.	2011	New light on the nomenclature, taxonomy, and biology of Hemipholis species (Echinodermata: Ophiuroidea: Ophiactidae)	Zootaxa. 3048: 44-52	
139406	Downey, M. E.	1967	Astronebris tatafilius (Euryale: Asteronychidae), a new genus and species of ophiuroid from the Aleutians, with a revised key to the family Asteronychidae	Proceedings of the Biological Society of Washington. 80: 41-46	
139420	Koehler, R.	1909	Echinodermes provenant des campagnes du yacht Princesse-Alice (Astéries, Ophiures, Echinides et Crinoïdes). Résultats des Campagnes Scientifiques Accomplies sur son Yacht par Albert 1er Prince Souverain de	Monaco. 34: 1-317	
172286	Clark, W. B.	1893	Mesozoic Echinodermata of the United States	U.S. Geological Survey Bulletin. 97: 1-30	
64	Hansson, H.	2004	North East Atlantic Taxa (NEAT): Nematoda		
165182	Sars, M.	1857	Bidrag til kundskaben om Middelhavets Littoral-Fauna. <i>Nyt Magazin för Naturvidenskab</i> 10:57-155.		
172281	Calzada, S.; Gutiérrez, D.	1987	Ofiuras (Echinodermata) del Ladiniense catalán	Batalleria. 1: 31-38	
172291	Detre, C. & Mihaly, S.	1987	Két Újabb Ophiuroida Lelet A Balaton-Felvidék Triászából. Magyar Állami Földtani Intézet Évi Jelentese, AZ 1985, 449–452.		
172292	Detre, C.	1971	A Hofman-féle hegyszentmártoni (Villányi-hegység) anizusi Ophiuroidea-leletek: Hofmannistella transdanubica n. gen., n. sp. Földtani Közlöny, 101, 406-413.		
172296	Easton, W. H.	1943	The fauna of the Pitkin Formation of Arkansas	Journal of Paleontology. 17(2): 125-154	
172297	Eck, H.	1865	Über die Formationen des bunten Sandsteins und des Muschelkalks in Oberschlesien und ihre Versteinerungen. Friedländer und Sohn, Berlin, 1-148.		
172349	Oppel, A.	1864	Über das Lager von Seesternen im Lias und Keuper. Jahreshefte des Vereins für vaterländische Naturkunde in Württemberg, 20, 112.		
172300	Forbes, E.	1843	On the fossil remains of starfishes and of the order Ophiuridae, found in Britain	Proceedings of the geological Society of London. 4: 232-234	
172279	Broderip, W. J.	1840	Description of some fossil Crustacea and Radiata, found at Lyme Regis, in Dorsetshire	Transactions of the geological Society of London. 2: 390-396	
172289	Damon, R.	1880	Supplement to the Geology of Weymouth and the Isle of Portland. 2nd edition. London.		
172345	Miller, H. W. Jr.	1958	A new genus and species of Permian ophiuroid from Kansas	Journal of Paleontology. 32(2): 357-361	
172325	Koenig, C. D. E.	1825	Icones fossilium sectiles : Centuria prima		
172315	Hess, H.	1970	Schlangensterne und Seesterne aus dem oberen Hauterivien "Pierre jaune" von St-Blaise bei Neuchâtel	Eclogae geologicae Helvetiae. 763 (63), 498-514, 1069-1091	
172277	Boehm, G.	1889	Ein Beitrag zur Kenntnis fossiler Ophiuren. Bericht der naturforschenden Gesellschaft Freiburg	Breslau. 4: 232-287	
172304	Hattin, D. E.	1967	Permian ophiuroids from Northern Oklahoma	Journal of Paleontology. 41(2): 489-492	
172314	Hess, H.	1965	Trias-Ophiuren aus Deutschland, England, Italien und Spanien. Mitteilungen der Bayerischen Staatssammlung für Paläontologie und historische Geologie, 5, 151-177.		
154122	Hernandez-herrejon, L. A.; Soliz, -.; Laguarda-figueras, F. A.; Pineda, A. E.	2010	First record of Ophioderma vansyoci (Echinodermata	Ophiuroidea) in the Gulf of California. Marine Biodiversity Records. 3, 1-3	
172311	Hess, H.	1960	Neubeschreibung von Geocoma elegans (Ophiuroidea) aus dem unteren Callovien von La Voulte-sur-Rhône (Ardèche)	Eclogae geologicae Helvetiae. 53(1), 335-385	
172282	Chapman, F.	1934	A Lower Cretaceous Brittle-star from Queensland	Proceedings of the Royal Society of Victoria. 46: 195-199	
42916	Hoggett, A. K.	2006	A new species of Macrophiothrix (Ophiuroidea: Ophiotrichidae) common in northern Australia	Zootaxa. 1326: 17-24	
171217	Kroh, A.; Thuy, B.	2013	A new Philippine ophiuroid symbiotic on a cassiduloid echinoid species	Zoologischer Anzeiger - A Journal of Comparative Zoology. 252(3), 279-288	
163039			Club d'immersió Facultat de Biologia, Universitat de Barcelona		
151595	Thomas, L. P.	1962	The shallow water amphiurid brittle stars (Echinodermata, Ophiuroidea) of Florida	Bulletin of Marine Science of the Gulf and Caribbean. 12(4): 623-694	
151643	Dhora, DH.	2008	Fjalor i emrave të kafshëve të Shqipërisë (Emri shkencor – Shqip – Anglisht) / Dictionary of animal names of Albania (Scientific names – Albanian – English). Camaj – Pipa. Shkodër, Albania.		
151849	Clark, A. H.	1952	Schizostella, a new genus of brittle-star (Gorgonocephalidae)	Proceedings of the United States National Museum. 102: 451-454	
151872	Thomas, L. P.	1966	A revision of the tropical American species of Amphipholis (Echinodermata: Ophiuroidea	Bulletin of Marine Science. 16(4): 827-833	
151844	Clark, H. L.	1939	A new Astroconus from South Australia	Records of the South Australian Museum. 6: 207-208	
151869	Thomas, L. P.	1964	Amphiodia atra (Stimpson) and Ophionema intricata Lütken, additions to the shallow water amphiurid brittlestar fauna of Florida (Echinodermata: Ophiuroidea	Bulletin of Marine Science of the Gulf and Caribbean. 14(1), 158-167	
151841	Clark, H. L.	1915	A remarkable new brittle star	Journal of Entomology and Zoology. 7: 64-66	
172307	Hess, H.	1964	Die Ophiuren des englischen Jura	Eclogae geologicae Helvetiae. 57, 756-801	
172313	Hess, H.	1963	Mikropaläontologische Untersuchungen an Ophiuren II: Die Ophiuren aus dem Lias (Pliensbachien-Toarcien) von Seewen (Kt. Solothurn). Eclogae geologicae Helvetiae 55: 609-656.		
172306	Hess, H.	1962	Mikropaläontologische Untersuchungen an Ophiuren II: Die Ophiuren aus dem Lias (Pliensbachien-Toarcien) von Seewen (Kt. Solothurn)	Eclogae geologicae Helvetiae. 55: 609-656	
