ID	ReferenceType	ReferenceID	
124821	ComNameRef	163039	
125073	ComNameRef	147411	
124913	ComNameRef	83	
124913	ComNameRef	685	
124933	ComNameRef	147411	
125027	ComNameRef	163039	
125027	ComNameRef	147411	
124850	ComNameRef	147411	
124933	ComNameRef	147411	
232025	ComNameRef	147411	
124911	ComNameRef	147411	
124934	ComNameRef	147411	
125057	ComNameRef	147411	
124966	ComNameRef	2901	
125131	ComNameRef	685	
125131	ComNameRef	755	
125080	ComNameRef	83	
125080	ComNameRef	685	
125131	ComNameRef	1116	
124951	ComNameRef	147411	
125131	ComNameRef	147411	
124913	ComNameRef	147411	
125064	ComNameRef	147411	
125064	ComNameRef	147411	
124913	ComNameRef	42381	
125064	ComNameRef	147412	
124913	ComNameRef	147411	
236130	ComNameRef	147411	
125125	ComNameRef	145895	
124821	ComNameRef	163039	
125131	ComNameRef	163039	
181534	ComNameRef	151643	
125195	ComNameRef	165516	
125080	ComNameRef	147411	
125027	ComNameRef	147411	
125131	ComNameRef	147411	
124933	ComNameRef	147411	
124913	ComNameRef	9234	
124913	ComNameRef	147412	
125027	ComNameRef	163039	
124929	ComNameRef	1116	
124929	ComNameRef	1116	
125125	ComNameRef	147411	
125125	ComNameRef	147411	
124929	ComNameRef	147411	
125080	ComNameRef	10085	
124913	ComNameRef	10085	
125131	ComNameRef	163039	
125080	ComNameRef	147411	
125131	ComNameRef	147411	
125057	ComNameRef	147411	
125125	ComNameRef	147411	
245736	ComNameRef	147411	
124940	ComNameRef	140199	
125027	ComNameRef	163039	
124929	ComNameRef	1116	
124853	ComNameRef	147411	
124929	ComNameRef	147411	
124940	ComNameRef	151643	
124929	ComNameRef	9234	
125131	ComNameRef	9269	
245048	ComNameRef	147411	
124940	ComNameRef	151643	
124967	ComNameRef	147411	
125131	ComNameRef	9269	
124821	ComNameRef	163039	
125080	ComNameRef	147411	
124929	ComNameRef	1116	
245736	ComNameRef	147411	
125027	ComNameRef	147412	
125027	ComNameRef	163039	
125073	ComNameRef	147411	
125131	ComNameRef	1116	
125027	ComNameRef	147411	
125125	ComNameRef	147411	
124929	ComNameRef	147411	
125073	ComNameRef	10085	
125131	ComNameRef	151643	
125131	ComNameRef	151643	
125110	ComNameRef	147411	
125064	ComNameRef	2901	
125064	ComNameRef	2901	
125109	ComNameRef	147411	
124911	ComNameRef	147411	
125057	ComNameRef	147411	
158503	ComNameRef	2901	
124821	ComNameRef	163039	
125073	ComNameRef	147411	
125131	ComNameRef	1116	
125131	ComNameRef	9269	
125147	ComNameRef	147411	
124913	ComNameRef	147411	
125064	ComNameRef	147411	
124817	NomRef	1368	
124824	NomRef	1368	
124829	NomRef	139361	
124836	NomRef	139654	
124851	NomRef	1368	
124858	NomRef	1368	
124859	NomRef	139378	
124860	TaxAccRef	64	
124872	NomRef	139361	
124890	NomRef	64	
124894	NomRef	1368	
124900	TaxAccRef	1368	
124906	NomRef	139361	
124913	TaxAccRef	139312	
124917	NomRef	1368	
124924	NomRef	1368	
124929	TaxAccRef	8	
124929	TaxAccRef	165516	
124949	NomRef	139316	
124957	NomRef	40478	
124958	NomRef	1368	
124960	NomRef	1368	
124966	TaxAccRef	1368	
124969	TaxAccRef	64	
124970	NomRef	139416	
124973	TaxAccRef	1368	
124977	NomRef	139304	
124978	TaxAccRef	42	
124978	TaxAccRef	132823	
124978	TaxAccRef	192633	
124996	TaxAccRef	139355	
124998	TaxAccRef	139361	
125000	TaxAccRef	1368	
125003	TaxAccRef	156555	
125005	TaxAccRef	64	
125017	NomRef	1368	
125024	NomRef	1368	
125028	NomRef	52062	
125036	TaxAccRef	139646	
125037	TaxAccRef	139326	
125040	TaxAccRef	139318	
125040	TaxAccRef	141249	
125053	NomRef	1368	
125058	NomRef	1368	
125064	TaxAccRef	1368	
125066	TaxAccRef	1368	
125073	TaxAccRef	1368	
125083	TaxAccRef	141249	
125094	TaxAccRef	139378	
125100	TaxAccRef	1368	
125111	NomRef	139368	
125113	NomRef	64	
125117	NomRef	1368	
125121	TaxAccRef	152417	
125122	TaxAccRef	124391	
125125	TaxAccRef	3042	
125151	NomRef	1368	
125194	NomRef	1368	
125258	NomRef	1368	
125260	NomRef	1368	
149883	NomRef	64	
149906	TaxAccRef	141249	
173108	NomRef	4179	
173200	TaxAccRef	139582	
173253	TaxAccRef	6352	
173365	NomRef	4179	
173375	TaxAccRef	4179	
173534	TaxAccRef	4179	
173608	TaxAccRef	139414	
173642	NomRef	4179	
173650	TaxAccRef	147429	
173700	NomRef	132589	
173702	NomRef	47588	
173706	NomRef	4179	
183310	TaxAccRef	52063	
183313	TaxAccRef	6831	
212321	TaxAccRef	5916	
212322	NomRef	139356	
212323	NomRef	6309	
212330	NomRef	6306	
212331	NomRef	190896	
212345	NomRef	6392	
212347	NomRef	6308	
212356	NomRef	152417	
212360	NomRef	132022	
212361	TaxAccRef	139580	
212372	TaxAccRef	139303	
212381	NomRef	5916	
212383	NomRef	139391	
212386	NomRef	5916	
212391	TaxAccRef	5916	
212392	TaxAccRef	6248	
212398	NomRef	124968	
212403	NomRef	139303	
212413	NomRef	139391	
212427	NomRef	139665	
212933	NomRef	126088	
212948	TaxAccRef	5916	
212949	NomRef	6308	
212952	TaxAccRef	5951	
213091	TaxAccRef	6273	
213097	TaxAccRef	6262	
213161	TaxAccRef	152417	
213193	TaxAccRef	5916	
213195	TaxAccRef	152417	
213197	NomRef	6324	
213205	NomRef	139303	
213218	TaxAccRef	152417	
213219	TaxAccRef	6322	
213395	TaxAccRef	152417	
213397	TaxAccRef	6323	
213414	TaxAccRef	6392	
213415	NomRef	5916	
213418	TaxAccRef	6250	
213419	TaxAccRef	139338	
213420	TaxAccRef	6050	
213434	NomRef	6338	
213436	TaxAccRef	6324	
213452	TaxAccRef	6250	
213452	TaxAccRef	152417	
213453	TaxAccRef	139370	
214528	NomRef	6250	
214610	NomRef	6324	
214612	NomRef	6324	
214617	TaxAccRef	139358	
214618	TaxAccRef	126088	
216228	NomRef	6293	
221140	TaxAccRef	6308	
221142	TaxAccRef	6262	
221142	TaxAccRef	152417	
224129	NomRef	6324	
236017	NomRef	10034	
236020	TaxAccRef	10034	
236022	TaxAccRef	3167	
241009	NomRef	42380	
242143	TaxAccRef	42935	
242144	TaxAccRef	132589	
242147	NomRef	42935	
242153	TaxAccRef	132589	
242619	NomRef	42944	
242625	TaxAccRef	139471	
242627	NomRef	139626	
242630	TaxAccRef	139356	
242634	NomRef	139379	
242638	TaxAccRef	139560	
242641	TaxAccRef	152417	
242645	TaxAccRef	42944	
242646	NomRef	42944	
242655	NomRef	42944	
242678	TaxAccRef	139424	
242679	TaxAccRef	42944	
242681	TaxAccRef	42944	
242681	TaxAccRef	132989	
242690	TaxAccRef	142079	
242715	TaxAccRef	42944	
242722	TaxAccRef	42944	
242733	NomRef	139371	
242745	TaxAccRef	42944	
242748	NomRef	6306	
242755	TaxAccRef	6350	
242762	TaxAccRef	139379	
242770	TaxAccRef	139580	
242781	TaxAccRef	42944	
242788	TaxAccRef	42944	
242797	TaxAccRef	130462	
242800	NomRef	6351	
242803	TaxAccRef	139321	
242810	NomRef	42944	
242811	TaxAccRef	152417	
242815	TaxAccRef	42944	
242822	TaxAccRef	42944	
242832	TaxAccRef	6250	
242834	TaxAccRef	152417	
242845	TaxAccRef	42944	
242854	TaxAccRef	139599	
242877	TaxAccRef	152417	
242881	TaxAccRef	42944	
242889	NomRef	42944	
242893	NomRef	139614	
242899	TaxAccRef	130462	
242922	TaxAccRef	42944	
242924	TaxAccRef	42944	
242934	TaxAccRef	139580	
242939	NomRef	6306	
242939	NomRef	139316	
242945	TaxAccRef	42999	
242981	TaxAccRef	42944	
242986	NomRef	130462	
242988	TaxAccRef	42944	
242989	NomRef	42944	
243004	NomRef	139597	
243015	TaxAccRef	42944	
243022	TaxAccRef	42944	
243024	TaxAccRef	42944	
243025	TaxAccRef	132589	
243033	TaxAccRef	139614	
243070	TaxAccRef	152417	
243075	TaxAccRef	152417	
243079	TaxAccRef	42944	
243081	TaxAccRef	42944	
243088	TaxAccRef	42944	
243109	TaxAccRef	6285	
243112	TaxAccRef	139543	
243115	TaxAccRef	42944	
243122	TaxAccRef	6310	
243122	TaxAccRef	42944	
243123	TaxAccRef	132589	
243124	TaxAccRef	42944	
243155	NomRef	42944	
243158	TaxAccRef	42944	
243169	TaxAccRef	139614	
243181	TaxAccRef	42944	
124831	NomRef	1368	
124833	TaxAccRef	141249	
124846	NomRef	47588	
124848	NomRef	1368	
124863	NomRef	139418	
124865	NomRef	1368	
124866	NomRef	42999	
124878	NomRef	1368	
124893	TaxAccRef	1368	
124901	TaxAccRef	141249	
124911	NomRef	9269	
124912	NomRef	1368	
124927	TaxAccRef	1368	
124934	TaxAccRef	2999	
124940	NomRef	139394	
124944	TaxAccRef	1368	
124944	TaxAccRef	2930	
124953	TaxAccRef	132589	
124966	TaxAccRef	192633	
124973	TaxAccRef	132823	
124978	TaxAccRef	1368	
124980	NomRef	1368	
125012	TaxAccRef	1368	
125014	NomRef	1368	
125024	NomRef	139329	
125029	TaxAccRef	1368	
125046	NomRef	151831	
125055	NomRef	147707	
125057	TaxAccRef	64	
125059	NomRef	64	
125063	TaxAccRef	1368	
125064	TaxAccRef	2964	
125064	TaxAccRef	42132	
125065	NomRef	1368	
125076	NomRef	64	
125080	TaxAccRef	9214	
125080	TaxAccRef	9269	
125082	NomRef	1368	
125088	NomRef	139378	
125092	TaxAccRef	139583	
125093	TaxAccRef	1368	
125098	TaxAccRef	139389	
125099	NomRef	1368	
125110	TaxAccRef	1368	
125122	TaxAccRef	5916	
125125	TaxAccRef	64	
125129	NomRef	1368	
125131	TaxAccRef	6322	
125131	TaxAccRef	9214	
125131	TaxAccRef	9269	
125144	TaxAccRef	1368	
125195	TaxAccRef	1368	
125225	TaxAccRef	139654	
149884	TaxAccRef	139318	
149891	TaxAccRef	64	
149906	TaxAccRef	139587	
173092	NomRef	4179	
173112	TaxAccRef	4179	
173129	TaxAccRef	4179	
173188	TaxAccRef	3175	
173194	NomRef	4179	
173231	TaxAccRef	4179	
173262	NomRef	4179	
173329	TaxAccRef	4179	
173546	TaxAccRef	4179	
173628	NomRef	4179	
173631	TaxAccRef	4179	
173638	NomRef	104262	
173645	NomRef	4179	
173696	NomRef	4179	
173697	NomRef	47588	
173700	NomRef	139414	
173746	TaxAccRef	4179	
183312	TaxAccRef	141249	
183316	TaxAccRef	6831	
183317	NomRef	6831	
196187	TaxAccRef	6850	
212321	TaxAccRef	6338	
212328	TaxAccRef	152417	
212337	NomRef	6248	
212340	NomRef	6308	
212344	NomRef	6250	
212375	TaxAccRef	5916	
212384	TaxAccRef	139303	
212387	NomRef	139402	
212389	TaxAccRef	6338	
212392	TaxAccRef	5916	
212394	TaxAccRef	6250	
212396	TaxAccRef	152417	
212398	NomRef	6066	
212402	NomRef	6319	
212402	NomRef	139303	
212410	NomRef	5916	
212420	NomRef	6338	
212421	NomRef	6293	
212427	NomRef	5916	
212429	NomRef	139371	
212945	TaxAccRef	5916	
212947	TaxAccRef	6250	
212951	NomRef	6130	
213094	NomRef	6324	
213195	TaxAccRef	6324	
213196	TaxAccRef	5916	
213205	NomRef	6309	
213215	NomRef	6066	
213218	TaxAccRef	6130	
213230	TaxAccRef	5916	
213395	TaxAccRef	6324	
213411	TaxAccRef	6308	
213441	NomRef	6338	
213449	TaxAccRef	6250	
213464	TaxAccRef	5916	
214529	NomRef	5916	
214613	TaxAccRef	6273	
216212	NomRef	125371	
216230	NomRef	6306	
221141	TaxAccRef	6262	
232025	NomRef	1066	
236013	TaxAccRef	10034	
236014	TaxAccRef	147433	
236031	NomRef	10034	
236130	TaxAccRef	165516	
238060	TaxAccRef	139495	
240781	TaxAccRef	6287	
241012	NomRef	42380	
242155	TaxAccRef	42935	
242624	NomRef	42944	
242634	NomRef	6306	
242637	NomRef	141394	
242644	TaxAccRef	42944	
242661	TaxAccRef	42944	
242664	TaxAccRef	6310	
242674	TaxAccRef	42944	
242675	NomRef	42944	
242675	NomRef	151595	
242691	TaxAccRef	42944	
242697	TaxAccRef	152417	
242698	TaxAccRef	139358	
242708	TaxAccRef	42944	
242725	TaxAccRef	42944	
242728	TaxAccRef	132589	
242733	NomRef	124967	
242733	NomRef	139663	
242736	NomRef	47588	
242742	TaxAccRef	42944	
242746	TaxAccRef	139307	
242750	TaxAccRef	139493	
242776	TaxAccRef	42944	
242780	TaxAccRef	197872	
242790	NomRef	42944	
242796	NomRef	145672	
242808	TaxAccRef	6392	
242812	TaxAccRef	152417	
242827	TaxAccRef	42944	
242844	TaxAccRef	42944	
242878	TaxAccRef	42944	
242891	TaxAccRef	42944	
242903	TaxAccRef	132022	
242906	TaxAccRef	139614	
242923	TaxAccRef	139611	
242925	TaxAccRef	42944	
242930	NomRef	139365	
242931	TaxAccRef	152417	
242932	TaxAccRef	6310	
242936	TaxAccRef	6322	
242937	NomRef	139376	
242942	TaxAccRef	42944	
242959	TaxAccRef	42944	
242959	TaxAccRef	139533	
242976	TaxAccRef	42944	
242980	TaxAccRef	47590	
242991	TaxAccRef	141249	
242993	TaxAccRef	42944	
243008	TaxAccRef	6273	
243010	TaxAccRef	42944	
243026	TaxAccRef	132589	
243027	TaxAccRef	42944	
243042	NomRef	139314	
243043	TaxAccRef	132589	
243044	TaxAccRef	6250	
243044	TaxAccRef	42944	
243059	TaxAccRef	6392	
243060	TaxAccRef	132589	
243061	TaxAccRef	42944	
243061	TaxAccRef	139481	
243071	TaxAccRef	6248	
243073	NomRef	139614	
243078	TaxAccRef	42944	
243095	TaxAccRef	42944	
243099	TaxAccRef	139615	
243112	TaxAccRef	42944	
243118	TaxAccRef	42997	
243124	TaxAccRef	124968	
243125	TaxAccRef	42944	
243128	TaxAccRef	132589	
243142	TaxAccRef	42944	
243145	TaxAccRef	132589	
243159	TaxAccRef	42944	
243176	TaxAccRef	42944	
243177	NomRef	42944	
243210	TaxAccRef	42944	
243210	TaxAccRef	139539	
243227	TaxAccRef	42944	
243230	TaxAccRef	132589	
243234	NomRef	139586	
243244	TaxAccRef	42944	
243255	NomRef	6306	
243258	NomRef	42944	
243261	TaxAccRef	42944	
243278	TaxAccRef	42944	
243280	TaxAccRef	152417	
124819	TaxAccRef	139650	
124822	NomRef	1368	
124836	NomRef	1368	
124839	NomRef	1368	
124886	NomRef	1368	
124886	NomRef	139316	
124890	NomRef	1368	
124895	TaxAccRef	6324	
124895	TaxAccRef	8316	
124899	NomRef	146067	
124914	NomRef	139394	
124921	NomRef	1368	
124933	TaxAccRef	165516	
124934	TaxAccRef	2965	
124948	NomRef	6269	
124950	NomRef	156555	
124953	TaxAccRef	1368	
124954	NomRef	1368	
124966	TaxAccRef	2930	
124967	TaxAccRef	64	
124972	NomRef	1368	
125003	TaxAccRef	1368	
125006	TaxAccRef	139646	
125010	NomRef	139356	
125022	NomRef	1368	
125033	TaxAccRef	152417	
125034	TaxAccRef	1368	
125037	TaxAccRef	3042	
125039	NomRef	1368	
125048	TaxAccRef	64	
125049	TaxAccRef	64	
125050	TaxAccRef	139583	
125066	TaxAccRef	64	
125071	TaxAccRef	1368	
125083	TaxAccRef	152417	
125084	TaxAccRef	1368	
125085	NomRef	64	
125090	NomRef	1368	
125092	TaxAccRef	141249	
125093	TaxAccRef	141249	
125104	NomRef	1368	
125107	NomRef	1368	
125118	TaxAccRef	139583	
125134	TaxAccRef	64	
125135	NomRef	139583	
125137	NomRef	139303	
125150	NomRef	156555	
125260	NomRef	139443	
158070	TaxAccRef	139452	
173092	NomRef	139414	
173103	TaxAccRef	4179	
173120	TaxAccRef	4179	
173188	TaxAccRef	4179	
173194	NomRef	42304	
173224	TaxAccRef	3189	
173239	TaxAccRef	4179	
173253	TaxAccRef	4179	
173270	TaxAccRef	4179	
173324	TaxAccRef	139588	
173588	TaxAccRef	4179	
173602	NomRef	4179	
173705	NomRef	4179	
173746	TaxAccRef	139414	
182962	NomRef	6287	
182963	NomRef	6306	
182992	TaxAccRef	6831	
183311	TaxAccRef	6831	
212333	TaxAccRef	139318	
212333	TaxAccRef	141249	
212336	TaxAccRef	5916	
212350	NomRef	6273	
212357	NomRef	139371	
212362	NomRef	6248	
212364	NomRef	6273	
212375	TaxAccRef	139303	
