AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
335345	172999	africana	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335345		urn:lsid:marinespecies.org:taxname:335345	
335346	172999	chilensis	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335346		urn:lsid:marinespecies.org:taxname:335346	
335347	172999	clarki	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335347		urn:lsid:marinespecies.org:taxname:335347	
335348	173004	brevior	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335348		urn:lsid:marinespecies.org:taxname:335348	
335349	173004	devia	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335349		urn:lsid:marinespecies.org:taxname:335349	
335350	173004	haswelli	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335350		urn:lsid:marinespecies.org:taxname:335350	
335351	173004	insularum	Wells, 1963	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335351		urn:lsid:marinespecies.org:taxname:335351	
335763	332877	oceanica	(Healy & Wells, 1959)	Subspecies	accepted	Accepted name	0	marine		Read, Geoffrey	2011-02-22 05:02:56	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335763		urn:lsid:marinespecies.org:taxname:335763	
335762	332877	vagabunda	Healy & Wells, 1959	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335762		urn:lsid:marinespecies.org:taxname:335762	
335352	326238	bisectus	Imajima & Takeda, 1985	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335352		urn:lsid:marinespecies.org:taxname:335352	
335353	173675	bransfieldia	Hartman, 1967	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335353		urn:lsid:marinespecies.org:taxname:335353	
335355	129771	sibogae	Caullery, 1944	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335355		urn:lsid:marinespecies.org:taxname:335355	
335356	195946	alba	Berkeley, 1923	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335356		urn:lsid:marinespecies.org:taxname:335356	
335357	129779	brazhnikovi	Annenkova, 1929	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335357		urn:lsid:marinespecies.org:taxname:335357	
