ReferenceID	Authors	Year	Title	Details	
80	de Kluijver, M.J.; Ingalsuo, S.S.; de Bruyne, R.H.	2000	Macrobenthos of the North Sea [CD-ROM]: 1. Keys to Mollusca and Brachiopoda. <i>World Biodiversity Database CD-ROM Series</i>. Expert Center for Taxonomic Identification (ETI): Amsterdam, The Netherlands. ISBN 3-540-14706-3. 1 cd-rom pp.		
64			North East Atlantic Taxa		
665	Desbruyères, D.	1978	<i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal de la mer de Norvège [<i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal species from the Norwegian Sea]. <i>Bull. Mus. Natn. Hist. Nat., Paris (3ième sér.) 514(Zoologie 353)</i>: 231-238		
614	Hayward, P.J.; Nelson-Smith, A.; Shields, C.	1996	Collins pocket guide: sea shore of Britain and Europe. <i>Collins pocket guides</i>. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6. 352 pp.		
174	Linnaeusammalia, C. M.; Avesmphibia, A.; Piscesnsecta, I.; Vermes	1761	Fauna Suecica sistens Animalia Sueciae Regni: Distributa per Classes, Ordines, Genera, Species, cum Differentiis Specierum, Synonymis Auctorum, Nominibus Incolarum, Locis Natalium, Descriptionibus insectorum		
1260	Davoult, D.; Dewarumez, J.-M.; Luczak, C.; Migné, A.	1999	Nouvelles signalisations d'espèces benthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord [New reports of benthic species from the french coasts of the eastern English Channel and the North Sea]. <i>Cah. Biol. Mar. 40(2)</i>: 121-127		
1318			UNESCO-IOC Register of Marine Organisms		
660	Pleijel, F.; Dales, R.P.	1991	Polychaetes: British Phyllodocoideans, Typhloscolecoideans and Tomopteroideans: keys and notes for the identification of the species. <i>Synopses of the British fauna (new series)</i>, 45. U.B.S.; W. Backhuys: Oegstgeest, The Netherlands. ISBN 90-73348-12-9. vii, 202 pp.		
156156	Hall, James.	1859	Palaeontology: Volume 3. Containing descriptions and figures of the organic remains of the lower Helderberg Group and the Oriskany Sandstone 1855-1859. Part I, Text.  3:1-532. Natural History of New-York, Geological Survey of New-York 3: 1-532     		
176569	Sanartín, M.; Álvarez-Campos, G. P.; Aguado, M. T.	2013	The genus <i>Branchiosyllis</i> Ehlers, 1887 (Annelida, Syllidae, Syllinae) from off the American coasts, with the description of a new species from Venezuela		
172710	Bakken, T.; Oug, E.; Kongsrud, J. A.	2013	Occurrence and distribution of<em> Pseudoscalibregma</em> and <em>Scalibregma </em>(Annelida, Scalibregmatidae) in the deep Nordic Seas, with the description of <em>Scalibregma hanseni</em> n. sp.		
168264	Rees, A.	1802	820). The cyclopaedia; or universal dictionary of arts, sciences and literature. Longman, Hurst, Rees, Orme & Brown, London. 45 vols. + 6 vols. pls.; text and plates unnumbered		
168346	Parapar, J.	2012	Familia Opheliidae Malmgren, 1867. In: Annelida Polychaeta III. J. Parapar, C. Alós, J. Núñez, J. Moreira, E. López, F. Aguirrezabalaga, C. Besteiro & A. Martínez. Fauna Ibérica vol. 36. M.A. Ramos et al. (Eds). Museo Nacional de Ciencias Naturales, CSIC, Madrid: 284-332. [In Spanish]		
168321	Paxton, Hannelore; Budaeva, Nataliya.	2013	Paradiopatra (Annelida: Onuphidae) from eastern Australian waters, with the description of six new species. Zootaxa 3686(2): 140–164.		
168332	Aguirrezabalaga, F.	2012	Familia Paraonidae Cerruti, 1909. In: Annelida Polychaeta III. J. Parapar, C. Alós, J. Núñez, J. Moreira, E. López, F. Aguirrezabalaga, C. Besteiro & A. Martínez. Fauna Ibérica vol. 36. M.A. Ramos et al. (Eds). Museo Nacional de Ciencias Naturales, CSIC, Madrid: 160-272. [In Spanish]		
